frame,parameter,value
1,$4010_rate,15
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,5
1,$4006_period,571
1,$4008_linear,127
1,$400A_period,255
1,$400B_length,32
1,$400E_period,4
1,$400E_mode,0
1,$400C_const,1
1,$400C_vol,9
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,3
2,$400C_const,1
2,$400C_vol,6
3,$400C_const,1
3,$400C_vol,4
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,2
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,0
5,$400C_const,1
5,$400C_vol,0
15,$4012_addr,243
15,$4013_len,28
15,$4010_rate,15
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,15
15,$4002_period,1619
15,$400B_length,51
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,15
15,$4006_period,3237
15,$400A_period,1
15,$400B_length,0
15,$400E_period,0
15,$400E_mode,0
15,$400C_const,1
15,$400C_vol,0
16,$4000_duty,3
16,$4000_const,1
16,$4000_vol,14
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,14
17,$4000_duty,3
17,$4000_const,1
17,$4000_vol,13
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,13
18,$4000_duty,3
18,$4000_const,1
18,$4000_vol,4
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,4
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,10
22,$4002_period,807
22,$400B_length,33
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,15
22,$4006_period,1619
23,$4000_duty,3
23,$4000_const,1
23,$4000_vol,9
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,14
24,$4000_duty,3
24,$4000_const,1
24,$4000_vol,8
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,13
25,$4000_duty,3
25,$4000_const,1
25,$4000_vol,7
25,$4004_duty,3
25,$4004_const,1
25,$4004_vol,4
26,$4000_duty,3
26,$4000_const,1
26,$4000_vol,0
29,$4004_duty,3
29,$4004_const,1
29,$4004_vol,0
36,$4010_rate,15
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,10
36,$4002_period,807
36,$400B_length,49
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,15
36,$4006_period,1619
37,$4000_duty,3
37,$4000_const,1
37,$4000_vol,9
37,$4004_duty,3
37,$4004_const,1
37,$4004_vol,14
38,$4000_duty,3
38,$4000_const,1
38,$4000_vol,8
38,$4004_duty,3
38,$4004_const,1
38,$4004_vol,13
39,$4000_duty,3
39,$4000_const,1
39,$4000_vol,7
39,$4004_duty,3
39,$4004_const,1
39,$4004_vol,4
40,$4000_duty,3
40,$4000_const,1
40,$4000_vol,0
43,$4012_addr,240
43,$4013_len,11
43,$4010_rate,15
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,10
43,$4002_period,719
43,$400B_length,33
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,15
43,$4006_period,1811
44,$4000_duty,3
44,$4000_const,1
44,$4000_vol,9
44,$4004_duty,3
44,$4004_const,1
44,$4004_vol,14
45,$4000_duty,3
45,$4000_const,1
45,$4000_vol,8
45,$4004_duty,3
45,$4004_const,1
45,$4004_vol,13
46,$4000_duty,3
46,$4000_const,1
46,$4000_vol,7
46,$4004_duty,3
46,$4004_const,1
46,$4004_vol,4
47,$4000_duty,3
47,$4000_const,1
47,$4000_vol,0
50,$4004_duty,3
50,$4004_const,1
50,$4004_vol,0
57,$4012_addr,243
57,$4013_len,28
57,$4010_rate,15
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,10
57,$4002_period,679
57,$400B_length,49
57,$4004_duty,2
57,$4004_const,1
57,$4004_vol,15
57,$4006_period,1921
58,$4000_duty,3
58,$4000_const,1
58,$4000_vol,9
58,$4004_duty,3
58,$4004_const,1
58,$4004_vol,14
59,$4000_duty,3
59,$4000_const,1
59,$4000_vol,8
59,$4004_duty,3
59,$4004_const,1
59,$4004_vol,13
60,$4000_duty,3
60,$4000_const,1
60,$4000_vol,7
60,$4004_duty,3
60,$4004_const,1
60,$4004_vol,4
61,$4000_duty,3
61,$4000_const,1
61,$4000_vol,0
64,$4004_duty,3
64,$4004_const,1
64,$4004_vol,0
71,$4010_rate,15
71,$4000_duty,2
71,$4000_const,1
71,$4000_vol,10
71,$4002_period,641
71,$400B_length,33
71,$4004_duty,2
71,$4004_const,1
71,$4004_vol,15
71,$4006_period,2157
72,$4000_duty,3
72,$4000_const,1
72,$4000_vol,9
72,$4004_duty,3
72,$4004_const,1
72,$4004_vol,14
73,$4000_duty,3
73,$4000_const,1
73,$4000_vol,8
73,$4004_duty,3
73,$4004_const,1
73,$4004_vol,13
74,$4000_duty,3
74,$4000_const,1
74,$4000_vol,7
74,$4004_duty,3
74,$4004_const,1
74,$4004_vol,4
75,$4000_duty,3
75,$4000_const,1
75,$4000_vol,0
78,$4004_duty,3
78,$4004_const,1
78,$4004_vol,0
85,$4000_duty,2
85,$4000_const,1
85,$4000_vol,6
85,$4002_period,151
85,$400B_length,48
85,$4004_duty,2
85,$4004_const,1
85,$4004_vol,7
85,$4006_period,135
87,$4000_duty,1
87,$4000_const,1
87,$4000_vol,4
87,$4004_duty,1
87,$4004_const,1
87,$4004_vol,5
88,$4000_duty,0
88,$4000_const,1
88,$4000_vol,3
88,$4004_duty,0
88,$4004_const,1
88,$4004_vol,4
89,$4000_duty,0
89,$4000_const,1
89,$4000_vol,0
89,$4004_duty,0
89,$4004_const,1
89,$4004_vol,0
92,$4012_addr,240
92,$4013_len,11
92,$4010_rate,15
92,$4000_duty,2
92,$4000_const,1
92,$4000_vol,3
92,$4002_period,151
92,$400B_length,32
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,3
92,$4006_period,135
94,$4000_duty,1
94,$4000_const,1
94,$4000_vol,1
94,$4004_duty,1
94,$4004_const,1
94,$4004_vol,1
95,$4000_duty,0
95,$4000_const,1
95,$4000_vol,0
95,$4004_duty,0
95,$4004_const,1
95,$4004_vol,0
99,$4010_rate,15
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,6
99,$4002_period,161
99,$400B_length,48
99,$4004_duty,2
