frame,parameter,value
2,$400C_const,0
2,$400C_vol,1
2,$400E_period,0
2,$400E_mode,0
2,$4004_duty,3
2,$4004_const,0
2,$4004_vol,1
2,$4005_sweep,8
2,$4006_period,2557
8,$400C_const,0
8,$400C_vol,1
8,$400E_period,7
8,$400E_mode,0
8,$4004_duty,3
8,$4004_const,0
8,$4004_vol,1
8,$4005_sweep,8
8,$4006_period,2557
14,$400C_const,0
14,$400C_vol,1
14,$400E_period,0
14,$400E_mode,0
20,$400C_const,0
20,$400C_vol,1
20,$400E_period,0
20,$400E_mode,0
20,$4004_duty,3
20,$4004_const,0
20,$4004_vol,1
20,$4005_sweep,8
20,$4006_period,2557
26,$400C_const,0
26,$400C_vol,1
26,$400E_period,0
26,$400E_mode,0
26,$4004_duty,3
26,$4004_const,0
26,$4004_vol,1
26,$4005_sweep,8
26,$4006_period,2557
32,$400C_const,0
32,$400C_vol,1
32,$400E_period,12
32,$400E_mode,0
32,$4004_duty,3
32,$4004_const,0
32,$4004_vol,1
32,$4005_sweep,8
32,$4006_period,2557
38,$400C_const,0
38,$400C_vol,1
38,$400E_period,0
38,$400E_mode,0
38,$4004_duty,3
38,$4004_const,0
38,$4004_vol,1
38,$4005_sweep,8
38,$4006_period,2557
44,$400C_const,0
44,$400C_vol,1
44,$400E_period,0
44,$400E_mode,0
50,$400C_const,0
50,$400C_vol,1
50,$400E_period,0
50,$400E_mode,0
50,$4004_duty,3
50,$4004_const,0
50,$4004_vol,1
50,$4005_sweep,8
50,$4006_period,2557
56,$400C_const,0
56,$400C_vol,1
56,$400E_period,7
56,$400E_mode,0
62,$400C_const,0
62,$400C_vol,1
62,$400E_period,0
62,$400E_mode,0
62,$4004_duty,3
62,$4004_const,0
62,$4004_vol,1
62,$4005_sweep,8
62,$4006_period,2557
68,$400C_const,0
68,$400C_vol,1
68,$400E_period,12
68,$400E_mode,0
68,$4004_duty,3
68,$4004_const,0
68,$4004_vol,1
68,$4005_sweep,8
68,$4006_period,2557
74,$400C_const,0
74,$400C_vol,1
74,$400E_period,0
74,$400E_mode,0
80,$400C_const,0
80,$400C_vol,1
80,$400E_period,0
80,$400E_mode,0
86,$400C_const,0
86,$400C_vol,1
86,$400E_period,0
86,$400E_mode,0
86,$4004_duty,3
86,$4004_const,0
86,$4004_vol,1
86,$4005_sweep,8
86,$4006_period,2557
92,$400C_const,0
92,$400C_vol,1
92,$400E_period,0
92,$400E_mode,0
92,$4004_duty,3
92,$4004_const,0
92,$4004_vol,1
92,$4005_sweep,8
92,$4006_period,2557
98,$400C_const,0
98,$400C_vol,1
98,$400E_period,0
98,$400E_mode,0
98,$4004_duty,3
98,$4004_const,0
98,$4004_vol,1
98,$4005_sweep,8
98,$4006_period,2557
104,$400C_const,0
104,$400C_vol,1
104,$400E_period,7
104,$400E_mode,0
104,$4004_duty,3
104,$4004_const,0
104,$4004_vol,1
104,$4005_sweep,8
104,$4006_period,2557
110,$400C_const,0
110,$400C_vol,1
110,$400E_period,0
110,$400E_mode,0
116,$400C_const,0
116,$400C_vol,1
116,$400E_period,0
116,$400E_mode,0
116,$4004_duty,3
116,$4004_const,0
116,$4004_vol,1
116,$4005_sweep,8
116,$4006_period,2557
122,$400C_const,0
122,$400C_vol,1
122,$400E_period,0
122,$400E_mode,0
122,$4004_duty,3
122,$4004_const,0
122,$4004_vol,1
122,$4005_sweep,8
122,$4006_period,2557
128,$400C_const,0
128,$400C_vol,1
128,$400E_period,12
128,$400E_mode,0
128,$4004_duty,3
128,$4004_const,0
128,$4004_vol,1
128,$4005_sweep,8
128,$4006_period,2557
134,$400C_const,0
134,$400C_vol,1
134,$400E_period,0
134,$400E_mode,0
134,$4004_duty,3
134,$4004_const,0
134,$4004_vol,1
134,$4005_sweep,8
134,$4006_period,2557
140,$400C_const,0
140,$400C_vol,1
140,$400E_period,0
140,$400E_mode,0
146,$400C_const,0
146,$400C_vol,1
146,$400E_period,0
146,$400E_mode,0
146,$4004_duty,3
146,$4004_const,0
146,$4004_vol,1
146,$4005_sweep,8
146,$4006_period,2557
152,$400C_const,0
152,$400C_vol,1
152,$400E_period,7
152,$400E_mode,0
158,$400C_const,0
158,$400C_vol,1
158,$400E_period,0
158,$400E_mode,0
158,$4004_duty,3
158,$4004_const,0
158,$4004_vol,1
158,$4005_sweep,8
158,$4006_period,2557
164,$400C_const,0
164,$400C_vol,1
164,$400E_period,12
164,$400E_mode,0
164,$4004_duty,3
164,$4004_const,0
164,$4004_vol,1
164,$4005_sweep,8
164,$4006_period,2557
170,$400C_const,0
170,$400C_vol,1
170,$400E_period,0
170,$400E_mode,0
176,$400C_const,0
176,$400C_vol,1
176,$400E_period,0
176,$400E_mode,0
182,$400C_const,0
182,$400C_vol,1
182,$400E_period,0
182,$400E_mode,0
182,$4004_duty,3
182,$4004_const,0
182,$4004_vol,1
182,$4005_sweep,8
182,$4006_period,2557
188,$400C_const,0
188,$400C_vol,1
188,$400E_period,0
188,$400E_mode,0
188,$4004_duty,3
188,$4004_const,0
188,$4004_vol,1
188,$4005_sweep,8
188,$4006_period,2557
194,$400C_const,0
194,$400C_vol,1
194,$400E_period,0
194,$400E_mode,0
194,$4004_duty,3
194,$4004_const,0
194,$4004_vol,1
194,$4005_sweep,8
194,$4006_period,2557
200,$400C_const,0
200,$400C_vol,1
200,$400E_period,7
200,$400E_mode,0
200,$4004_duty,3
200,$4004_const,0
200,$4004_vol,1
200,$4005_sweep,8
200,$4006_period,2557
206,$400C_const,0
206,$400C_vol,1
206,$400E_period,0
206,$400E_mode,0
212,$400C_const,0
212,$400C_vol,1
212,$400E_period,0
212,$400E_mode,0
212,$4004_duty,3
212,$4004_const,0
212,$4004_vol,1
212,$4005_sweep,8
212,$4006_period,2557
218,$400C_const,0
218,$400C_vol,1
218,$400E_period,0
218,$400E_mode,0
218,$4004_duty,3
218,$4004_const,0
218,$4004_vol,1
218,$4005_sweep,8
218,$4006_period,2557
224,$400C_const,0
224,$400C_vol,1
224,$400E_period,12
224,$400E_mode,0
224,$4004_duty,3
224,$4004_const,0
224,$4004_vol,1
224,$4005_sweep,8
224,$4006_period,2557
230,$400C_const,0
230,$400C_vol,1
230,$400E_period,0
230,$400E_mode,0
230,$4004_duty,3
230,$4004_const,0
230,$4004_vol,1
230,$4005_sweep,8
230,$4006_period,2557
236,$400C_const,0
236,$400C_vol,1
236,$400E_period,0
236,$400E_mode,0
242,$400C_const,0
242,$400C_vol,1
242,$400E_period,0
242,$400E_mode,0
242,$4004_duty,3
242,$4004_const,0
242,$4004_vol,1
242,$4005_sweep,8
242,$4006_period,2557
248,$400C_const,0
248,$400C_vol,1
248,$400E_period,7
248,$400E_mode,0
254,$400C_const,0
254,$400C_vol,1
254,$400E_period,0
254,$400E_mode,0
254,$4004_duty,3
254,$4004_const,0
254,$4004_vol,1
254,$4005_sweep,8
254,$4006_period,2557
260,$400C_const,0
260,$400C_vol,1
260,$400E_period,12
260,$400E_mode,0
260,$4004_duty,3
260,$4004_const,0
260,$4004_vol,1
260,$4005_sweep,8
260,$4006_period,2557
266,$400C_const,0
266,$400C_vol,1
266,$400E_period,0
266,$400E_mode,0
272,$400C_const,0
272,$400C_vol,1
272,$400E_period,0
272,$400E_mode,0
278,$400C_const,0
278,$400C_vol,1
278,$400E_period,0
278,$400E_mode,0
278,$4004_duty,3
278,$4004_const,0
278,$4004_vol,1
278,$4005_sweep,8
278,$4006_period,2557
284,$400C_const,0
284,$400C_vol,1
284,$400E_period,0
284,$400E_mode,0
284,$4004_duty,3
284,$4004_const,0
284,$4004_vol,1
284,$4005_sweep,8
284,$4006_period,2557
290,$400C_const,0
290,$400C_vol,1
290,$400E_period,0
290,$400E_mode,0
290,$4004_duty,3
290,$4004_const,0
290,$4004_vol,1
290,$4005_sweep,8
290,$4006_period,2557
296,$400C_const,0
296,$400C_vol,1
296,$400E_period,7
296,$400E_mode,0
296,$4004_duty,3
296,$4004_const,0
296,$4004_vol,1
296,$4005_sweep,8
296,$4006_period,2557
302,$400C_const,0
302,$400C_vol,1
302,$400E_period,0
302,$400E_mode,0
302,$4004_duty,3
302,$4004_const,0
302,$4004_vol,1
302,$4005_sweep,8
302,$4006_period,2557
308,$400C_const,0
308,$400C_vol,1
308,$400E_period,0
308,$400E_mode,0
308,$4004_duty,3
308,$4004_const,0
308,$4004_vol,1
308,$4005_sweep,8
308,$4006_period,2557
314,$400C_const,0
314,$400C_vol,1
314,$400E_period,0
314,$400E_mode,0
314,$4004_duty,3
314,$4004_const,0
314,$4004_vol,1
