frame,parameter,value
7,$4001_sweep,8
7,$4002_period,403
7,$400B_length,8
7,$4005_sweep,8
7,$400C_const,0
7,$400C_vol,0
7,$400E_period,6
7,$400E_mode,0
19,$4001_sweep,8
19,$4002_period,381
19,$400B_length,8
19,$4005_sweep,8
19,$4006_period,1017
19,$400A_period,1357
19,$400B_length,10
31,$4001_sweep,8
31,$4002_period,339
31,$400B_length,8
31,$4005_sweep,8
31,$400A_period,1017
31,$400B_length,9
31,$400C_const,0
31,$400C_vol,1
31,$400E_period,14
31,$400E_mode,0
43,$4001_sweep,8
43,$4002_period,339
43,$400B_length,8
43,$4005_sweep,8
43,$4006_period,1017
43,$400A_period,1017
43,$400B_length,9
55,$4005_sweep,8
55,$4006_period,761
55,$400C_const,0
55,$400C_vol,0
55,$400E_period,6
55,$400E_mode,0
67,$4005_sweep,8
67,$4006_period,807
67,$400A_period,1141
67,$400B_length,10
79,$4001_sweep,8
79,$4002_period,285
79,$400B_length,8
79,$4005_sweep,8
79,$400C_const,0
79,$400C_vol,1
79,$400E_period,14
79,$400E_mode,0
91,$4001_sweep,8
91,$4002_period,303
91,$400B_length,8
91,$4005_sweep,8
91,$4006_period,1017
91,$400A_period,1141
91,$400B_length,10
103,$4001_sweep,8
103,$4002_period,339
103,$400B_length,8
103,$4005_sweep,8
103,$400C_const,0
103,$400C_vol,0
103,$400E_period,6
103,$400E_mode,0
115,$4001_sweep,8
115,$4002_period,381
115,$400B_length,8
115,$4005_sweep,8
115,$4006_period,1017
115,$400A_period,1357
115,$400B_length,10
127,$4001_sweep,8
127,$4002_period,453
127,$400B_length,8
127,$4005_sweep,8
127,$400A_period,1141
127,$400B_length,10
127,$400C_const,0
127,$400C_vol,1
127,$400E_period,14
127,$400E_mode,0
139,$4001_sweep,8
139,$4002_period,403
139,$400B_length,8
139,$4005_sweep,8
139,$4006_period,1141
139,$400A_period,1141
139,$400B_length,10
151,$4001_sweep,8
151,$4002_period,381
151,$400B_length,8
151,$4005_sweep,8
151,$4006_period,761
151,$400C_const,0
151,$400C_vol,0
151,$400E_period,6
151,$400E_mode,0
163,$4001_sweep,8
163,$4002_period,381
163,$400B_length,8
163,$4005_sweep,8
163,$4006_period,807
163,$400A_period,1281
163,$400B_length,10
175,$4005_sweep,8
175,$400C_const,0
175,$400C_vol,1
175,$400E_period,14
175,$400E_mode,0
187,$4005_sweep,8
187,$4006_period,1141
187,$400A_period,1281
187,$400B_length,10
199,$4001_sweep,8
199,$4002_period,453
199,$400B_length,8
199,$4005_sweep,8
199,$400C_const,0
199,$400C_vol,0
199,$400E_period,6
199,$400E_mode,0
211,$4001_sweep,8
211,$4002_period,403
211,$400B_length,8
211,$4005_sweep,8
211,$4006_period,1141
211,$400A_period,1521
211,$400B_length,10
223,$4001_sweep,8
223,$4002_period,381
223,$400B_length,8
223,$4005_sweep,8
223,$400A_period,1141
223,$400B_length,10
223,$400C_const,0
223,$400C_vol,1
223,$400E_period,14
223,$400E_mode,0
235,$4001_sweep,8
235,$4002_period,381
235,$400B_length,8
235,$4005_sweep,8
235,$4006_period,1141
235,$400A_period,1141
235,$400B_length,10
247,$4005_sweep,8
247,$4006_period,761
247,$400C_const,0
247,$400C_vol,0
247,$400E_period,6
247,$400E_mode,0
259,$4005_sweep,8
259,$4006_period,807
259,$400A_period,1281
259,$400B_length,10
271,$4001_sweep,8
271,$4002_period,303
271,$400B_length,8
271,$4005_sweep,8
271,$400C_const,0
271,$400C_vol,1
271,$400E_period,14
271,$400E_mode,0
283,$4001_sweep,8
283,$4002_period,339
283,$400B_length,8
283,$4005_sweep,8
283,$4006_period,1141
283,$400A_period,1281
283,$400B_length,10
295,$4001_sweep,8
295,$4002_period,381
295,$400B_length,8
295,$4005_sweep,8
295,$400C_const,0
295,$400C_vol,0
295,$400E_period,6
295,$400E_mode,0
307,$4001_sweep,8
307,$4002_period,403
307,$400B_length,8
307,$4005_sweep,8
307,$4006_period,1141
307,$400A_period,1521
307,$400B_length,10
319,$4001_sweep,8
319,$4002_period,403
319,$400B_length,8
319,$4005_sweep,8
319,$400A_period,1017
