frame,parameter,value
96,$4000_duty,0
96,$4000_const,1
96,$4000_vol,0
96,$4004_duty,0
96,$4004_const,1
96,$4004_vol,0
96,$4008_linear,0
96,$400C_const,1
96,$400C_vol,0
96,$4001_sweep,8
96,$4005_sweep,8
96,$400C_const,1
96,$400C_vol,0
97,$4000_duty,2
97,$4000_const,1
97,$4000_vol,9
97,$4002_period,381
97,$400B_length,8
97,$4004_duty,2
97,$4004_const,1
97,$4004_vol,8
97,$4006_period,481
97,$4008_linear,127
97,$400A_period,481
97,$400B_length,8
98,$4000_duty,2
98,$4000_const,1
98,$4000_vol,7
98,$4004_duty,2
98,$4004_const,1
98,$4004_vol,6
98,$4008_linear,127
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,6
99,$4004_duty,2
99,$4004_const,1
99,$4004_vol,5
99,$4008_linear,127
100,$4000_duty,2
100,$4000_const,1
100,$4000_vol,5
100,$4004_duty,2
100,$4004_const,1
100,$4004_vol,4
100,$4008_linear,127
101,$4000_duty,2
101,$4000_const,1
101,$4000_vol,5
101,$4004_duty,2
101,$4004_const,1
101,$4004_vol,4
101,$4008_linear,127
102,$4000_duty,2
102,$4000_const,1
102,$4000_vol,4
102,$4004_duty,2
102,$4004_const,1
102,$4004_vol,3
102,$4008_linear,127
103,$4000_duty,2
103,$4000_const,1
103,$4000_vol,4
103,$4004_duty,2
103,$4004_const,1
103,$4004_vol,3
103,$4008_linear,127
104,$4000_duty,2
104,$4000_const,1
104,$4000_vol,4
104,$4004_duty,2
104,$4004_const,1
104,$4004_vol,3
104,$4008_linear,0
105,$4000_duty,2
105,$4000_const,1
105,$4000_vol,4
105,$4004_duty,2
105,$4004_const,1
105,$4004_vol,3
106,$4000_duty,2
106,$4000_const,1
106,$4000_vol,9
106,$4002_period,321
106,$400B_length,8
106,$4004_duty,2
106,$4004_const,1
106,$4004_vol,8
106,$4006_period,381
106,$4008_linear,0
107,$4000_duty,2
107,$4000_const,1
107,$4000_vol,7
107,$4004_duty,2
107,$4004_const,1
107,$4004_vol,6
108,$4000_duty,2
108,$4000_const,1
108,$4000_vol,6
108,$4004_duty,2
108,$4004_const,1
108,$4004_vol,5
109,$4000_duty,2
109,$4000_const,1
109,$4000_vol,5
109,$4004_duty,2
109,$4004_const,1
109,$4004_vol,4
110,$4000_duty,2
110,$4000_const,1
110,$4000_vol,5
110,$4004_duty,2
110,$4004_const,1
110,$4004_vol,4
111,$4000_duty,2
111,$4000_const,1
111,$4000_vol,4
111,$4004_duty,2
111,$4004_const,1
111,$4004_vol,3
112,$4000_duty,2
112,$4000_const,1
112,$4000_vol,4
112,$4004_duty,2
112,$4004_const,1
112,$4004_vol,3
113,$4000_duty,2
113,$4000_const,1
113,$4000_vol,4
113,$4004_duty,2
113,$4004_const,1
113,$4004_vol,3
114,$4000_duty,2
114,$4000_const,1
114,$4000_vol,4
114,$4004_duty,2
114,$4004_const,1
114,$4004_vol,3
115,$4000_duty,2
115,$4000_const,1
115,$4000_vol,9
115,$4002_period,241
115,$400B_length,8
115,$4004_duty,2
115,$4004_const,1
115,$4004_vol,8
115,$4006_period,321
116,$4000_duty,2
116,$4000_const,1
116,$4000_vol,7
116,$4004_duty,2
116,$4004_const,1
116,$4004_vol,6
117,$4000_duty,2
117,$4000_const,1
117,$4000_vol,6
117,$4004_duty,2
117,$4004_const,1
117,$4004_vol,5
118,$4000_duty,2
118,$4000_const,1
118,$4000_vol,5
118,$4004_duty,2
118,$4004_const,1
118,$4004_vol,4
119,$4000_duty,2
119,$4000_const,1
119,$4000_vol,5
119,$4004_duty,2
119,$4004_const,1
119,$4004_vol,4
120,$4000_duty,2
120,$4000_const,1
120,$4000_vol,4
120,$4004_duty,2
120,$4004_const,1
120,$4004_vol,3
121,$4000_duty,2
121,$4000_const,1
121,$4000_vol,4
121,$4004_duty,2
121,$4004_const,1
121,$4004_vol,3
122,$4000_duty,2
122,$4000_const,1
122,$4000_vol,4
122,$4004_duty,2
122,$4004_const,1
122,$4004_vol,3
123,$4000_duty,2
123,$4000_const,1
123,$4000_vol,9
123,$4002_period,191
123,$400B_length,8
123,$4004_duty,2
123,$4004_const,1
123,$4004_vol,8
123,$4006_period,241
123,$4008_linear,127
123,$400A_period,481
123,$400B_length,8
124,$4000_duty,2
124,$4000_const,1
124,$4000_vol,7
124,$4004_duty,2
124,$4004_const,1
124,$4004_vol,6
124,$4008_linear,127
125,$4000_duty,2
125,$4000_const,1
125,$4000_vol,6
125,$4004_duty,2
125,$4004_const,1
125,$4004_vol,5
125,$4008_linear,127
126,$4000_duty,2
126,$4000_const,1
126,$4000_vol,5
126,$4004_duty,2
126,$4004_const,1
126,$4004_vol,4
126,$4008_linear,127
127,$4000_duty,2
127,$4000_const,1
127,$4000_vol,4
127,$4004_duty,2
127,$4004_const,1
127,$4004_vol,3
127,$4008_linear,127
128,$4000_duty,2
128,$4000_const,1
128,$4000_vol,4
128,$4004_duty,2
128,$4004_const,1
128,$4004_vol,3
128,$4008_linear,127
129,$4000_duty,2
129,$4000_const,1
129,$4000_vol,4
129,$4004_duty,2
129,$4004_const,1
129,$4004_vol,3
129,$4008_linear,0
130,$4000_duty,2
130,$4000_const,1
130,$4000_vol,4
130,$4004_duty,2
130,$4004_const,1
130,$4004_vol,3
130,$4008_linear,0
131,$4000_duty,2
131,$4000_const,1
131,$4000_vol,3
131,$4004_duty,2
131,$4004_const,1
131,$4004_vol,2
132,$4000_duty,2
132,$4000_const,1
132,$4000_vol,3
132,$4004_duty,2
132,$4004_const,1
132,$4004_vol,2
132,$4008_linear,0
133,$4000_duty,2
133,$4000_const,1
133,$4000_vol,3
133,$4004_duty,2
133,$4004_const,1
133,$4004_vol,2
134,$4000_duty,2
134,$4000_const,1
134,$4000_vol,3
134,$4004_duty,2
134,$4004_const,1
134,$4004_vol,2
135,$4000_duty,2
135,$4000_const,1
135,$4000_vol,2
135,$4004_duty,2
135,$4004_const,1
135,$4004_vol,1
136,$4000_duty,2
136,$4000_const,1
136,$4000_vol,2
136,$4004_duty,2
136,$4004_const,1
136,$4004_vol,1
137,$4000_duty,2
137,$4000_const,1
137,$4000_vol,2
137,$4004_duty,2
137,$4004_const,1
137,$4004_vol,1
138,$4000_duty,2
138,$4000_const,1
138,$4000_vol,2
138,$4004_duty,2
138,$4004_const,1
138,$4004_vol,1
139,$4000_duty,2
139,$4000_const,1
139,$4000_vol,1
139,$4004_duty,2
139,$4004_const,1
139,$4004_vol,0
140,$4000_duty,2
140,$4000_const,1
140,$4000_vol,9
140,$4002_period,191
140,$400B_length,8
140,$4004_duty,2
140,$4004_const,1
140,$4004_vol,8
140,$4006_period,241
140,$4008_linear,127
140,$400A_period,481
140,$400B_length,8
141,$4000_duty,2
141,$4000_const,1
141,$4000_vol,7
141,$4004_duty,2
141,$4004_const,1
141,$4004_vol,6
141,$4008_linear,127
142,$4000_duty,2
142,$4000_const,1
142,$4000_vol,6
142,$4004_duty,2
142,$4004_const,1
142,$4004_vol,5
142,$4008_linear,127
143,$4000_duty,2
143,$4000_const,1
143,$4000_vol,5
143,$4004_duty,2
143,$4004_const,1
143,$4004_vol,4
143,$4008_linear,127
144,$4000_duty,2
144,$4000_const,1
144,$4000_vol,4
144,$4004_duty,2
144,$4004_const,1
144,$4004_vol,3
144,$4008_linear,127
145,$4000_duty,2
145,$4000_const,1
145,$4000_vol,4
145,$4004_duty,2
145,$4004_const,1
145,$4004_vol,3
145,$4008_linear,127
146,$4000_duty,2
146,$4000_const,1
146,$4000_vol,4
146,$4004_duty,2
146,$4004_const,1
146,$4004_vol,3
146,$4008_linear,0
147,$4000_duty,2
147,$4000_const,1
147,$4000_vol,4
147,$4004_duty,2
147,$4004_const,1
147,$4004_vol,3
