frame,parameter,value
100,$4008_linear,0
100,$4000_duty,2
100,$4000_const,1
100,$4000_vol,0
100,$4004_duty,2
100,$4004_const,1
100,$4004_vol,0
100,$400C_const,1
100,$400C_vol,0
143,$4000_duty,2
143,$4000_const,1
143,$4000_vol,15
143,$4001_sweep,127
143,$4002_period,677
143,$400B_length,1
143,$4004_duty,2
143,$4004_const,1
143,$4004_vol,15
143,$4005_sweep,127
143,$4006_period,379
143,$4008_linear,63
143,$400A_period,855
143,$400B_length,1
143,$400C_const,1
143,$400C_vol,15
143,$400E_period,2
143,$400E_mode,1
145,$4000_duty,2
145,$4000_const,1
145,$4000_vol,9
145,$4001_sweep,127
145,$4002_period,477
145,$400B_length,0
145,$4004_duty,2
145,$4004_const,1
145,$4004_vol,15
145,$4005_sweep,127
145,$4008_linear,63
145,$400C_const,1
145,$400C_vol,8
145,$400E_period,2
145,$400E_mode,1
147,$4000_duty,2
147,$4000_const,1
147,$4000_vol,11
147,$4001_sweep,127
147,$4002_period,677
147,$400B_length,1
147,$4004_duty,2
147,$4004_const,1
147,$4004_vol,15
147,$4005_sweep,127
147,$4008_linear,63
147,$400C_const,1
147,$400C_vol,10
147,$400E_period,2
147,$400E_mode,1
149,$4000_duty,2
149,$4000_const,1
149,$4000_vol,13
149,$4001_sweep,127
149,$4002_period,479
149,$400B_length,0
149,$4004_duty,2
149,$4004_const,1
149,$4004_vol,15
149,$4005_sweep,127
149,$4008_linear,63
149,$400C_const,1
149,$400C_vol,12
149,$400E_period,2
149,$400E_mode,1
151,$4000_duty,2
151,$4000_const,1
151,$4000_vol,15
151,$4001_sweep,127
151,$4002_period,677
151,$400B_length,1
151,$4004_duty,2
151,$4004_const,1
151,$4004_vol,15
151,$4005_sweep,127
151,$4008_linear,63
151,$400C_const,1
151,$400C_vol,13
151,$400E_period,2
151,$400E_mode,1
153,$4000_duty,2
153,$4000_const,1
153,$4000_vol,11
153,$4001_sweep,127
153,$4002_period,477
153,$400B_length,0
153,$4004_duty,2
153,$4004_const,1
153,$4004_vol,15
153,$4005_sweep,127
153,$4008_linear,63
153,$400C_const,1
153,$400C_vol,10
153,$400E_period,2
153,$400E_mode,1
155,$4000_duty,2
155,$4000_const,1
155,$4000_vol,7
155,$4001_sweep,127
155,$4002_period,677
155,$400B_length,1
155,$4004_duty,2
155,$4004_const,1
155,$4004_vol,15
155,$4005_sweep,127
155,$4008_linear,63
155,$400C_const,1
155,$400C_vol,6
155,$400E_period,2
155,$400E_mode,1
157,$4000_duty,2
157,$4000_const,1
157,$4000_vol,3
157,$4001_sweep,127
157,$4002_period,477
157,$400B_length,0
157,$4004_duty,2
157,$4004_const,1
157,$4004_vol,15
157,$4005_sweep,127
157,$4008_linear,63
157,$400C_const,1
157,$400C_vol,2
157,$400E_period,2
157,$400E_mode,1
159,$4000_duty,2
159,$4000_const,1
159,$4000_vol,14
159,$4001_sweep,127
159,$4002_period,677
159,$400B_length,1
159,$4004_duty,2
159,$4004_const,1
159,$4004_vol,14
159,$4005_sweep,127
159,$4008_linear,63
159,$400C_const,1
159,$400C_vol,14
159,$400E_period,2
159,$400E_mode,1
161,$4000_duty,2
161,$4000_const,1
161,$4000_vol,8
161,$4001_sweep,127
161,$4002_period,477
161,$400B_length,0
161,$4004_duty,2
161,$4004_const,1
161,$4004_vol,14
161,$4005_sweep,127
161,$4008_linear,63
161,$400C_const,1
161,$400C_vol,7
161,$400E_period,2
161,$400E_mode,1
163,$4000_duty,2
163,$4000_const,1
163,$4000_vol,10
163,$4001_sweep,127
163,$4002_period,677
163,$400B_length,1
163,$4004_duty,2
163,$4004_const,1
163,$4004_vol,14
163,$4005_sweep,127
163,$4008_linear,63
163,$400C_const,1
163,$400C_vol,9
163,$400E_period,2
163,$400E_mode,1
165,$4000_duty,2
165,$4000_const,1
