frame,parameter,value
0,$400C_const,0
0,$400C_vol,0
0,$400E_period,5
0,$400E_mode,0
12,$400C_const,0
12,$400C_vol,0
12,$400E_period,2
12,$400E_mode,0
24,$400C_const,0
24,$400C_vol,0
24,$400E_period,5
24,$400E_mode,0
36,$4001_sweep,0
36,$4000_duty,0
36,$4000_const,1
36,$4000_vol,0
36,$4002_period,1
36,$400B_length,192
36,$4005_sweep,0
36,$4004_duty,0
36,$4004_const,1
36,$4004_vol,0
36,$4006_period,1
36,$4008_linear,0
36,$400C_const,0
36,$400C_vol,0
36,$400E_period,4
36,$400E_mode,0
48,$400C_const,0
48,$400C_vol,0
48,$400E_period,5
48,$400E_mode,0
60,$400C_const,0
60,$400C_vol,0
60,$400E_period,2
60,$400E_mode,0
72,$400C_const,0
72,$400C_vol,0
72,$400E_period,5
72,$400E_mode,0
84,$400C_const,0
84,$400C_vol,0
84,$400E_period,2
84,$400E_mode,0
96,$400C_const,0
96,$400C_vol,0
96,$400E_period,5
96,$400E_mode,0
108,$400C_const,0
108,$400C_vol,0
108,$400E_period,2
108,$400E_mode,0
120,$400C_const,0
120,$400C_vol,0
120,$400E_period,5
120,$400E_mode,0
132,$4001_sweep,0
132,$4000_duty,0
132,$4000_const,1
132,$4000_vol,0
132,$4002_period,1
132,$400B_length,192
132,$4005_sweep,0
132,$4004_duty,0
132,$4004_const,1
132,$4004_vol,0
132,$4006_period,1
132,$4008_linear,0
132,$400C_const,0
132,$400C_vol,0
132,$400E_period,4
132,$400E_mode,0
144,$400C_const,0
144,$400C_vol,0
144,$400E_period,5
144,$400E_mode,0
156,$400C_const,0
156,$400C_vol,0
156,$400E_period,2
156,$400E_mode,0
168,$400C_const,0
168,$400C_vol,0
168,$400E_period,5
168,$400E_mode,0
180,$400C_const,0
180,$400C_vol,0
180,$400E_period,4
180,$400E_mode,0
192,$400C_const,0
192,$400C_vol,0
192,$400E_period,5
192,$400E_mode,0
204,$400C_const,0
204,$400C_vol,0
204,$400E_period,2
204,$400E_mode,0
216,$400C_const,0
216,$400C_vol,0
216,$400E_period,5
216,$400E_mode,0
228,$4001_sweep,0
228,$4000_duty,0
228,$4000_const,1
228,$4000_vol,0
228,$4002_period,1
228,$400B_length,192
228,$4005_sweep,0
228,$4004_duty,0
228,$4004_const,1
228,$4004_vol,0
228,$4006_period,1
228,$4008_linear,0
228,$400C_const,0
228,$400C_vol,0
228,$400E_period,4
228,$400E_mode,0
240,$400C_const,0
240,$400C_vol,0
240,$400E_period,5
240,$400E_mode,0
252,$400C_const,0
252,$400C_vol,0
252,$400E_period,2
252,$400E_mode,0
264,$400C_const,0
264,$400C_vol,0
264,$400E_period,5
264,$400E_mode,0
276,$400C_const,0
276,$400C_vol,0
276,$400E_period,2
276,$400E_mode,0
288,$400C_const,0
288,$400C_vol,0
288,$400E_period,5
288,$400E_mode,0
300,$400C_const,0
300,$400C_vol,0
300,$400E_period,2
300,$400E_mode,0
312,$400C_const,0
312,$400C_vol,0
312,$400E_period,5
312,$400E_mode,0
324,$4001_sweep,0
324,$4000_duty,0
324,$4000_const,1
324,$4000_vol,0
324,$4002_period,1
324,$400B_length,192
324,$4005_sweep,0
324,$4004_duty,0
324,$4004_const,1
324,$4004_vol,0
324,$4006_period,1
324,$400A_period,641
324,$400B_length,9
324,$4008_linear,24
324,$400C_const,0
324,$400C_vol,0
324,$400E_period,4
324,$400E_mode,0
336,$400A_period,321
336,$400B_length,8
336,$4008_linear,24
336,$400C_const,0
336,$400C_vol,0
336,$400E_period,5
336,$400E_mode,0
348,$400A_period,1017
348,$400B_length,9
348,$4008_linear,24
348,$400C_const,0
348,$400C_vol,0
348,$400E_period,2
348,$400E_mode,0
360,$400A_period,509
360,$400B_length,8
360,$4008_linear,24
360,$400C_const,0
360,$400C_vol,0
360,$400E_period,5
360,$400E_mode,0
372,$400A_period,961
372,$400B_length,9
372,$4008_linear,24
372,$400C_const,0
372,$400C_vol,0
372,$400E_period,4
372,$400E_mode,0
