frame,parameter,value
6,$4000_duty,1
6,$4000_const,0
6,$4000_vol,15
6,$4002_period,321
6,$400B_length,8
6,$4004_duty,1
6,$4004_const,0
6,$4004_vol,15
6,$4006_period,381
6,$4008_linear,32
6,$400A_period,961
6,$400B_length,9
6,$400C_const,0
6,$400C_vol,0
6,$400E_period,5
6,$400E_mode,0
18,$4000_duty,1
18,$4000_const,0
18,$4000_vol,15
18,$4002_period,359
18,$400B_length,8
18,$4004_duty,1
18,$4004_const,0
18,$4004_vol,15
18,$4006_period,427
18,$4008_linear,32
18,$400A_period,481
18,$400B_length,8
30,$4008_linear,32
30,$400A_period,719
30,$400B_length,9
30,$400C_const,0
30,$400C_vol,0
30,$400E_period,10
30,$400E_mode,0
42,$4008_linear,32
42,$400A_period,359
42,$400B_length,8
54,$4008_linear,32
54,$400A_period,719
54,$400B_length,9
54,$400C_const,0
54,$400C_vol,0
54,$400E_period,5
54,$400E_mode,0
66,$4008_linear,32
66,$400A_period,359
66,$400B_length,8
78,$4008_linear,32
78,$400A_period,719
78,$400B_length,9
78,$400C_const,0
78,$400C_vol,0
78,$400E_period,10
78,$400E_mode,0
90,$4000_duty,1
90,$4000_const,0
90,$4000_vol,15
90,$4002_period,359
90,$400B_length,8
90,$4004_duty,1
90,$4004_const,0
90,$4004_vol,15
90,$4006_period,427
90,$4008_linear,32
90,$400A_period,359
90,$400B_length,8
90,$400C_const,0
90,$400C_vol,0
90,$400E_period,10
90,$400E_mode,0
102,$4000_duty,1
102,$4000_const,0
102,$4000_vol,15
102,$4002_period,381
102,$400B_length,8
102,$4004_duty,1
102,$4004_const,0
102,$4004_vol,15
102,$4006_period,481
102,$4008_linear,32
102,$400A_period,719
102,$400B_length,9
102,$400C_const,0
102,$400C_vol,0
102,$400E_period,5
102,$400E_mode,0
114,$4000_duty,1
114,$4000_const,0
114,$4000_vol,15
114,$4002_period,427
114,$400B_length,8
114,$4004_duty,1
114,$4004_const,0
114,$4004_vol,15
114,$4006_period,509
114,$4008_linear,32
114,$400A_period,359
114,$400B_length,8
126,$4000_duty,1
126,$4000_const,0
126,$4000_vol,15
126,$4002_period,381
126,$400B_length,8
126,$4004_duty,1
126,$4004_const,0
126,$4004_vol,15
126,$4006_period,481
126,$4008_linear,32
126,$400A_period,961
126,$400B_length,9
126,$400C_const,0
126,$400C_vol,0
126,$400E_period,10
126,$400E_mode,0
138,$4000_duty,1
138,$4000_const,0
138,$4000_vol,15
138,$4002_period,481
138,$400B_length,8
138,$4004_duty,1
138,$4004_const,0
138,$4004_vol,15
138,$4006_period,571
138,$4008_linear,32
138,$400A_period,481
138,$400B_length,8
150,$4008_linear,32
