frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$400A_period,513
0,$400B_length,1
0,$400C_const,1
0,$400C_vol,12
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
1,$400C_const,1
1,$400C_vol,11
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$400C_const,1
2,$400C_vol,10
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
3,$400C_const,1
3,$400C_vol,9
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
4,$400C_const,1
4,$400C_vol,8
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
5,$400C_const,1
5,$400C_vol,7
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
6,$400E_period,8
6,$400E_mode,0
6,$400C_const,1
6,$400C_vol,11
6,$400E_period,8
6,$400E_mode,0
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,2
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,8
7,$400E_period,4
7,$400E_mode,0
7,$400C_const,1
7,$400C_vol,0
7,$400E_period,4
7,$400E_mode,0
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,2
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,7
8,$400C_const,1
8,$400C_vol,0
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,2
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,6
9,$400A_period,1281
9,$400B_length,2
9,$400C_const,1
9,$400C_vol,0
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,2
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,5
10,$400A_period,1615
10,$400B_length,3
10,$400C_const,1
10,$400C_vol,0
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,2
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,4
11,$400C_const,1
11,$400C_vol,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,2
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,3
12,$400A_period,2563
12,$400B_length,5
12,$400C_const,1
12,$400C_vol,0
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,2
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,2
13,$400A_period,3229
13,$400B_length,6
13,$400C_const,1
13,$400C_vol,0
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,2
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,1
14,$400C_const,1
14,$400C_vol,0
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,2
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,0
15,$400A_period,1
15,$400B_length,0
15,$400C_const,1
15,$400C_vol,0
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,2
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,0
16,$400C_const,1
16,$400C_vol,0
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,2
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,0
17,$400C_const,1
17,$400C_vol,0
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,2
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,0
18,$400C_const,1
18,$400C_vol,0
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,2
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,0
19,$400C_const,1
19,$400C_vol,0
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,2
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,0
20,$400C_const,1
20,$400C_vol,0
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,2
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,0
21,$400C_const,1
21,$400C_vol,0
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,2
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,0
22,$400C_const,1
22,$400C_vol,0
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,2
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,0
23,$400E_period,2
23,$400E_mode,0
23,$400C_const,1
23,$400C_vol,6
23,$400E_period,2
23,$400E_mode,0
