frame,parameter,value
94,$4000_duty,1
94,$4000_const,0
94,$4000_vol,3
94,$4001_sweep,8
94,$4002_period,1709
94,$400B_length,179
94,$400C_const,0
94,$400C_vol,1
94,$400E_period,0
94,$400E_mode,0
94,$4004_duty,2
94,$4004_const,0
94,$4004_vol,4
94,$4005_sweep,54
94,$4006_period,1709
100,$400C_const,0
100,$400C_vol,1
100,$400E_period,0
100,$400E_mode,0
106,$400C_const,0
106,$400C_vol,1
106,$400E_period,5
106,$400E_mode,0
106,$4004_duty,2
106,$4004_const,0
106,$4004_vol,4
106,$4005_sweep,54
106,$4006_period,2277
112,$400C_const,0
112,$400C_vol,1
112,$400E_period,0
112,$400E_mode,0
118,$400C_const,0
118,$400C_vol,1
118,$400E_period,0
118,$400E_mode,0
118,$4004_duty,2
118,$4004_const,0
118,$4004_vol,4
118,$4005_sweep,54
118,$4006_period,2145
124,$400C_const,0
124,$400C_vol,1
124,$400E_period,0
124,$400E_mode,0
130,$400C_const,0
130,$400C_vol,1
130,$400E_period,5
130,$400E_mode,0
130,$4004_duty,2
130,$4004_const,0
130,$4004_vol,4
130,$4005_sweep,54
130,$4006_period,1921
136,$400C_const,0
136,$400C_vol,1
136,$400E_period,0
136,$400E_mode,0
142,$4000_duty,1
142,$4000_const,0
142,$4000_vol,3
142,$4001_sweep,8
142,$4002_period,2145
142,$400B_length,180
142,$400C_const,0
142,$400C_vol,1
142,$400E_period,0
142,$400E_mode,0
142,$4004_duty,2
142,$4004_const,0
142,$4004_vol,4
142,$4005_sweep,54
142,$4006_period,2145
148,$400C_const,0
148,$400C_vol,1
148,$400E_period,0
148,$400E_mode,0
154,$400C_const,0
154,$400C_vol,1
154,$400E_period,5
154,$400E_mode,0
154,$4004_duty,2
154,$4004_const,0
154,$4004_vol,4
154,$4005_sweep,54
154,$4006_period,2557
160,$400C_const,0
160,$400C_vol,1
160,$400E_period,0
160,$400E_mode,0
166,$4000_duty,1
166,$4000_const,0
166,$4000_vol,3
166,$4001_sweep,8
166,$4002_period,2277
166,$400B_length,180
166,$400C_const,0
166,$400C_vol,1
166,$400E_period,0
166,$400E_mode,0
166,$4004_duty,2
166,$4004_const,0
166,$4004_vol,4
166,$4005_sweep,54
166,$4006_period,2277
172,$400C_const,0
172,$400C_vol,1
172,$400E_period,0
172,$400E_mode,0
178,$400C_const,0
178,$400C_vol,1
178,$400E_period,5
178,$400E_mode,0
178,$4004_duty,2
178,$4004_const,0
178,$4004_vol,4
178,$4005_sweep,54
178,$4006_period,1921
184,$400C_const,0
184,$400C_vol,1
184,$400E_period,0
184,$400E_mode,0
190,$4000_duty,1
190,$4000_const,0
190,$4000_vol,3
190,$4001_sweep,8
190,$4002_period,1709
190,$400B_length,179
190,$400C_const,0
190,$400C_vol,1
190,$400E_period,0
190,$400E_mode,0
190,$4004_duty,2
190,$4004_const,0
190,$4004_vol,4
190,$4005_sweep,54
190,$4006_period,1709
196,$400C_const,0
196,$400C_vol,1
196,$400E_period,0
196,$400E_mode,0
202,$400C_const,0
202,$400C_vol,1
202,$400E_period,5
202,$400E_mode,0
202,$4004_duty,2
202,$4004_const,0
202,$4004_vol,4
202,$4005_sweep,54
202,$4006_period,2277
208,$400C_const,0
