frame,parameter,value
78,$4008_linear,65
78,$400A_period,567
78,$400B_length,89
78,$4000_duty,3
78,$4000_const,0
78,$4000_vol,3
78,$4001_sweep,0
78,$4002_period,567
78,$400B_length,9
78,$4004_duty,3
78,$4004_const,0
78,$4004_vol,4
78,$4005_sweep,8
78,$4006_period,2277
78,$400C_const,0
78,$400C_vol,1
78,$400E_period,0
78,$400E_mode,0
85,$4008_linear,65
85,$400A_period,505
85,$400B_length,88
85,$4000_duty,3
85,$4000_const,0
85,$4000_vol,3
85,$4001_sweep,0
85,$4002_period,505
85,$400B_length,8
85,$400C_const,0
85,$400C_vol,1
85,$400E_period,0
85,$400E_mode,0
92,$4008_linear,65
92,$400A_period,451
92,$400B_length,88
92,$4000_duty,3
92,$4000_const,0
92,$4000_vol,3
92,$4001_sweep,0
92,$4002_period,451
92,$400B_length,8
92,$400C_const,0
92,$400C_vol,1
92,$400E_period,0
92,$400E_mode,0
99,$4008_linear,65
99,$400A_period,451
99,$400B_length,88
99,$4000_duty,3
99,$4000_const,0
99,$4000_vol,3
99,$4001_sweep,0
99,$4002_period,379
99,$400B_length,8
99,$400C_const,0
99,$400C_vol,1
99,$400E_period,0
99,$400E_mode,0
120,$400C_const,0
120,$400C_vol,1
120,$400E_period,5
120,$400E_mode,0
133,$4008_linear,65
133,$400A_period,637
133,$400B_length,89
133,$4000_duty,3
133,$4000_const,0
133,$4000_vol,3
133,$4001_sweep,0
133,$4002_period,637
133,$400B_length,9
133,$4004_duty,3
133,$4004_const,0
133,$4004_vol,4
133,$4005_sweep,8
133,$4006_period,2557
133,$400C_const,0
133,$400C_vol,1
133,$400E_period,0
133,$400E_mode,0
140,$4008_linear,65
140,$400A_period,567
140,$400B_length,89
140,$4000_duty,3
140,$4000_const,0
140,$4000_vol,3
140,$4001_sweep,0
140,$4002_period,567
140,$400B_length,9
140,$400C_const,0
140,$400C_vol,1
140,$400E_period,0
140,$400E_mode,0
147,$4008_linear,65
147,$400A_period,505
147,$400B_length,88
147,$4000_duty,3
147,$4000_const,0
147,$4000_vol,3
147,$4001_sweep,0
147,$4002_period,505
147,$400B_length,8
147,$400C_const,0
147,$400C_vol,1
147,$400E_period,0
147,$400E_mode,0
154,$4008_linear,65
154,$400A_period,505
154,$400B_length,88
154,$4000_duty,3
154,$4000_const,0
154,$4000_vol,3
154,$4001_sweep,0
154,$4002_period,425
154,$400B_length,8
154,$400C_const,0
154,$400C_vol,1
154,$400E_period,0
154,$400E_mode,0
174,$400C_const,0
174,$400C_vol,1
174,$400E_period,5
174,$400E_mode,0
188,$4008_linear,65
188,$400A_period,853
188,$400B_length,89
188,$4000_duty,3
188,$4000_const,0
