frame,parameter,value
495,$4000_duty,0
495,$4000_const,1
495,$4000_vol,0
495,$4004_duty,0
495,$4004_const,1
495,$4004_vol,0
495,$400C_const,1
495,$400C_vol,0
495,$4008_linear,0
496,$4000_duty,0
496,$4000_const,1
496,$4000_vol,0
496,$4005_sweep,127
496,$4006_period,1
496,$4004_duty,1
496,$4004_const,1
496,$4004_vol,8
496,$400A_period,513
496,$400B_length,9
496,$400A_period,845
496,$400B_length,1
496,$4008_linear,16
497,$4004_duty,2
497,$4004_const,1
497,$4004_vol,7
498,$4004_duty,2
498,$4004_const,1
498,$4004_vol,6
499,$4004_duty,2
499,$4004_const,1
499,$4004_vol,5
500,$4004_duty,2
500,$4004_const,1
500,$4004_vol,4
501,$4004_duty,2
501,$4004_const,1
501,$4004_vol,3
503,$4004_duty,1
503,$4004_const,1
503,$4004_vol,1
504,$4004_duty,1
504,$4004_const,1
504,$4004_vol,1
505,$4004_duty,1
505,$4004_const,1
505,$4004_vol,1
506,$4004_duty,1
506,$4004_const,1
506,$4004_vol,8
507,$4004_duty,2
507,$4004_const,1
507,$4004_vol,7
508,$4004_duty,2
508,$4004_const,1
508,$4004_vol,6
509,$4004_duty,2
509,$4004_const,1
509,$4004_vol,5
510,$4004_duty,2
510,$4004_const,1
510,$4004_vol,4
511,$4001_sweep,127
511,$4002_period,1
511,$400B_length,8
511,$4000_duty,2
511,$4000_const,1
511,$4000_vol,2
511,$4004_duty,2
511,$4004_const,1
511,$4004_vol,3
513,$4004_duty,1
513,$4004_const,1
513,$4004_vol,1
514,$4004_duty,1
514,$4004_const,1
514,$4004_vol,1
515,$4004_duty,1
515,$4004_const,1
515,$4004_vol,1
516,$4004_duty,1
516,$4004_const,1
516,$4004_vol,8
517,$4004_duty,2
517,$4004_const,1
517,$4004_vol,7
518,$4004_duty,2
518,$4004_const,1
518,$4004_vol,6
519,$4004_duty,2
519,$4004_const,1
519,$4004_vol,5
520,$4004_duty,2
520,$4004_const,1
520,$4004_vol,4
521,$4000_duty,2
521,$4000_const,1
521,$4000_vol,2
521,$4004_duty,2
521,$4004_const,1
521,$4004_vol,3
523,$4004_duty,1
523,$4004_const,1
523,$4004_vol,1
524,$4004_duty,1
524,$4004_const,1
524,$4004_vol,1
525,$4004_duty,1
525,$4004_const,1
525,$4004_vol,1
526,$4004_duty,1
526,$4004_const,1
526,$4004_vol,8
527,$4004_duty,2
527,$4004_const,1
527,$4004_vol,7
528,$4004_duty,2
528,$4004_const,1
528,$4004_vol,6
529,$4004_duty,2
529,$4004_const,1
529,$4004_vol,5
530,$4004_duty,2
530,$4004_const,1
530,$4004_vol,4
531,$4000_duty,2
531,$4000_const,1
531,$4000_vol,2
531,$4004_duty,2
531,$4004_const,1
531,$4004_vol,3
533,$4004_duty,2
533,$4004_const,1
533,$4004_vol,1
534,$4004_duty,1
534,$4004_const,1
534,$4004_vol,1
535,$4004_duty,1
535,$4004_const,1
535,$4004_vol,1
536,$4004_duty,1
536,$4004_const,1
536,$4004_vol,8
537,$4004_duty,2
537,$4004_const,1
537,$4004_vol,7
538,$4004_duty,2
538,$4004_const,1
538,$4004_vol,6
539,$4004_duty,2
539,$4004_const,1
539,$4004_vol,5
