frame,parameter,value
0,$4011_dac,127
1,$4011_dac,127
2,$4011_dac,127
3,$4011_dac,127
4,$4011_dac,127
5,$4011_dac,127
6,$4011_dac,127
7,$4011_dac,127
8,$4011_dac,127
9,$4011_dac,127
10,$4011_dac,127
11,$4011_dac,127
12,$4011_dac,127
13,$4011_dac,127
14,$4011_dac,127
15,$4011_dac,127
16,$4011_dac,127
17,$4011_dac,127
18,$4011_dac,127
19,$4011_dac,127
20,$4011_dac,127
21,$4011_dac,127
22,$4011_dac,127
23,$4011_dac,127
24,$4011_dac,127
25,$4011_dac,127
26,$4011_dac,127
27,$4011_dac,127
28,$4011_dac,127
29,$4011_dac,127
30,$4011_dac,127
31,$4011_dac,127
32,$4011_dac,127
33,$4011_dac,127
34,$4011_dac,127
35,$4011_dac,127
36,$4011_dac,127
37,$4011_dac,127
38,$4011_dac,127
39,$4011_dac,127
40,$4011_dac,127
41,$4011_dac,127
42,$4011_dac,127
43,$4011_dac,127
44,$4011_dac,127
45,$4011_dac,127
46,$4011_dac,127
47,$4011_dac,127
48,$4011_dac,127
49,$4011_dac,127
50,$4011_dac,127
51,$4011_dac,127
52,$4011_dac,127
53,$4011_dac,127
54,$4011_dac,127
55,$4011_dac,127
56,$4011_dac,127
57,$4011_dac,127
58,$4011_dac,127
59,$4011_dac,127
60,$4011_dac,127
61,$4011_dac,127
62,$4011_dac,127
63,$4011_dac,127
64,$4011_dac,127
65,$4011_dac,127
66,$4011_dac,127
67,$4011_dac,127
68,$4011_dac,127
69,$4011_dac,127
70,$4011_dac,127
71,$4011_dac,127
72,$4011_dac,127
73,$4011_dac,127
74,$4011_dac,127
75,$4011_dac,127
76,$4011_dac,127
77,$4011_dac,127
78,$4011_dac,127
79,$4011_dac,127
80,$4011_dac,127
81,$4011_dac,127
82,$4011_dac,127
83,$4011_dac,127
84,$4011_dac,127
85,$4011_dac,127
86,$4011_dac,127
87,$4011_dac,127
88,$4011_dac,127
89,$4011_dac,127
90,$4011_dac,127
91,$4011_dac,127
92,$4011_dac,127
93,$4011_dac,127
94,$4011_dac,127
95,$4011_dac,127
96,$4011_dac,127
97,$4011_dac,127
98,$4011_dac,127
99,$4011_dac,127
100,$4011_dac,127
101,$4011_dac,127
102,$4011_dac,127
103,$4011_dac,127
104,$4011_dac,127
105,$4011_dac,127
106,$4011_dac,127
107,$4011_dac,127
108,$4011_dac,127
109,$4011_dac,127
110,$4011_dac,127
111,$4011_dac,127
112,$4011_dac,127
113,$4011_dac,127
114,$4011_dac,127
115,$4011_dac,127
116,$4011_dac,127
117,$4011_dac,127
118,$4011_dac,127
119,$4011_dac,127
120,$4011_dac,127
121,$4011_dac,127
122,$4011_dac,127
123,$4011_dac,127
124,$4011_dac,127
125,$4011_dac,127
126,$4011_dac,127
127,$4011_dac,127
128,$4011_dac,127
129,$4011_dac,127
130,$4011_dac,127
131,$4011_dac,127
132,$4011_dac,127
133,$4011_dac,127
134,$4011_dac,127
135,$4011_dac,127
136,$4011_dac,127
137,$4011_dac,127
138,$4011_dac,127
139,$4011_dac,127
140,$4011_dac,127
141,$4011_dac,127
142,$4011_dac,127
143,$4011_dac,127
144,$4011_dac,127
145,$4011_dac,127
146,$4011_dac,127
147,$4011_dac,127
148,$4011_dac,127
149,$4011_dac,127
150,$4011_dac,127
151,$4011_dac,127
152,$4011_dac,127
153,$4011_dac,127
154,$4011_dac,127
155,$4011_dac,127
156,$4011_dac,127
157,$4011_dac,127
158,$4011_dac,127
159,$4011_dac,127
160,$4011_dac,127
161,$4011_dac,127
162,$4011_dac,127
163,$4011_dac,127
164,$4011_dac,127
165,$4011_dac,127
166,$4011_dac,127
167,$4011_dac,127
168,$4011_dac,127
169,$4011_dac,127
170,$4012_addr,246
170,$4013_len,8
170,$4010_rate,15
170,$4000_duty,3
170,$4000_const,1
170,$4000_vol,0
170,$4002_period,101
170,$400B_length,32
170,$4004_duty,3
170,$4004_const,1
170,$4004_vol,0
170,$4006_period,201
170,$400E_period,5
170,$400E_mode,0
170,$400C_const,1
170,$400C_vol,10
171,$400C_const,1
171,$400C_vol,9
171,$4011_dac,127
172,$400C_const,1
172,$400C_vol,0
172,$4011_dac,127
173,$4011_dac,127
174,$4011_dac,127
175,$4011_dac,127
176,$4011_dac,127
177,$400E_period,7
177,$400E_mode,0
177,$400C_const,1
177,$400C_vol,4
177,$4011_dac,127
178,$4004_duty,3
178,$4004_const,1
178,$4004_vol,1
178,$400C_const,1
178,$400C_vol,3
178,$4011_dac,127
179,$400C_const,1
179,$400C_vol,0
179,$4011_dac,127
180,$4004_duty,3
180,$4004_const,1
180,$4004_vol,2
180,$4011_dac,127
181,$4011_dac,127
182,$4011_dac,127
183,$4011_dac,127
184,$400E_period,5
184,$400E_mode,0
184,$400C_const,1
184,$400C_vol,10
184,$4011_dac,127
185,$400C_const,1
185,$400C_vol,9
185,$4011_dac,127
186,$400C_const,1
186,$400C_vol,0
186,$4011_dac,127
187,$4011_dac,127
188,$4011_dac,127
189,$4011_dac,127
190,$4011_dac,127
191,$400E_period,7
191,$400E_mode,0
191,$400C_const,1
