frame,parameter,value
2,$400A_period,513
2,$400B_length,9
8,$400A_period,1283
8,$400B_length,10
14,$400A_period,1359
14,$400B_length,10
20,$400A_period,1525
20,$400B_length,10
26,$400A_period,1359
26,$400B_length,10
32,$400A_period,1017
32,$400B_length,9
38,$400A_period,1017
38,$400B_length,9
44,$400A_period,429
44,$400B_length,8
50,$400A_period,1017
50,$400B_length,9
56,$400A_period,1017
56,$400B_length,9
62,$400A_period,453
62,$400B_length,8
68,$400A_period,1017
68,$400B_length,9
74,$400A_period,1017
74,$400B_length,9
80,$400A_period,509
80,$400B_length,8
86,$400A_period,1017
86,$400B_length,9
92,$400A_period,1017
92,$400B_length,9
98,$400A_period,1017
98,$400B_length,9
104,$400A_period,1283
104,$400B_length,10
110,$400A_period,1359
110,$400B_length,10
116,$400A_period,1525
116,$400B_length,10
122,$400A_period,1359
122,$400B_length,10
128,$4000_duty,2
128,$4000_const,1
128,$4000_vol,2
128,$4002_period,379
128,$400B_length,8
128,$400A_period,1017
128,$400B_length,9
134,$4000_duty,2
134,$4000_const,1
134,$4000_vol,4
134,$4004_duty,1
134,$4004_const,1
134,$4004_vol,2
134,$4006_period,763
134,$400A_period,1017
134,$400B_length,9
140,$4000_duty,2
140,$4000_const,1
140,$4000_vol,6
140,$4004_duty,1
140,$4004_const,1
140,$4004_vol,4
140,$400A_period,429
140,$400B_length,8
146,$4000_duty,2
146,$4000_const,1
146,$4000_vol,9
146,$4004_duty,1
146,$4004_const,1
146,$4004_vol,6
146,$400A_period,1017
146,$400B_length,9
152,$4000_duty,2
152,$4000_const,1
152,$4000_vol,11
152,$4004_duty,1
152,$4004_const,1
152,$4004_vol,9
152,$400A_period,1017
152,$400B_length,9
158,$4000_duty,2
158,$4000_const,1
158,$4000_vol,13
158,$4004_duty,1
158,$4004_const,1
158,$4004_vol,11
158,$400A_period,453
158,$400B_length,8
164,$4000_duty,2
164,$4000_const,1
164,$4000_vol,15
164,$4004_duty,1
164,$4004_const,1
164,$4004_vol,13
164,$400A_period,1017
164,$400B_length,9
170,$4004_duty,1
170,$4004_const,1
170,$4004_vol,15
170,$400A_period,1017
170,$400B_length,9
176,$400A_period,509
176,$400B_length,8
182,$400A_period,1017
182,$400B_length,9
188,$400A_period,1017
188,$400B_length,9
194,$400A_period,1017
194,$400B_length,9
200,$400A_period,1283
200,$400B_length,10
206,$400A_period,1359
206,$400B_length,10
212,$400A_period,1525
212,$400B_length,10
218,$400A_period,1359
218,$400B_length,10
224,$4002_period,379
224,$400B_length,8
224,$400A_period,1017
224,$400B_length,9
230,$4006_period,763
230,$400A_period,1017
230,$400B_length,9
236,$400A_period,429
236,$400B_length,8
242,$400A_period,1017
242,$400B_length,9
248,$400A_period,1017
248,$400B_length,9
254,$400A_period,453
254,$400B_length,8
260,$400A_period,1017
260,$400B_length,9
266,$400A_period,1017
266,$400B_length,9
272,$400A_period,509
272,$400B_length,8
272,$400C_const,1
272,$400C_vol,13
272,$400E_period,4
272,$400E_mode,0
274,$400C_const,1
274,$400C_vol,4
276,$400C_const,1
276,$400C_vol,2
278,$400A_period,1017
278,$400B_length,9
280,$400C_const,1
280,$400C_vol,0
284,$400A_period,1017
284,$400B_length,9
284,$400C_const,1
284,$400C_vol,13
286,$400C_const,1
286,$400C_vol,4
288,$400C_const,1
288,$400C_vol,2
290,$400A_period,1017
290,$400B_length,9
292,$400C_const,1
292,$400C_vol,0
296,$400A_period,1283
296,$400B_length,10
296,$400C_const,1
296,$400C_vol,13
298,$400C_const,1
298,$400C_vol,4
300,$400C_const,1
300,$400C_vol,2
302,$400A_period,1359
302,$400B_length,10
304,$400C_const,1
304,$400C_vol,0
308,$400A_period,1525
308,$400B_length,10
308,$400C_const,1
308,$400C_vol,13
310,$400C_const,1
310,$400C_vol,4
312,$400C_const,1
312,$400C_vol,2
314,$400A_period,1359
314,$400B_length,10
316,$400C_const,1
316,$400C_vol,0
320,$4000_duty,2
320,$4000_const,1
320,$4000_vol,10
320,$4002_period,427
320,$400B_length,8
320,$400A_period,1017
320,$400B_length,9
320,$400C_const,1
320,$400C_vol,13
320,$400E_period,15
320,$400E_mode,0
322,$400C_const,1
322,$400C_vol,4
324,$400C_const,1
324,$400C_vol,2
326,$4004_duty,1
326,$4004_const,1
326,$4004_vol,8
326,$4006_period,429
326,$400A_period,1017
326,$400B_length,9
326,$400C_const,1
326,$400C_vol,0
332,$400A_period,429
332,$400B_length,8
332,$400C_const,1
332,$400C_vol,13
332,$400E_period,7
332,$400E_mode,0
334,$400C_const,1
334,$400C_vol,4
336,$400C_const,1
336,$400C_vol,2
338,$400A_period,1017
338,$400B_length,9
338,$400C_const,1
338,$400C_vol,0
344,$4002_period,451
344,$400B_length,8
344,$400A_period,1017
344,$400B_length,9
344,$400C_const,1
344,$400C_vol,13
344,$400E_period,15
344,$400E_mode,0
346,$400C_const,1
346,$400C_vol,4
348,$400C_const,1
348,$400C_vol,2
350,$4006_period,453
350,$400A_period,453
350,$400B_length,8
350,$400C_const,1
350,$400C_vol,0
356,$400A_period,1017
356,$400B_length,9
356,$400C_const,1
356,$400C_vol,13
356,$400E_period,7
356,$400E_mode,0
358,$400C_const,1
358,$400C_vol,4
360,$400C_const,1
360,$400C_vol,2
362,$400A_period,1017
362,$400B_length,9
362,$400C_const,1
362,$400C_vol,0
368,$4002_period,507
368,$400B_length,8
368,$400A_period,509
368,$400B_length,8
368,$400C_const,1
368,$400C_vol,13
368,$400E_period,15
368,$400E_mode,0
370,$400C_const,1
370,$400C_vol,4
372,$400C_const,1
372,$400C_vol,2
374,$4006_period,509
374,$400A_period,1017
374,$400B_length,9
374,$400C_const,1
374,$400C_vol,0
380,$400A_period,1017
380,$400B_length,9
380,$400C_const,1
380,$400C_vol,13
380,$400E_period,7
380,$400E_mode,0
382,$400C_const,1
382,$400C_vol,4
384,$400C_const,1
384,$400C_vol,2
386,$400A_period,1017
386,$400B_length,9
386,$400C_const,1
386,$400C_vol,0
392,$4002_period,567
392,$400B_length,9
392,$400A_period,1283
392,$400B_length,10
392,$400C_const,1
392,$400C_vol,13
392,$400E_period,15
392,$400E_mode,0
394,$400C_const,1
394,$400C_vol,4
396,$400C_const,1
396,$400C_vol,2
398,$4006_period,571
398,$400A_period,1359
398,$400B_length,10
398,$400C_const,1
398,$400C_vol,0
404,$400A_period,1525
404,$400B_length,10
404,$400C_const,1
