frame,parameter,value
121,$4000_duty,0
121,$4000_const,1
121,$4000_vol,0
121,$4001_sweep,8
121,$4002_period,1
121,$400B_length,24
121,$4004_duty,0
121,$4004_const,1
121,$4004_vol,0
121,$4005_sweep,8
121,$4006_period,1
121,$400C_const,1
121,$400C_vol,15
121,$400E_period,15
121,$400E_mode,0
122,$4000_duty,0
122,$4000_const,1
122,$4000_vol,0
122,$4001_sweep,8
122,$4004_duty,0
122,$4004_const,1
122,$4004_vol,0
122,$4005_sweep,8
122,$400C_const,1
122,$400C_vol,15
122,$400E_period,14
122,$400E_mode,0
123,$4000_duty,0
123,$4000_const,1
123,$4000_vol,0
123,$4001_sweep,8
123,$4004_duty,0
123,$4004_const,1
123,$4004_vol,0
123,$4005_sweep,8
123,$400C_const,1
123,$400C_vol,15
123,$400E_period,13
123,$400E_mode,0
124,$4000_duty,0
124,$4000_const,1
124,$4000_vol,0
124,$4001_sweep,8
124,$4004_duty,0
124,$4004_const,1
124,$4004_vol,0
124,$4005_sweep,8
124,$400C_const,1
124,$400C_vol,15
124,$400E_period,12
124,$400E_mode,0
125,$4000_duty,0
125,$4000_const,1
125,$4000_vol,0
125,$4001_sweep,8
125,$4004_duty,0
125,$4004_const,1
125,$4004_vol,0
125,$4005_sweep,8
125,$400C_const,1
125,$400C_vol,15
125,$400E_period,11
125,$400E_mode,0
126,$4000_duty,0
126,$4000_const,1
126,$4000_vol,0
126,$4001_sweep,8
126,$4004_duty,0
126,$4004_const,1
126,$4004_vol,0
126,$4005_sweep,8
126,$400C_const,1
126,$400C_vol,15
126,$400E_period,10
126,$400E_mode,0
127,$4000_duty,0
127,$4000_const,1
127,$4000_vol,0
127,$4001_sweep,8
127,$4004_duty,0
127,$4004_const,1
127,$4004_vol,0
127,$4005_sweep,8
127,$400C_const,1
127,$400C_vol,15
127,$400E_period,9
127,$400E_mode,0
128,$4000_duty,0
128,$4000_const,1
128,$4000_vol,0
128,$4001_sweep,8
128,$4004_duty,0
128,$4004_const,1
128,$4004_vol,0
128,$4005_sweep,8
128,$400C_const,1
128,$400C_vol,15
128,$400E_period,8
128,$400E_mode,0
129,$4000_duty,0
129,$4000_const,1
129,$4000_vol,0
129,$4001_sweep,8
129,$4004_duty,0
129,$4004_const,1
129,$4004_vol,0
129,$4005_sweep,8
129,$400C_const,1
129,$400C_vol,15
129,$400E_period,7
129,$400E_mode,0
130,$4000_duty,0
130,$4000_const,1
130,$4000_vol,0
130,$4001_sweep,8
130,$4004_duty,0
130,$4004_const,1
130,$4004_vol,0
130,$4005_sweep,8
130,$400C_const,1
130,$400C_vol,15
130,$400E_period,6
130,$400E_mode,0
131,$4000_duty,0
131,$4000_const,1
131,$4000_vol,0
131,$4001_sweep,8
131,$4004_duty,0
131,$4004_const,1
131,$4004_vol,0
131,$4005_sweep,8
131,$400C_const,1
131,$400C_vol,15
131,$400E_period,5
131,$400E_mode,0
132,$4000_duty,0
132,$4000_const,1
132,$4000_vol,0
132,$4001_sweep,8
132,$4004_duty,0
132,$4004_const,1
132,$4004_vol,0
132,$4005_sweep,8
132,$400C_const,1
132,$400C_vol,15
132,$400E_period,4
132,$400E_mode,0
133,$4000_duty,0
133,$4000_const,1
133,$4000_vol,0
133,$4001_sweep,8
133,$4004_duty,0
133,$4004_const,1
133,$4004_vol,0
133,$4005_sweep,8
133,$400C_const,1
133,$400C_vol,15
133,$400E_period,3
133,$400E_mode,0
134,$4000_duty,0
134,$4000_const,1
134,$4000_vol,0
134,$4001_sweep,8
134,$4004_duty,0
134,$4004_const,1
134,$4004_vol,0
134,$4005_sweep,8
134,$400C_const,1
134,$400C_vol,15
134,$400E_period,2
134,$400E_mode,0
135,$4000_duty,0
135,$4000_const,1
135,$4000_vol,0
135,$4001_sweep,8
135,$4004_duty,0
135,$4004_const,1
135,$4004_vol,0
135,$4005_sweep,8
135,$400C_const,1
135,$400C_vol,15
135,$400E_period,1
135,$400E_mode,0
136,$4000_duty,0
136,$4000_const,1
136,$4000_vol,0
136,$4001_sweep,8
136,$4004_duty,0
136,$4004_const,1
136,$4004_vol,0
136,$4005_sweep,8
136,$400C_const,1
136,$400C_vol,0
136,$400E_period,1
136,$400E_mode,0
137,$4000_duty,0
137,$4000_const,1
137,$4000_vol,0
137,$4001_sweep,8
137,$4004_duty,0
137,$4004_const,1
137,$4004_vol,0
137,$4005_sweep,8
137,$400C_const,1
137,$400C_vol,0
137,$400E_period,1
