frame,parameter,value
1,$4000_duty,0
1,$4000_const,0
1,$4000_vol,1
1,$4001_sweep,0
1,$4002_period,385
1,$400B_length,0
2,$4000_duty,0
2,$4000_const,0
2,$4000_vol,1
2,$4001_sweep,0
2,$4002_period,385
2,$400B_length,0
3,$4000_duty,0
3,$4000_const,0
3,$4000_vol,1
3,$4001_sweep,0
3,$4002_period,385
3,$400B_length,0
4,$4000_duty,0
4,$4000_const,0
4,$4000_vol,1
4,$4001_sweep,0
4,$4002_period,385
4,$400B_length,0
5,$4000_duty,0
5,$4000_const,0
5,$4000_vol,1
5,$4001_sweep,0
5,$4002_period,385
5,$400B_length,0
6,$4000_duty,0
6,$4000_const,0
6,$4000_vol,1
6,$4001_sweep,0
6,$4002_period,385
6,$400B_length,0
7,$4000_duty,0
7,$4000_const,0
7,$4000_vol,1
7,$4001_sweep,0
7,$4002_period,385
7,$400B_length,0
8,$4000_duty,0
8,$4000_const,0
8,$4000_vol,1
8,$4001_sweep,0
8,$4002_period,385
8,$400B_length,0
9,$4000_duty,0
9,$4000_const,0
9,$4000_vol,1
9,$4001_sweep,0
9,$4002_period,385
9,$400B_length,0
10,$4000_duty,0
10,$4000_const,0
10,$4000_vol,1
10,$4001_sweep,0
10,$4002_period,385
10,$400B_length,0
11,$4000_duty,0
11,$4000_const,0
11,$4000_vol,1
11,$4001_sweep,0
11,$4002_period,385
11,$400B_length,0
12,$4000_duty,0
12,$4000_const,0
12,$4000_vol,1
12,$4001_sweep,0
12,$4002_period,385
12,$400B_length,0
13,$4000_duty,0
13,$4000_const,0
13,$4000_vol,1
13,$4001_sweep,0
13,$4002_period,385
13,$400B_length,0
14,$4000_duty,0
14,$4000_const,0
14,$4000_vol,1
14,$4001_sweep,0
14,$4002_period,385
14,$400B_length,0
15,$4000_duty,0
15,$4000_const,0
15,$4000_vol,1
15,$4001_sweep,0
15,$4002_period,385
15,$400B_length,0
16,$4000_duty,0
16,$4000_const,0
16,$4000_vol,1
16,$4001_sweep,0
16,$4002_period,385
16,$400B_length,0
17,$4000_duty,0
17,$4000_const,0
17,$4000_vol,1
17,$4001_sweep,0
17,$4002_period,385
17,$400B_length,0
18,$4000_duty,0
18,$4000_const,0
18,$4000_vol,1
18,$4001_sweep,0
18,$4002_period,385
18,$400B_length,0
19,$4000_duty,0
19,$4000_const,0
19,$4000_vol,1
19,$4001_sweep,0
19,$4002_period,385
19,$400B_length,0
20,$4000_duty,0
20,$4000_const,0
20,$4000_vol,1
20,$4001_sweep,0
20,$4002_period,385
20,$400B_length,0
21,$4000_duty,0
21,$4000_const,0
21,$4000_vol,1
21,$4001_sweep,0
21,$4002_period,385
21,$400B_length,0
22,$4000_duty,0
22,$4000_const,0
22,$4000_vol,1
22,$4001_sweep,0
22,$4002_period,385
22,$400B_length,0
23,$4000_duty,0
23,$4000_const,0
23,$4000_vol,1
23,$4001_sweep,0
23,$4002_period,385
23,$400B_length,0
24,$4000_duty,0
24,$4000_const,0
24,$4000_vol,1
24,$4001_sweep,0
24,$4002_period,385
24,$400B_length,0
25,$4000_duty,0
25,$4000_const,0
25,$4000_vol,1
25,$4001_sweep,0
25,$4002_period,385
25,$400B_length,0
26,$4000_duty,0
26,$4000_const,0
26,$4000_vol,1
26,$4001_sweep,0
26,$4002_period,385
26,$400B_length,0
27,$4000_duty,0
27,$4000_const,0
27,$4000_vol,1
27,$4001_sweep,0
27,$4002_period,385
27,$400B_length,0
28,$4000_duty,0
28,$4000_const,0
28,$4000_vol,1
28,$4001_sweep,0
28,$4002_period,385
28,$400B_length,0
29,$4000_duty,0
29,$4000_const,0
29,$4000_vol,1
29,$4001_sweep,0
29,$4002_period,385
29,$400B_length,0
30,$4000_duty,0
30,$4000_const,0
30,$4000_vol,1
30,$4001_sweep,0
30,$4002_period,385
30,$400B_length,0
31,$4000_duty,0
31,$4000_const,0
31,$4000_vol,1
31,$4001_sweep,0
31,$4002_period,385
31,$400B_length,0
32,$4000_duty,0
32,$4000_const,0
32,$4000_vol,1
