frame,parameter,value
250,$400A_period,1025
250,$400B_length,34
250,$4008_linear,127
250,$4006_period,1025
250,$4005_sweep,127
250,$4004_duty,0
250,$4004_const,0
250,$4004_vol,13
250,$4002_period,1
250,$400B_length,32
250,$4001_sweep,127
250,$4000_duty,0
250,$4000_const,0
250,$4000_vol,13
266,$4006_period,1011
266,$4002_period,513
266,$400B_length,65
274,$4006_period,1017
274,$4002_period,761
274,$400B_length,97
282,$4002_period,603
282,$400B_length,129
290,$400A_period,499
290,$400B_length,64
290,$4002_period,1017
290,$400B_length,161
298,$400A_period,1025
298,$400B_length,98
298,$4006_period,761
298,$4002_period,603
298,$400B_length,193
306,$4002_period,569
306,$400B_length,225
314,$4002_period,1017
314,$400B_length,1
322,$4006_period,677
322,$4002_period,57
322,$400B_length,32
338,$400A_period,499
338,$400B_length,0
338,$4006_period,91
338,$4002_period,507
338,$400B_length,0
346,$400A_period,1025
346,$400B_length,34
346,$4006_period,1025
362,$4006_period,1011
362,$4002_period,1
362,$400B_length,32
370,$4006_period,603
370,$4002_period,507
370,$400B_length,64
386,$400A_period,499
386,$400B_length,64
386,$4006_period,57
386,$4002_period,451
386,$400B_length,96
394,$400A_period,1025
394,$400B_length,98
410,$4006_period,1019
410,$4002_period,425
410,$400B_length,128
418,$4006_period,569
418,$4002_period,451
418,$400B_length,160
434,$400A_period,499
434,$400B_length,128
434,$4006_period,603
434,$4002_period,507
434,$400B_length,192
442,$400A_period,1537
442,$400B_length,163
442,$4006_period,569
442,$4002_period,451
442,$400B_length,224
458,$4006_period,639
458,$4002_period,1019
458,$400B_length,1
466,$400A_period,687
466,$400B_length,193
482,$400A_period,1367
482,$400B_length,226
490,$400A_period,629
490,$400B_length,1
514,$400A_period,1367
514,$400B_length,34
514,$4006_period,677
514,$4002_period,569
514,$400B_length,33
538,$400A_period,1653
538,$400B_length,67
538,$4006_period,761
538,$4002_period,639
538,$400B_length,65
546,$4006_period,855
546,$4002_period,677
546,$400B_length,97
554,$4006_period,761
554,$4002_period,639
554,$400B_length,129
562,$400A_period,687
562,$400B_length,97
570,$400A_period,1367
570,$400B_length,130
570,$4006_period,165
570,$4002_period,57
570,$400B_length,160
578,$400A_period,1653
578,$400B_length,163
586,$400A_period,687
586,$400B_length,193
594,$400A_period,1879
594,$400B_length,227
