frame,parameter,value
612,$4008_linear,1
613,$400E_period,7
613,$400E_mode,0
613,$400C_const,0
613,$400C_vol,15
613,$4000_duty,0
613,$4000_const,1
613,$4000_vol,15
613,$4002_period,161
613,$400B_length,192
615,$400E_period,5
615,$400E_mode,0
615,$400C_const,0
615,$400C_vol,15
616,$4004_duty,0
616,$4004_const,0
616,$4004_vol,15
616,$4006_period,161
619,$4000_duty,0
619,$4000_const,1
619,$4000_vol,15
619,$4002_period,181
619,$400B_length,192
621,$4004_duty,0
621,$4004_const,0
621,$4004_vol,15
621,$4006_period,181
624,$4000_duty,0
624,$4000_const,1
624,$4000_vol,15
624,$4002_period,203
624,$400B_length,192
626,$4004_duty,0
626,$4004_const,0
626,$4004_vol,15
626,$4006_period,203
629,$4000_duty,0
629,$4000_const,1
629,$4000_vol,15
629,$4002_period,227
629,$400B_length,192
631,$4004_duty,0
631,$4004_const,0
631,$4004_vol,15
631,$4006_period,227
634,$4000_duty,0
634,$4000_const,1
634,$4000_vol,15
634,$4002_period,161
634,$400B_length,192
637,$4004_duty,0
637,$4004_const,0
637,$4004_vol,15
637,$4006_period,161
639,$4000_duty,0
639,$4000_const,1
639,$4000_vol,15
639,$4002_period,181
639,$400B_length,192
642,$4004_duty,0
642,$4004_const,0
642,$4004_vol,15
642,$4006_period,181
644,$4000_duty,0
644,$4000_const,1
644,$4000_vol,15
644,$4002_period,203
644,$400B_length,192
647,$4004_duty,0
647,$4004_const,0
647,$4004_vol,15
647,$4006_period,203
649,$4000_duty,0
649,$4000_const,1
649,$4000_vol,15
649,$4002_period,227
649,$400B_length,192
652,$4004_duty,0
652,$4004_const,0
652,$4004_vol,15
652,$4006_period,227
654,$4000_duty,0
654,$4000_const,1
654,$4000_vol,15
654,$4002_period,161
654,$400B_length,192
657,$4004_duty,0
657,$4004_const,0
657,$4004_vol,15
657,$4006_period,161
660,$4000_duty,0
660,$4000_const,1
660,$4000_vol,15
660,$4002_period,181
660,$400B_length,192
662,$4004_duty,0
662,$4004_const,0
662,$4004_vol,15
662,$4006_period,181
665,$4000_duty,0
665,$4000_const,1
665,$4000_vol,15
665,$4002_period,203
665,$400B_length,192
667,$4004_duty,0
667,$4004_const,0
667,$4004_vol,15
667,$4006_period,203
670,$4000_duty,0
670,$4000_const,1
670,$4000_vol,15
670,$4002_period,227
670,$400B_length,192
672,$4004_duty,0
672,$4004_const,0
672,$4004_vol,15
672,$4006_period,227
675,$4000_duty,0
675,$4000_const,1
675,$4000_vol,15
675,$4002_period,161
675,$400B_length,192
677,$4004_duty,0
677,$4004_const,0
677,$4004_vol,15
677,$4006_period,161
680,$4000_duty,0
680,$4000_const,1
680,$4000_vol,15
680,$4002_period,181
680,$400B_length,192
683,$4004_duty,0
683,$4004_const,0
683,$4004_vol,15
683,$4006_period,181
685,$4000_duty,0
685,$4000_const,1
685,$4000_vol,15
685,$4002_period,203
685,$400B_length,192
688,$4004_duty,0
688,$4004_const,0
688,$4004_vol,15
688,$4006_period,203
690,$4000_duty,0
690,$4000_const,1
690,$4000_vol,15
690,$4002_period,227
690,$400B_length,192
693,$4004_duty,0
693,$4004_const,0
693,$4004_vol,15
693,$4006_period,227
695,$400E_period,7
695,$400E_mode,0
695,$400C_const,0
695,$400C_vol,15
695,$4000_duty,0
695,$4000_const,1
695,$4000_vol,15
695,$4002_period,161
695,$400B_length,192
697,$400E_period,5
697,$400E_mode,0
697,$400C_const,0
697,$400C_vol,15
698,$4004_duty,0
698,$4004_const,0
698,$4004_vol,15
698,$4006_period,161
701,$4000_duty,0
701,$4000_const,1
701,$4000_vol,15
