frame,parameter,value
301,$4000_duty,0
301,$4000_const,0
301,$4000_vol,0
301,$4004_duty,0
301,$4004_const,0
301,$4004_vol,0
301,$4008_linear,0
301,$400C_const,0
301,$400C_vol,0
301,$400E_period,0
301,$400E_mode,0
302,$4001_sweep,67
302,$4000_duty,2
302,$4000_const,1
302,$4000_vol,7
302,$4002_period,1141
302,$400B_length,154
302,$4005_sweep,67
302,$4004_duty,1
302,$4004_const,1
302,$4004_vol,6
302,$4006_period,2283
302,$4008_linear,31
302,$400A_period,1141
302,$400B_length,154
302,$400C_const,1
302,$400C_vol,0
303,$4000_duty,2
303,$4000_const,1
303,$4000_vol,6
303,$4004_duty,1
303,$4004_const,1
303,$4004_vol,5
303,$4008_linear,31
305,$4000_duty,2
305,$4000_const,1
305,$4000_vol,5
305,$4004_duty,1
305,$4004_const,1
305,$4004_vol,4
305,$4008_linear,31
307,$4000_duty,2
307,$4000_const,1
307,$4000_vol,4
307,$4004_duty,1
307,$4004_const,1
307,$4004_vol,3
307,$4008_linear,31
310,$4000_duty,2
310,$4000_const,1
310,$4000_vol,3
310,$4004_duty,1
310,$4004_const,1
310,$4004_vol,2
310,$4008_linear,31
312,$4000_duty,2
312,$4000_const,1
312,$4000_vol,2
312,$4004_duty,1
312,$4004_const,1
312,$4004_vol,1
312,$4008_linear,31
314,$4000_duty,2
314,$4000_const,1
314,$4000_vol,1
314,$4004_duty,1
314,$4004_const,1
314,$4004_vol,0
314,$4008_linear,31
316,$4001_sweep,67
316,$4000_duty,2
316,$4000_const,1
316,$4000_vol,7
316,$4002_period,1017
316,$400B_length,153
316,$4005_sweep,67
316,$4004_duty,1
316,$4004_const,1
316,$4004_vol,6
316,$4006_period,2033
316,$4008_linear,31
316,$400A_period,1017
316,$400B_length,153
317,$4000_duty,2
317,$4000_const,1
317,$4000_vol,6
317,$4004_duty,1
317,$4004_const,1
317,$4004_vol,5
317,$4008_linear,31
319,$4000_duty,2
319,$4000_const,1
319,$4000_vol,5
319,$4004_duty,1
319,$4004_const,1
319,$4004_vol,4
319,$4008_linear,31
321,$4000_duty,2
321,$4000_const,1
321,$4000_vol,4
321,$4004_duty,1
321,$4004_const,1
321,$4004_vol,3
321,$4008_linear,31
323,$4000_duty,2
323,$4000_const,1
323,$4000_vol,3
323,$4004_duty,1
323,$4004_const,1
323,$4004_vol,2
323,$4008_linear,31
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,2
326,$4004_duty,1
326,$4004_const,1
326,$4004_vol,1
326,$4008_linear,31
328,$4000_duty,2
328,$4000_const,1
328,$4000_vol,1
328,$4004_duty,1
328,$4004_const,1
328,$4004_vol,0
328,$4008_linear,31
330,$4000_duty,2
330,$4000_const,1
330,$4000_vol,0
330,$4004_duty,1
330,$4004_const,1
330,$4004_vol,0
330,$4008_linear,31
