frame,parameter,value
321,$4000_duty,0
321,$4000_const,1
321,$4000_vol,0
321,$4004_duty,0
321,$4004_const,1
321,$4004_vol,0
321,$400C_const,1
321,$400C_vol,0
321,$4008_linear,0
321,$4001_sweep,127
321,$4005_sweep,127
321,$4002_period,3585
321,$400B_length,255
321,$4006_period,3585
321,$400A_period,4095
321,$400B_length,255
321,$4000_duty,0
321,$4000_const,1
321,$4000_vol,0
321,$4001_sweep,127
321,$4002_period,3585
321,$400B_length,255
321,$4004_duty,0
321,$4004_const,1
321,$4004_vol,0
321,$4005_sweep,127
321,$4006_period,3585
321,$400A_period,4095
321,$400B_length,255
321,$4008_linear,0
322,$4004_duty,0
322,$4004_const,1
322,$4004_vol,0
322,$4005_sweep,127
322,$4006_period,3585
322,$400A_period,4095
322,$400B_length,255
322,$4008_linear,0
322,$4000_duty,2
322,$4000_const,1
322,$4000_vol,7
322,$4002_period,135
322,$400B_length,248
323,$4000_duty,2
323,$4000_const,1
323,$4000_vol,8
323,$4004_duty,1
323,$4004_const,1
323,$4004_vol,6
323,$4006_period,405
324,$4004_duty,2
324,$4004_const,1
324,$4004_vol,6
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,7
329,$4000_duty,2
329,$4000_const,1
329,$4000_vol,6
329,$4004_duty,2
329,$4004_const,1
329,$4004_vol,5
331,$4000_duty,2
331,$4000_const,1
331,$4000_vol,5
332,$4004_duty,2
332,$4004_const,1
332,$4004_vol,4
333,$4000_duty,2
333,$4000_const,1
333,$4000_vol,4
334,$4000_duty,2
334,$4000_const,1
334,$4000_vol,3
334,$4004_duty,2
334,$4004_const,1
334,$4004_vol,3
335,$4000_duty,2
335,$4000_const,1
335,$4000_vol,2
335,$4004_duty,2
335,$4004_const,1
335,$4004_vol,2
336,$4000_duty,2
336,$4000_const,1
336,$4000_vol,1
336,$4004_duty,2
336,$4004_const,1
336,$4004_vol,1
337,$4004_duty,2
337,$4004_const,1
337,$4004_vol,0
341,$4000_duty,2
341,$4000_const,1
341,$4000_vol,2
342,$4000_duty,2
342,$4000_const,1
342,$4000_vol,3
342,$4004_duty,2
342,$4004_const,1
342,$4004_vol,1
343,$4004_duty,2
343,$4004_const,1
343,$4004_vol,2
343,$400C_const,1
343,$400C_vol,0
343,$400E_period,0
343,$400E_mode,0
344,$4000_duty,2
344,$4000_const,1
344,$4000_vol,4
344,$400C_const,1
344,$400C_vol,9
344,$400E_period,6
344,$400E_mode,0
345,$4004_duty,1
345,$4004_const,1
345,$4004_vol,6
345,$4006_period,321
345,$400C_const,1
345,$400C_vol,5
346,$4004_duty,2
346,$4004_const,1
346,$4004_vol,6
346,$400C_const,1
346,$400C_vol,1
346,$400E_period,5
346,$400E_mode,0
348,$4000_duty,2
348,$4000_const,1
348,$4000_vol,3
348,$400C_const,1
348,$400C_vol,9
348,$400E_period,9
348,$400E_mode,0
349,$400C_const,1
