frame,parameter,value
0,$4008_linear,20
0,$400A_period,1017
0,$400B_length,9
7,$4008_linear,56
7,$400A_period,1017
7,$400B_length,9
20,$4006_period,605
20,$4004_duty,2
20,$4004_const,0
20,$4004_vol,4
20,$4005_sweep,127
20,$4002_period,191
20,$400B_length,8
20,$4000_duty,1
20,$4000_const,0
20,$4000_vol,6
20,$4001_sweep,127
27,$4006_period,509
27,$4004_duty,2
27,$4004_const,0
27,$4004_vol,4
27,$4005_sweep,127
27,$4002_period,213
27,$400B_length,8
27,$4000_duty,1
27,$4000_const,0
27,$4000_vol,6
27,$4001_sweep,127
27,$4008_linear,56
27,$400A_period,761
27,$400B_length,9
40,$4006_period,571
40,$4004_duty,2
40,$4004_const,0
40,$4004_vol,4
40,$4005_sweep,127
40,$4002_period,227
40,$400B_length,8
40,$4000_duty,1
40,$4000_const,0
40,$4000_vol,6
40,$4001_sweep,127
47,$4006_period,605
47,$4004_duty,2
47,$4004_const,0
47,$4004_vol,4
47,$4005_sweep,127
47,$4002_period,253
47,$400B_length,8
47,$4000_duty,1
47,$4000_const,0
47,$4000_vol,6
47,$4001_sweep,127
47,$4008_linear,56
47,$400A_period,1017
47,$400B_length,9
60,$4006_period,679
60,$4004_duty,2
60,$4004_const,0
60,$4004_vol,4
60,$4005_sweep,127
60,$4002_period,285
60,$400B_length,8
60,$4000_duty,1
60,$4000_const,0
60,$4000_vol,6
60,$4001_sweep,127
67,$4006_period,761
67,$4004_duty,2
67,$4004_const,0
67,$4004_vol,4
67,$4005_sweep,127
67,$4002_period,303
67,$400B_length,8
67,$4000_duty,1
67,$4000_const,0
67,$4000_vol,6
67,$4001_sweep,127
67,$4008_linear,56
67,$400A_period,761
67,$400B_length,9
74,$4004_duty,2
74,$4004_const,0
74,$4004_vol,4
74,$4005_sweep,127
74,$4000_duty,0
74,$4000_const,1
74,$4000_vol,0
74,$4001_sweep,127
80,$4006_period,807
80,$4004_duty,2
80,$4004_const,0
80,$4004_vol,4
80,$4005_sweep,127
87,$4006_period,761
87,$4004_duty,2
87,$4004_const,0
87,$4004_vol,4
87,$4005_sweep,127
100,$4006_period,719
100,$4004_duty,2
100,$4004_const,0
100,$4004_vol,4
100,$4005_sweep,127
107,$4006_period,679
107,$4004_duty,2
107,$4004_const,0
107,$4004_vol,4
107,$4005_sweep,127
107,$4000_duty,0
107,$4000_const,1
107,$4000_vol,0
107,$4001_sweep,127
107,$4008_linear,56
107,$400A_period,855
107,$400B_length,9
114,$4002_period,285
114,$400B_length,8
114,$4000_duty,1
114,$4000_const,0
114,$4000_vol,6
114,$4001_sweep,127
121,$4002_period,213
121,$400B_length,8
121,$4000_duty,1
121,$4000_const,0
121,$4000_vol,6
121,$4001_sweep,127
127,$4006_period,427
127,$4004_duty,2
127,$4004_const,0
