frame,parameter,value
123,$4000_duty,1
123,$4000_const,0
123,$4000_vol,15
123,$4004_duty,1
123,$4004_const,0
123,$4004_vol,15
123,$4008_linear,79
123,$400C_const,0
123,$400C_vol,15
123,$4005_sweep,127
123,$4006_period,1535
127,$4002_period,513
127,$400B_length,1
127,$4001_sweep,127
127,$4000_duty,2
127,$4000_const,1
127,$4000_vol,0
127,$4004_duty,1
127,$4004_const,0
127,$4004_vol,15
127,$4005_sweep,79
128,$4002_period,513
128,$400B_length,1
128,$4001_sweep,127
128,$4000_duty,2
128,$4000_const,1
128,$4000_vol,0
128,$4004_duty,1
128,$4004_const,0
128,$4004_vol,15
128,$4005_sweep,79
129,$4002_period,513
129,$400B_length,1
129,$4001_sweep,127
129,$4000_duty,2
129,$4000_const,1
129,$4000_vol,0
129,$4004_duty,1
129,$4004_const,0
129,$4004_vol,15
129,$4005_sweep,79
129,$4006_period,1527
130,$4002_period,513
130,$400B_length,1
130,$4001_sweep,127
130,$4000_duty,2
130,$4000_const,1
130,$4000_vol,0
130,$4004_duty,1
130,$4004_const,0
130,$4004_vol,15
130,$4005_sweep,79
130,$4006_period,1527
131,$4002_period,513
131,$400B_length,1
131,$4001_sweep,127
131,$4000_duty,2
131,$4000_const,1
131,$4000_vol,0
131,$4004_duty,1
131,$4004_const,0
131,$4004_vol,15
131,$4005_sweep,79
131,$4006_period,1527
132,$4002_period,513
132,$400B_length,1
132,$4001_sweep,127
132,$4000_duty,2
132,$4000_const,1
132,$4000_vol,0
132,$4004_duty,1
132,$4004_const,0
132,$4004_vol,15
132,$4005_sweep,79
132,$4006_period,1519
133,$4002_period,513
133,$400B_length,1
133,$4001_sweep,127
133,$4000_duty,2
133,$4000_const,1
133,$4000_vol,0
133,$4004_duty,1
133,$4004_const,0
133,$4004_vol,15
133,$4005_sweep,79
133,$4006_period,1519
134,$4002_period,513
134,$400B_length,1
134,$4001_sweep,127
134,$4000_duty,2
134,$4000_const,1
134,$4000_vol,0
134,$4004_duty,1
134,$4004_const,0
134,$4004_vol,15
134,$4005_sweep,79
134,$4006_period,1511
135,$4002_period,513
135,$400B_length,1
135,$4001_sweep,127
135,$4000_duty,2
135,$4000_const,1
135,$4000_vol,0
135,$4004_duty,1
135,$4004_const,0
135,$4004_vol,15
135,$4005_sweep,79
135,$4006_period,1511
136,$4002_period,513
136,$400B_length,1
136,$4001_sweep,127
136,$4000_duty,2
136,$4000_const,1
136,$4000_vol,0
136,$4004_duty,1
136,$4004_const,0
136,$4004_vol,15
136,$4005_sweep,79
136,$4006_period,1503
137,$4002_period,513
137,$400B_length,1
137,$4001_sweep,127
137,$4000_duty,2
137,$4000_const,1
137,$4000_vol,0
137,$4004_duty,1
137,$4004_const,0
137,$4004_vol,15
137,$4005_sweep,79
137,$4006_period,1503
138,$4002_period,513
138,$400B_length,1
138,$4001_sweep,127
138,$4000_duty,2
138,$4000_const,1
138,$4000_vol,0
138,$4004_duty,1
138,$4004_const,0
138,$4004_vol,15
138,$4005_sweep,79
138,$4006_period,1495
139,$4002_period,513
139,$400B_length,1
139,$4001_sweep,127
139,$4000_duty,2
139,$4000_const,1
139,$4000_vol,0
139,$4004_duty,1
139,$4004_const,0
139,$4004_vol,15
139,$4005_sweep,79
139,$4006_period,1495
140,$4002_period,513
140,$400B_length,1
140,$4001_sweep,127
140,$4000_duty,2
140,$4000_const,1
140,$4000_vol,0
140,$4004_duty,1
140,$4004_const,0
140,$4004_vol,15
140,$4005_sweep,79
140,$4006_period,1487
141,$4002_period,513
141,$400B_length,1
141,$4001_sweep,127
141,$4000_duty,2
141,$4000_const,1
141,$4000_vol,0
141,$4004_duty,1
141,$4004_const,0
141,$4004_vol,15
141,$4005_sweep,79
141,$4006_period,1487
142,$4002_period,513
142,$400B_length,1
142,$4001_sweep,127
142,$4000_duty,2
142,$4000_const,1
142,$4000_vol,0
142,$4004_duty,1
142,$4004_const,0
142,$4004_vol,15
142,$4005_sweep,79
142,$4006_period,1479
143,$4002_period,513
143,$400B_length,1
143,$4001_sweep,127
143,$4000_duty,2
143,$4000_const,1
143,$4000_vol,0
143,$4004_duty,1
143,$4004_const,0
143,$4004_vol,15
143,$4005_sweep,79
143,$4006_period,1479
144,$4002_period,513
144,$400B_length,1
144,$4001_sweep,127
144,$4000_duty,2
144,$4000_const,1
144,$4000_vol,0
144,$4004_duty,1
144,$4004_const,0
144,$4004_vol,15
144,$4005_sweep,79
144,$4006_period,1471
145,$4002_period,513
145,$400B_length,1
145,$4001_sweep,127
145,$4000_duty,2
145,$4000_const,1
145,$4000_vol,0
145,$4004_duty,1
145,$4004_const,0
145,$4004_vol,15
145,$4005_sweep,79
145,$4006_period,1471
146,$4002_period,513
146,$400B_length,1
146,$4001_sweep,127
146,$4000_duty,2
146,$4000_const,1
146,$4000_vol,0
146,$4004_duty,1
146,$4004_const,0
146,$4004_vol,15
146,$4005_sweep,79
146,$4006_period,1463
147,$4002_period,513
147,$400B_length,1
147,$4001_sweep,127
147,$4000_duty,2
147,$4000_const,1
147,$4000_vol,0
147,$4004_duty,1
147,$4004_const,0
147,$4004_vol,15
147,$4005_sweep,79
147,$4006_period,1463
148,$4002_period,513
148,$400B_length,1
148,$4001_sweep,127
148,$4000_duty,2
148,$4000_const,1
148,$4000_vol,0
148,$4004_duty,1
148,$4004_const,0
148,$4004_vol,15
148,$4005_sweep,79
148,$4006_period,1455
149,$4002_period,513
149,$400B_length,1
149,$4001_sweep,127
149,$4000_duty,2
149,$4000_const,1
149,$4000_vol,0
149,$4004_duty,1
149,$4004_const,0
149,$4004_vol,15
149,$4005_sweep,79
149,$4006_period,1455
150,$4002_period,513
150,$400B_length,1
150,$4001_sweep,127
150,$4000_duty,2
150,$4000_const,1
150,$4000_vol,0
150,$4004_duty,1
150,$4004_const,0
150,$4004_vol,15
150,$4005_sweep,79
150,$4006_period,1447
151,$4002_period,513
151,$400B_length,1
151,$4001_sweep,127
151,$4000_duty,2
151,$4000_const,1
151,$4000_vol,0
151,$4004_duty,1
151,$4004_const,0
151,$4004_vol,15
151,$4005_sweep,79
151,$4006_period,1447
152,$4002_period,513
152,$400B_length,1
152,$4001_sweep,127
152,$4000_duty,2
152,$4000_const,1
152,$4000_vol,0
152,$4004_duty,1
152,$4004_const,0
152,$4004_vol,15
