frame,parameter,value
2,$4000_duty,0
2,$4000_const,0
2,$4000_vol,0
2,$4001_sweep,0
2,$4002_period,1
2,$400B_length,0
2,$4004_duty,0
2,$4004_const,0
2,$4004_vol,0
2,$4005_sweep,0
2,$4006_period,1
2,$4008_linear,0
2,$400A_period,1
2,$400B_length,0
2,$400C_const,0
2,$400C_vol,0
2,$400E_period,0
2,$400E_mode,0
2,$4010_rate,0
2,$4011_dac,0
2,$4012_addr,0
2,$4013_len,0
2,$4000_duty,1
2,$4000_const,0
2,$4000_vol,11
2,$4001_sweep,240
2,$4005_sweep,240
2,$4008_linear,50
4,$4002_period,321
4,$400B_length,8
4,$4006_period,3
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,15
4,$400A_period,641
4,$400B_length,9
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,15
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,11
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,11
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,10
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,10
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,9
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,9
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,8
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,8
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,7
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,7
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,6
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,5
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,4
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,3
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,3
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,2
22,$4002_period,287
22,$400B_length,8
22,$4006_period,107
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,15
22,$400A_period,3
22,$400B_length,8
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,15
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,11
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,11
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,10
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,10
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,9
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,9
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,8
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,8
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,7
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,7
34,$4002_period,255
34,$400B_length,8
34,$4006_period,127
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,15
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,15
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,11
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,11
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,10
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,10
40,$4006_period,81
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,15
40,$400A_period,857
40,$400B_length,9
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,15
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,11
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,11
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,10
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,10
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,9
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,9
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,8
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,8
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,7
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,7
52,$4006_period,107
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,15
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,15
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,11
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,11
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,10
57,$4004_duty,2
57,$4004_const,1
57,$4004_vol,10
58,$4006_period,127
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,15
58,$400A_period,3
58,$400B_length,8
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,15
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,11
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,11
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,10
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,10
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,9
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,9
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,8
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,8
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,7
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,7
70,$4002_period,3
70,$400B_length,8
70,$4006_period,161
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,15
71,$4004_duty,2
71,$4004_const,1
71,$4004_vol,15
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,11
73,$4004_duty,2
73,$4004_const,1
73,$4004_vol,11
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,10
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,10
76,$4006_period,3
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,15
76,$400A_period,641
76,$400B_length,9
77,$4004_duty,2
77,$4004_const,1
77,$4004_vol,15
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,11
79,$4004_duty,2
79,$4004_const,1
79,$4004_vol,11
80,$4004_duty,2
80,$4004_const,1
80,$4004_vol,10
81,$4004_duty,2
81,$4004_const,1
81,$4004_vol,10
82,$4004_duty,2
82,$4004_const,1
82,$4004_vol,9
83,$4004_duty,2
83,$4004_const,1
83,$4004_vol,9
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,8
85,$4004_duty,2
85,$4004_const,1
85,$4004_vol,8
86,$4004_duty,2
86,$4004_const,1
86,$4004_vol,7
87,$4004_duty,2
87,$4004_const,1
87,$4004_vol,7
88,$4002_period,215
88,$400B_length,8
88,$4004_duty,2
88,$4004_const,1
88,$4004_vol,6
89,$4004_duty,2
89,$4004_const,1
89,$4004_vol,5
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,4
91,$4004_duty,2
91,$4004_const,1
91,$4004_vol,3
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,3
93,$4004_duty,2
93,$4004_const,1
93,$4004_vol,2
94,$4002_period,241
94,$400B_length,8
