frame,parameter,value
9,$400C_const,1
9,$400C_vol,4
9,$400E_period,10
9,$400E_mode,0
33,$4004_duty,3
33,$4004_const,0
33,$4004_vol,7
33,$4005_sweep,4
33,$4006_period,957
33,$4008_linear,127
33,$400A_period,285
33,$400B_length,8
57,$400C_const,1
57,$400C_vol,4
57,$400E_period,10
57,$400E_mode,0
69,$4004_duty,3
69,$4004_const,0
69,$4004_vol,7
69,$4005_sweep,4
69,$4006_period,957
69,$4008_linear,127
69,$400A_period,319
69,$400B_length,8
105,$400C_const,1
105,$400C_vol,4
105,$400E_period,10
105,$400E_mode,0
141,$4004_duty,3
141,$4004_const,0
141,$4004_vol,7
141,$4005_sweep,4
141,$4006_period,957
141,$4008_linear,127
141,$400A_period,285
141,$400B_length,8
153,$400C_const,1
153,$400C_vol,4
153,$400E_period,10
153,$400E_mode,0
177,$4004_duty,3
177,$4004_const,0
177,$4004_vol,7
177,$4005_sweep,4
177,$4006_period,957
177,$4008_linear,127
177,$400A_period,285
177,$400B_length,8
201,$400C_const,1
201,$400C_vol,4
201,$400E_period,10
201,$400E_mode,0
225,$4004_duty,3
225,$4004_const,0
225,$4004_vol,7
225,$4005_sweep,4
225,$4006_period,957
225,$4008_linear,127
225,$400A_period,285
225,$400B_length,8
249,$400C_const,1
249,$400C_vol,4
249,$400E_period,10
249,$400E_mode,0
261,$4004_duty,3
261,$4004_const,0
261,$4004_vol,7
261,$4005_sweep,4
261,$4006_period,957
261,$4008_linear,127
261,$400A_period,319
261,$400B_length,8
297,$400C_const,1
297,$400C_vol,4
297,$400E_period,10
297,$400E_mode,0
333,$4004_duty,3
333,$4004_const,0
333,$4004_vol,7
333,$4005_sweep,4
333,$4006_period,1073
333,$4008_linear,127
333,$400A_period,319
333,$400B_length,8
345,$400C_const,1
345,$400C_vol,4
345,$400E_period,10
345,$400E_mode,0
369,$4004_duty,3
369,$4004_const,0
369,$4004_vol,7
369,$4005_sweep,4
369,$4006_period,1073
369,$4008_linear,127
369,$400A_period,319
369,$400B_length,8
393,$400C_const,1
393,$400C_vol,4
393,$400E_period,10
393,$400E_mode,0
417,$4004_duty,3
417,$4004_const,0
417,$4004_vol,7
417,$4005_sweep,4
417,$4006_period,1073
417,$4008_linear,127
417,$400A_period,319
417,$400B_length,8
441,$400C_const,1
441,$400C_vol,4
441,$400E_period,10
441,$400E_mode,0
453,$4004_duty,3
453,$4004_const,0
453,$4004_vol,7
453,$4005_sweep,4
453,$4006_period,1073
453,$4008_linear,127
453,$400A_period,359
453,$400B_length,8
489,$400C_const,1
489,$400C_vol,4
489,$400E_period,10
489,$400E_mode,0
525,$4004_duty,3
525,$4004_const,0
525,$4004_vol,7
525,$4005_sweep,4
525,$4006_period,1073
525,$4008_linear,127
525,$400A_period,319
525,$400B_length,8
537,$400C_const,1
537,$400C_vol,4
537,$400E_period,10
537,$400E_mode,0
561,$4004_duty,3
561,$4004_const,0
561,$4004_vol,7
561,$4005_sweep,4
561,$4006_period,1073
561,$4008_linear,127
561,$400A_period,319
561,$400B_length,8
585,$400C_const,1
585,$400C_vol,4
585,$400E_period,10
585,$400E_mode,0
