frame,parameter,value
1,$400C_const,1
1,$400C_vol,0
1,$4008_linear,0
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,8
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,3
2,$400C_const,1
2,$400C_vol,0
2,$400A_period,641
2,$400B_length,9
2,$4008_linear,127
2,$4005_sweep,8
2,$4006_period,239
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,2
2,$4001_sweep,8
2,$4002_period,321
2,$400B_length,8
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,2
3,$400C_const,1
3,$400C_vol,0
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,2
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,2
5,$400C_const,1
5,$400C_vol,0
5,$4008_linear,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,2
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,2
6,$400C_const,1
6,$400C_vol,0
6,$4008_linear,0
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,2
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,2
7,$400C_const,1
7,$400C_vol,0
7,$4008_linear,0
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,2
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,1
9,$400C_const,1
9,$400C_vol,0
9,$4008_linear,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,2
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,1
10,$400E_period,13
10,$400E_mode,0
10,$400C_const,1
10,$400C_vol,15
10,$400A_period,1281
10,$400B_length,10
10,$4008_linear,127
10,$4005_sweep,8
10,$4006_period,239
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,8
10,$4001_sweep,8
10,$4002_period,321
10,$400B_length,8
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,8
12,$400C_const,1
12,$400C_vol,0
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,8
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,7
13,$400C_const,1
13,$400C_vol,0
13,$4008_linear,0
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,8
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,6
14,$400C_const,1
14,$400C_vol,0
14,$4008_linear,0
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,8
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,5
16,$400C_const,1
16,$400C_vol,0
16,$4008_linear,0
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,8
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,4
17,$400C_const,1
17,$400C_vol,0
17,$4008_linear,0
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,8
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,3
18,$400C_const,1
18,$400C_vol,0
18,$400A_period,959
18,$400B_length,9
18,$4008_linear,127
18,$4005_sweep,8
18,$4006_period,239
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,2
18,$4001_sweep,8
18,$4002_period,321
18,$400B_length,8
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,2
20,$400C_const,1
20,$400C_vol,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,2
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,2
21,$400C_const,1
21,$400C_vol,0
21,$4008_linear,0
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,2
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,2
23,$400C_const,1
23,$400C_vol,0
23,$4008_linear,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,2
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,2
24,$400C_const,1
24,$400C_vol,0
24,$4008_linear,0
24,$4004_duty,0
