frame,parameter,value
2,$4008_linear,0
2,$400A_period,3073
2,$400B_length,14
6,$400C_const,0
6,$400C_vol,0
6,$400E_period,6
6,$400E_mode,0
6,$4008_linear,1
6,$400A_period,861
6,$400B_length,9
10,$400C_const,0
10,$400C_vol,0
10,$400E_period,6
10,$400E_mode,0
10,$4008_linear,0
10,$400A_period,3199
10,$400B_length,14
14,$400C_const,0
14,$400C_vol,0
14,$400E_period,6
14,$400E_mode,0
14,$4008_linear,1
14,$400A_period,349
14,$400B_length,8
18,$400C_const,0
18,$400C_vol,0
18,$400E_period,6
18,$400E_mode,0
18,$4008_linear,0
18,$400A_period,3391
18,$400B_length,14
22,$400C_const,0
22,$400C_vol,0
22,$400E_period,6
22,$400E_mode,0
22,$4008_linear,1
22,$400A_period,861
22,$400B_length,9
22,$4004_duty,2
22,$4004_const,0
22,$4004_vol,2
22,$4006_period,513
22,$4000_duty,2
22,$4000_const,0
22,$4000_vol,2
22,$4002_period,1
22,$400B_length,8
26,$4008_linear,0
26,$400A_period,3199
26,$400B_length,14
30,$400C_const,0
30,$400C_vol,0
30,$400E_period,6
30,$400E_mode,0
30,$4008_linear,1
30,$400A_period,349
30,$400B_length,8
30,$4004_duty,2
30,$4004_const,0
30,$4004_vol,1
30,$4006_period,639
30,$4000_duty,2
30,$4000_const,0
30,$4000_vol,1
30,$4002_period,379
30,$400B_length,8
34,$4008_linear,0
34,$400A_period,3391
34,$400B_length,14
38,$4008_linear,1
38,$400A_period,861
38,$400B_length,9
42,$4008_linear,0
42,$400A_period,3199
42,$400B_length,14
46,$400C_const,0
46,$400C_vol,0
46,$400E_period,6
46,$400E_mode,0
46,$4008_linear,1
46,$400A_period,349
46,$400B_length,8
46,$4004_duty,2
46,$4004_const,0
46,$4004_vol,4
46,$4006_period,639
46,$4000_duty,2
46,$4000_const,0
46,$4000_vol,4
46,$4002_period,379
46,$400B_length,8
50,$4008_linear,0
50,$400A_period,3391
50,$400B_length,14
54,$4008_linear,1
54,$400A_period,861
54,$400B_length,9
58,$4008_linear,0
58,$400A_period,3199
58,$400B_length,14
62,$400C_const,0
62,$400C_vol,0
62,$400E_period,6
62,$400E_mode,0
62,$4008_linear,1
62,$400A_period,349
62,$400B_length,8
66,$4008_linear,0
66,$400A_period,3391
66,$400B_length,14
70,$400C_const,0
70,$400C_vol,0
70,$400E_period,6
70,$400E_mode,0
70,$4008_linear,1
70,$400A_period,861
70,$400B_length,9
70,$4004_duty,2
70,$4004_const,0
70,$4004_vol,5
70,$4006_period,127
70,$4000_duty,2
70,$4000_const,0
70,$4000_vol,5
70,$4002_period,425
70,$400B_length,8
74,$400C_const,0
74,$400C_vol,0
74,$400E_period,6
74,$400E_mode,0
74,$4008_linear,0
74,$400A_period,3199
74,$400B_length,14
74,$4004_duty,2
74,$4004_const,0
74,$4004_vol,5
74,$4006_period,507
74,$4000_duty,2
74,$4000_const,0
74,$4000_vol,5
74,$4002_period,379
74,$400B_length,8
78,$400C_const,0
78,$400C_vol,0
78,$400E_period,6
78,$400E_mode,0
78,$4008_linear,1
78,$400A_period,349
78,$400B_length,8
78,$4004_duty,2
78,$4004_const,0
78,$4004_vol,5
78,$4006_period,379
