frame,parameter,value
0,$4010_rate,0
1,$4010_rate,0
2,$4010_rate,0
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,4
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,4
3,$4010_rate,0
4,$4010_rate,0
5,$4010_rate,0
5,$4001_sweep,0
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,5
5,$4002_period,679
5,$400B_length,249
5,$4005_sweep,0
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,5
5,$4006_period,683
6,$4010_rate,0
7,$4010_rate,0
8,$4010_rate,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,4
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,4
9,$4010_rate,0
10,$4010_rate,0
11,$4010_rate,0
11,$4001_sweep,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,5
11,$4002_period,571
11,$400B_length,249
11,$4005_sweep,0
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,5
11,$4006_period,575
12,$4010_rate,0
13,$4010_rate,0
14,$4010_rate,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,4
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,4
15,$4010_rate,0
16,$4010_rate,0
17,$4010_rate,0
17,$4001_sweep,0
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,5
17,$4002_period,641
17,$400B_length,249
17,$4005_sweep,0
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,5
17,$4006_period,645
18,$4010_rate,0
19,$4010_rate,0
20,$4010_rate,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,4
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,4
21,$4010_rate,0
22,$4010_rate,0
23,$4010_rate,0
23,$4001_sweep,0
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,5
23,$4002_period,679
23,$400B_length,249
23,$4005_sweep,0
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,5
23,$4006_period,683
24,$4010_rate,0
25,$4010_rate,0
26,$4010_rate,0
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,4
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,4
27,$4010_rate,0
28,$4010_rate,0
29,$4010_rate,0
29,$4001_sweep,0
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,5
29,$4002_period,857
29,$400B_length,249
29,$4005_sweep,0
29,$4004_duty,1
