frame,parameter,value
217,$400E_period,7
217,$400E_mode,0
217,$400C_const,0
217,$400C_vol,1
217,$400A_period,1
217,$400B_length,32
217,$4008_linear,24
217,$4006_period,1
217,$4005_sweep,127
217,$4002_period,1
217,$400B_length,32
217,$4001_sweep,127
231,$400C_const,1
231,$400C_vol,0
238,$400C_const,0
238,$400C_vol,1
245,$400C_const,1
245,$400C_vol,0
252,$400E_period,8
252,$400E_mode,0
252,$400C_const,0
252,$400C_vol,1
273,$400E_period,3
273,$400E_mode,0
273,$400C_const,0
273,$400C_vol,0
273,$400A_period,1025
273,$400B_length,66
273,$4006_period,1
273,$4002_period,1
273,$400B_length,0
275,$400C_const,1
275,$400C_vol,0
280,$400C_const,0
280,$400C_vol,0
280,$400A_period,1211
280,$400B_length,98
280,$4006_period,1
280,$4004_duty,2
280,$4004_const,1
280,$4004_vol,6
280,$4002_period,1
280,$400B_length,32
280,$4000_duty,2
280,$4000_const,0
280,$4000_vol,8
282,$400C_const,1
282,$400C_vol,0
287,$400C_const,0
287,$400C_vol,0
287,$4006_period,429
287,$4002_period,427
287,$400B_length,64
289,$400C_const,1
289,$400C_vol,0
294,$400C_const,0
294,$400C_vol,0
294,$400A_period,1211
294,$400B_length,130
294,$4006_period,405
294,$4002_period,403
294,$400B_length,96
296,$400C_const,1
296,$400C_vol,0
301,$400E_period,7
301,$400E_mode,0
301,$400C_const,0
301,$400C_vol,1
301,$4006_period,305
301,$4002_period,303
301,$400B_length,128
308,$400E_period,4
308,$400E_mode,0
308,$400C_const,0
308,$400C_vol,0
308,$400A_period,1211
308,$400B_length,162
308,$4006_period,341
308,$4002_period,339
308,$400B_length,160
310,$400C_const,1
310,$400C_vol,0
315,$400C_const,0
315,$400C_vol,0
315,$400A_period,699
315,$400B_length,193
315,$4006_period,405
315,$4002_period,403
315,$400B_length,192
317,$400C_const,1
317,$400C_vol,0
322,$400C_const,0
322,$400C_vol,0
322,$400A_period,1117
322,$400B_length,226
322,$4006_period,455
322,$4002_period,453
322,$400B_length,224
324,$400C_const,1
324,$400C_vol,0
329,$400E_period,3
329,$400E_mode,0
329,$400C_const,0
329,$400C_vol,0
329,$400A_period,1211
329,$400B_length,2
329,$4006_period,511
329,$4002_period,509
329,$400B_length,0
331,$400C_const,1
331,$400C_vol,0
336,$400C_const,0
336,$400C_vol,0
336,$400A_period,1211
336,$400B_length,34
336,$4006_period,455
336,$4002_period,453
336,$400B_length,32
338,$400C_const,1
338,$400C_vol,0
343,$400C_const,0
343,$400C_vol,0
343,$4006_period,511
343,$4002_period,509
343,$400B_length,0
345,$400C_const,1
345,$400C_vol,0
350,$400C_const,0
350,$400C_vol,0
350,$400A_period,1211
350,$400B_length,66
350,$4006_period,1
350,$4002_period,1
350,$400B_length,32
352,$400C_const,1
352,$400C_vol,0
357,$400E_period,7
357,$400E_mode,0
357,$400C_const,0
357,$400C_vol,1
364,$400E_period,4
364,$400E_mode,0
364,$400C_const,0
364,$400C_vol,0
364,$400A_period,1211
364,$400B_length,98
366,$400C_const,1
366,$400C_vol,0
371,$400C_const,0
371,$400C_vol,0
371,$400A_period,1211
371,$400B_length,130
373,$400C_const,1
373,$400C_vol,0
378,$400C_const,0
378,$400C_vol,0
378,$400A_period,1211
378,$400B_length,162
378,$4006_period,405
378,$4002_period,403
378,$400B_length,0
380,$400C_const,1
380,$400C_vol,0
385,$400E_period,3
385,$400E_mode,0
385,$400C_const,0
385,$400C_vol,0
385,$400A_period,1281
385,$400B_length,194
387,$400C_const,1
387,$400C_vol,0
392,$400C_const,0
392,$400C_vol,0
392,$400A_period,1359
392,$400B_length,226
392,$4006_period,1
392,$4002_period,1
392,$400B_length,32
394,$400C_const,1
394,$400C_vol,0
399,$400C_const,0
399,$400C_vol,0
399,$4006_period,429
399,$4002_period,427
399,$400B_length,64
401,$400C_const,1
401,$400C_vol,0
406,$400C_const,0
406,$400C_vol,0
406,$400A_period,1359
406,$400B_length,2
406,$4006_period,405
406,$4002_period,403
406,$400B_length,96
408,$400C_const,1
408,$400C_vol,0
413,$400E_period,7
413,$400E_mode,0
413,$400C_const,0
413,$400C_vol,1
413,$4006_period,305
413,$4002_period,303
413,$400B_length,128
420,$400E_period,4
420,$400E_mode,0
420,$400C_const,0
420,$400C_vol,0
420,$400A_period,1359
420,$400B_length,34
420,$4006_period,341
420,$4002_period,339
420,$400B_length,160
422,$400C_const,1
422,$400C_vol,0
427,$400C_const,0
427,$400C_vol,0
427,$400A_period,847
427,$400B_length,65
427,$4006_period,405
427,$4002_period,403
427,$400B_length,192
429,$400C_const,1
429,$400C_vol,0
434,$400C_const,0
434,$400C_vol,0
434,$400A_period,1191
434,$400B_length,98
434,$4006_period,455
434,$4002_period,453
434,$400B_length,224
436,$400C_const,1
436,$400C_vol,0
441,$400E_period,3
441,$400E_mode,0
441,$400C_const,0
441,$400C_vol,0
441,$400A_period,1359
441,$400B_length,130
441,$4006_period,511
441,$4002_period,509
441,$400B_length,0
443,$400C_const,1
443,$400C_vol,0
448,$400C_const,0
448,$400C_vol,0
448,$400A_period,1359
448,$400B_length,162
448,$4006_period,455
448,$4002_period,453
448,$400B_length,32
450,$400C_const,1
450,$400C_vol,0
455,$400C_const,0
455,$400C_vol,0
455,$4006_period,405
455,$4002_period,403
455,$400B_length,0
457,$400C_const,1
457,$400C_vol,0
462,$400C_const,0
462,$400C_vol,0
462,$400A_period,1359
462,$400B_length,194
462,$4006_period,513
462,$4002_period,513
462,$400B_length,33
464,$400C_const,1
464,$400C_vol,0
469,$400E_period,7
469,$400E_mode,0
469,$400C_const,0
469,$400C_vol,1
476,$400E_period,4
476,$400E_mode,0
476,$400C_const,0
476,$400C_vol,0
476,$400A_period,1359
476,$400B_length,226
478,$400C_const,1
478,$400C_vol,0
483,$400C_const,0
483,$400C_vol,0
483,$400A_period,1359
483,$400B_length,2
485,$400C_const,1
485,$400C_vol,0
490,$400C_const,0
490,$400C_vol,0
490,$400A_period,1359
490,$400B_length,34
490,$4006_period,95
490,$4002_period,93
490,$400B_length,0
492,$400C_const,1
492,$400C_vol,0
497,$400E_period,3
497,$400E_mode,0
497,$400C_const,0
497,$400C_vol,0
497,$400A_period,1441
497,$400B_length,66
499,$400C_const,1
499,$400C_vol,0
504,$400C_const,0
504,$400C_vol,0
504,$400A_period,1525
504,$400B_length,98
504,$4006_period,1
504,$4002_period,1
504,$400B_length,32
506,$400C_const,1
506,$400C_vol,0
511,$400C_const,0
511,$400C_vol,0
511,$400A_period,1525
511,$400B_length,130
511,$4006_period,429
511,$4002_period,427
511,$400B_length,64
513,$400C_const,1
513,$400C_vol,0
518,$400C_const,0
518,$400C_vol,0
518,$400A_period,1525
518,$400B_length,162
518,$4006_period,405
518,$4002_period,403
518,$400B_length,96
520,$400C_const,1
520,$400C_vol,0
525,$400E_period,7
525,$400E_mode,0
525,$400C_const,0
525,$400C_vol,1
525,$400A_period,1013
525,$400B_length,193
525,$4006_period,305
525,$4002_period,303
525,$400B_length,128
532,$400E_period,4
532,$400E_mode,0
532,$400C_const,0
532,$400C_vol,0
532,$400A_period,1275
532,$400B_length,226
532,$4006_period,341
532,$4002_period,339
532,$400B_length,160
534,$400C_const,1
534,$400C_vol,0
539,$400C_const,0
539,$400C_vol,0
539,$4006_period,405
539,$4002_period,403
539,$400B_length,192
541,$400C_const,1
541,$400C_vol,0
546,$400C_const,0
546,$400C_vol,0
546,$400A_period,1525
546,$400B_length,2
546,$4006_period,455
546,$4002_period,453
546,$400B_length,224
548,$400C_const,1
548,$400C_vol,0
553,$400E_period,3
553,$400E_mode,0
553,$400C_const,0
553,$400C_vol,0
553,$4006_period,511
553,$4002_period,509
553,$400B_length,0
555,$400C_const,1
555,$400C_vol,0
560,$400C_const,0
560,$400C_vol,0
560,$400A_period,1525
560,$400B_length,34
560,$4006_period,455
560,$4002_period,453
560,$400B_length,32
562,$400C_const,1
562,$400C_vol,0
567,$400C_const,0
567,$400C_vol,0
567,$400A_period,1525
567,$400B_length,66
567,$4006_period,511
567,$4002_period,509
567,$400B_length,0
569,$400C_const,1
569,$400C_vol,0
574,$400C_const,0
574,$400C_vol,0
574,$400A_period,1525
574,$400B_length,98
574,$4006_period,1
574,$4002_period,1
574,$400B_length,32
576,$400C_const,1
576,$400C_vol,0
581,$400E_period,7
581,$400E_mode,0
581,$400C_const,0
581,$400C_vol,1
581,$400A_period,1013
581,$400B_length,129
581,$4006_period,429
581,$4002_period,427
581,$400B_length,0
588,$400E_period,4
588,$400E_mode,0
588,$400C_const,0
588,$400C_vol,0
588,$400A_period,1275
588,$400B_length,162
588,$4006_period,1
588,$4002_period,1
588,$400B_length,32
590,$400C_const,1
590,$400C_vol,0
595,$400C_const,0
595,$400C_vol,0
595,$400A_period,1525
595,$400B_length,194
595,$4006_period,455
595,$4002_period,453
595,$400B_length,64
597,$400C_const,1
597,$400C_vol,0
