frame,parameter,value
95,$4010_rate,14
95,$4011_dac,128
95,$4012_addr,128
95,$4013_len,0
95,$4011_dac,34
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,34
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,38
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,42
95,$4011_dac,42
95,$4011_dac,42
95,$4011_dac,46
95,$4011_dac,42
95,$4011_dac,34
95,$4011_dac,22
95,$4011_dac,14
95,$4011_dac,10
95,$4011_dac,14
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,18
95,$4011_dac,18
95,$4011_dac,18
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,26
95,$4011_dac,30
95,$4011_dac,42
95,$4011_dac,46
95,$4011_dac,42
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,34
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,30
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,34
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,42
95,$4011_dac,42
95,$4011_dac,42
95,$4011_dac,38
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,34
95,$4011_dac,30
95,$4011_dac,34
95,$4011_dac,38
95,$4011_dac,38
95,$4011_dac,42
95,$4011_dac,46
95,$4011_dac,50
95,$4011_dac,46
95,$4011_dac,30
95,$4011_dac,14
95,$4011_dac,6
95,$4011_dac,10
95,$4011_dac,18
95,$4011_dac,22
95,$4011_dac,18
95,$4011_dac,18
95,$4011_dac,18
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,18
95,$4011_dac,18
95,$4011_dac,26
95,$4011_dac,34
95,$4011_dac,46
95,$4011_dac,50
95,$4011_dac,46
95,$4011_dac,42
95,$4011_dac,42
95,$4011_dac,42
95,$4011_dac,38
95,$4011_dac,34
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,26
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,18
95,$4011_dac,22
95,$4011_dac,26
95,$4011_dac,30
95,$4011_dac,34
95,$4011_dac,42
95,$4011_dac,50
95,$4011_dac,54
95,$4011_dac,42
95,$4011_dac,26
95,$4011_dac,38
95,$4011_dac,42
95,$4011_dac,46
95,$4011_dac,46
95,$4011_dac,38
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,30
95,$4011_dac,34
95,$4011_dac,38
95,$4011_dac,42
95,$4011_dac,42
95,$4011_dac,46
95,$4011_dac,50
95,$4011_dac,50
95,$4011_dac,54
95,$4011_dac,42
95,$4011_dac,22
95,$4011_dac,10
95,$4011_dac,10
95,$4011_dac,18
95,$4011_dac,26
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,26
95,$4011_dac,26
95,$4011_dac,22
95,$4011_dac,26
95,$4011_dac,38
95,$4011_dac,50
95,$4011_dac,58
95,$4011_dac,58
95,$4011_dac,50
95,$4011_dac,50
95,$4011_dac,46
95,$4011_dac,46
95,$4011_dac,42
95,$4011_dac,34
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,30
95,$4011_dac,22
95,$4011_dac,22
95,$4011_dac,26
