frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,11
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,9
0,$4008_linear,51
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,11
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,10
2,$4008_linear,51
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,11
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,10
3,$4008_linear,51
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,11
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,10
4,$4008_linear,51
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,11
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,10
6,$4008_linear,51
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,11
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,10
7,$4008_linear,51
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,11
8,$4001_sweep,67
8,$4002_period,2283
8,$400B_length,4
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,10
8,$4005_sweep,67
8,$4006_period,2283
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,11
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,10
9,$4008_linear,51
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,11
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,10
10,$4008_linear,51
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,11
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,10
12,$4008_linear,51
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,11
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,10
13,$4008_linear,51
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,11
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,11
15,$4008_linear,51
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,11
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,11
16,$4008_linear,51
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,11
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,11
18,$4008_linear,51
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,11
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,11
19,$4008_linear,51
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,11
20,$4001_sweep,67
20,$4002_period,2283
20,$400B_length,4
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,11
20,$4005_sweep,67
20,$4006_period,2283
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,11
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,11
21,$4008_linear,51
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,11
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,11
22,$4008_linear,51
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,11
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,11
24,$4008_linear,51
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,11
25,$4004_duty,3
25,$4004_const,1
25,$4004_vol,11
25,$4008_linear,51
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,11
27,$4004_duty,3
27,$4004_const,1
27,$4004_vol,11
27,$4008_linear,51
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,11
28,$4004_duty,3
28,$4004_const,1
28,$4004_vol,11
28,$4008_linear,51
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,11
30,$4004_duty,3
30,$4004_const,1
30,$4004_vol,11
30,$4008_linear,51
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,11
31,$4004_duty,3
31,$4004_const,1
31,$4004_vol,11
31,$4008_linear,51
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,11
32,$4001_sweep,67
32,$4002_period,2283
32,$400B_length,4
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,4
32,$4005_sweep,67
32,$4006_period,453
32,$4008_linear,51
32,$400A_period,225
32,$400B_length,152
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,11
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,4
33,$4008_linear,51
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,11
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,4
34,$4008_linear,51
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,11
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,4
36,$4008_linear,51
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,11
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,4
37,$4008_linear,51
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,11
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,4
39,$4008_linear,51
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,11
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,4
40,$4008_linear,51
41,$4000_duty,1
41,$4000_const,1
41,$4000_vol,11
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,4
41,$4008_linear,51
43,$4000_duty,1
43,$4000_const,1
43,$4000_vol,11
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,4
43,$4008_linear,51
44,$4000_duty,1
44,$4000_const,1
44,$4000_vol,11
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,4
44,$4008_linear,51
45,$4000_duty,1
45,$4000_const,1
45,$4000_vol,11
45,$4001_sweep,67
45,$4002_period,1141
45,$400B_length,2
45,$4008_linear,51
45,$400A_period,189
45,$400B_length,152
46,$4000_duty,1
46,$4000_const,1
46,$4000_vol,11
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,4
46,$4008_linear,51
47,$4000_duty,1
47,$4000_const,1
47,$4000_vol,11
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,4
47,$4008_linear,51
49,$4000_duty,1
49,$4000_const,1
49,$4000_vol,11
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,4
49,$4008_linear,51
50,$4000_duty,1
50,$4000_const,1
50,$4000_vol,11
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,4
50,$4008_linear,51
52,$4000_duty,1
52,$4000_const,1
52,$4000_vol,11
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,4
52,$4008_linear,51
53,$4000_duty,1
53,$4000_const,1
53,$4000_vol,11
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,4
53,$4008_linear,51
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,4
54,$4005_sweep,67
54,$4006_period,379
55,$4000_duty,1
55,$4000_const,1
55,$4000_vol,11
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,4
55,$4008_linear,51
56,$4000_duty,1
56,$4000_const,1
56,$4000_vol,11
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,4
56,$4008_linear,51
57,$4000_duty,1
57,$4000_const,1
57,$4000_vol,11
57,$4001_sweep,67
57,$4002_period,2283
57,$400B_length,4
57,$4008_linear,51
57,$400A_period,225
57,$400B_length,152
58,$4000_duty,1
58,$4000_const,1
58,$4000_vol,11
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,4
58,$4008_linear,51
59,$4000_duty,1
59,$4000_const,1
59,$4000_vol,11
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,4
59,$4008_linear,51
61,$4000_duty,1
61,$4000_const,1
61,$4000_vol,11
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,4
61,$4008_linear,51
62,$4000_duty,1
62,$4000_const,1
62,$4000_vol,11
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,4
62,$4008_linear,51
64,$4000_duty,1
64,$4000_const,1
64,$4000_vol,11
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,4
64,$4008_linear,51
65,$4000_duty,1
65,$4000_const,1
65,$4000_vol,11
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,4
65,$4008_linear,51
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,4
66,$4005_sweep,67
66,$4006_period,453
67,$4000_duty,1
67,$4000_const,1
67,$4000_vol,11
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,4
67,$4008_linear,51
68,$4000_duty,1
68,$4000_const,1
68,$4000_vol,11
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,4
68,$4008_linear,51
69,$4000_duty,1
69,$4000_const,1
69,$4000_vol,11
69,$4001_sweep,67
69,$4002_period,1141
69,$400B_length,2
69,$4008_linear,51
69,$400A_period,189
69,$400B_length,152
70,$4000_duty,1
70,$4000_const,1
70,$4000_vol,11
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,4
70,$4008_linear,51
71,$4000_duty,1
71,$4000_const,1
71,$4000_vol,11
71,$4004_duty,2
71,$4004_const,1
71,$4004_vol,4
71,$4008_linear,51
73,$4000_duty,1
73,$4000_const,1
73,$4000_vol,11
73,$4004_duty,2
73,$4004_const,1
73,$4004_vol,4
73,$4008_linear,51
74,$4000_duty,1
74,$4000_const,1
74,$4000_vol,11
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,4
74,$4008_linear,51
76,$4000_duty,1
76,$4000_const,1
76,$4000_vol,11
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,4
76,$4008_linear,51
77,$4000_duty,1
77,$4000_const,1
77,$4000_vol,11
77,$4004_duty,2
77,$4004_const,1
77,$4004_vol,4
77,$4008_linear,51
78,$4000_duty,1
78,$4000_const,1
78,$4000_vol,11
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,4
78,$4008_linear,51
79,$4004_duty,2
79,$4004_const,1
79,$4004_vol,4
79,$4005_sweep,67
79,$4006_period,379
80,$4000_duty,1
80,$4000_const,1
80,$4000_vol,11
80,$4004_duty,2
80,$4004_const,1
80,$4004_vol,4
80,$4008_linear,51
81,$4000_duty,1
81,$4000_const,1
81,$4000_vol,11
81,$4004_duty,2
81,$4004_const,1
81,$4004_vol,4
81,$4008_linear,51
82,$4000_duty,1
82,$4000_const,1
82,$4000_vol,11
82,$4001_sweep,67
82,$4002_period,3421
82,$400B_length,6
82,$4008_linear,51
82,$400A_period,169
82,$400B_length,152
83,$4000_duty,1
83,$4000_const,1
83,$4000_vol,11
83,$4004_duty,2
83,$4004_const,1
83,$4004_vol,4
83,$4008_linear,51
84,$4000_duty,1
84,$4000_const,1
84,$4000_vol,11
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,4
84,$4008_linear,51
86,$4000_duty,1
86,$4000_const,1
86,$4000_vol,11
86,$4004_duty,2
86,$4004_const,1
86,$4004_vol,4
86,$4008_linear,51
87,$4000_duty,1
87,$4000_const,1
87,$4000_vol,11
87,$4004_duty,2
87,$4004_const,1
87,$4004_vol,4
87,$4008_linear,51
89,$4000_duty,1
89,$4000_const,1
89,$4000_vol,11
89,$4004_duty,2
89,$4004_const,1
89,$4004_vol,4
89,$4008_linear,51
90,$4000_duty,1
90,$4000_const,1
90,$4000_vol,11
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,4
90,$4008_linear,51
91,$4004_duty,2
91,$4004_const,1
91,$4004_vol,4
91,$4005_sweep,67
91,$4006_period,339
92,$4000_duty,1
92,$4000_const,1
92,$4000_vol,11
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,4
92,$4008_linear,51
93,$4000_duty,1
93,$4000_const,1
93,$4000_vol,11
93,$4004_duty,2
93,$4004_const,1
93,$4004_vol,4
93,$4008_linear,51
