frame,parameter,value
84,$4000_duty,0
84,$4000_const,0
84,$4000_vol,0
84,$4004_duty,0
84,$4004_const,0
84,$4004_vol,0
84,$4008_linear,0
84,$400C_const,0
84,$400C_vol,0
84,$400E_period,0
84,$400E_mode,0
85,$4000_duty,0
85,$4000_const,0
85,$4000_vol,0
85,$4004_duty,0
85,$4004_const,0
85,$4004_vol,0
85,$4008_linear,0
85,$400C_const,0
85,$400C_vol,0
85,$400E_period,0
85,$400E_mode,0
86,$4000_duty,0
86,$4000_const,0
86,$4000_vol,0
86,$4004_duty,0
86,$4004_const,0
86,$4004_vol,0
86,$4008_linear,0
86,$400C_const,0
86,$400C_vol,0
86,$400E_period,0
86,$400E_mode,0
87,$4001_sweep,67
87,$4000_duty,1
87,$4000_const,1
87,$4000_vol,4
87,$4002_period,2283
87,$400B_length,4
87,$4005_sweep,67
87,$4004_duty,3
87,$4004_const,1
87,$4004_vol,4
87,$4006_period,2283
87,$4008_linear,51
87,$400A_period,1
87,$400B_length,152
87,$400C_const,1
87,$400C_vol,0
88,$4000_duty,1
88,$4000_const,1
88,$4000_vol,4
88,$4004_duty,3
88,$4004_const,1
88,$4004_vol,4
88,$4008_linear,51
89,$4000_duty,1
89,$4000_const,1
89,$4000_vol,4
89,$4004_duty,3
89,$4004_const,1
89,$4004_vol,4
89,$4008_linear,51
91,$4000_duty,1
91,$4000_const,1
91,$4000_vol,4
91,$4004_duty,3
91,$4004_const,1
91,$4004_vol,4
91,$4008_linear,51
92,$4000_duty,1
92,$4000_const,1
92,$4000_vol,4
92,$4004_duty,3
92,$4004_const,1
92,$4004_vol,4
92,$4008_linear,51
94,$4000_duty,1
94,$4000_const,1
94,$4000_vol,4
94,$4004_duty,3
94,$4004_const,1
94,$4004_vol,4
94,$4008_linear,51
95,$4000_duty,1
95,$4000_const,1
95,$4000_vol,4
95,$4004_duty,3
95,$4004_const,1
95,$4004_vol,4
95,$4008_linear,51
97,$4000_duty,1
97,$4000_const,1
97,$4000_vol,4
97,$4004_duty,3
97,$4004_const,1
97,$4004_vol,4
97,$4008_linear,51
98,$4000_duty,1
98,$4000_const,1
98,$4000_vol,4
98,$4004_duty,3
98,$4004_const,1
98,$4004_vol,4
98,$4008_linear,51
99,$4001_sweep,67
99,$4000_duty,1
99,$4000_const,1
99,$4000_vol,4
99,$4002_period,2283
99,$400B_length,4
99,$4005_sweep,67
99,$4004_duty,3
99,$4004_const,1
99,$4004_vol,4
99,$4006_period,2283
100,$4000_duty,1
100,$4000_const,1
100,$4000_vol,5
100,$4004_duty,3
100,$4004_const,1
100,$4004_vol,5
100,$4008_linear,51
101,$4000_duty,1
101,$4000_const,1
101,$4000_vol,5
101,$4004_duty,3
101,$4004_const,1
101,$4004_vol,5
101,$4008_linear,51
103,$4000_duty,1
103,$4000_const,1
103,$4000_vol,5
103,$4004_duty,3
103,$4004_const,1
103,$4004_vol,5
103,$4008_linear,51
104,$4000_duty,1
104,$4000_const,1
104,$4000_vol,5
104,$4004_duty,3
104,$4004_const,1
104,$4004_vol,5
104,$4008_linear,51
106,$4000_duty,1
106,$4000_const,1
106,$4000_vol,5
106,$4004_duty,3
106,$4004_const,1
106,$4004_vol,5
106,$4008_linear,51
107,$4000_duty,1
107,$4000_const,1
107,$4000_vol,5
107,$4004_duty,3
107,$4004_const,1
107,$4004_vol,5
107,$4008_linear,51
109,$4000_duty,1
109,$4000_const,1
109,$4000_vol,5
109,$4004_duty,3
109,$4004_const,1
109,$4004_vol,5
109,$4008_linear,51
110,$4000_duty,1
110,$4000_const,1
110,$4000_vol,5
110,$4004_duty,3
110,$4004_const,1
110,$4004_vol,5
110,$4008_linear,51
111,$4001_sweep,67
111,$4000_duty,1
111,$4000_const,1
111,$4000_vol,5
111,$4002_period,2283
111,$400B_length,4
111,$4005_sweep,67
111,$4004_duty,3
111,$4004_const,1
111,$4004_vol,5
111,$4006_period,2283
112,$4000_duty,1
112,$4000_const,1
112,$4000_vol,5
112,$4004_duty,3
112,$4004_const,1
112,$4004_vol,5
112,$4008_linear,51
113,$4000_duty,1
113,$4000_const,1
113,$4000_vol,6
113,$4004_duty,3
113,$4004_const,1
113,$4004_vol,6
113,$4008_linear,51
115,$4000_duty,1
115,$4000_const,1
115,$4000_vol,6
115,$4004_duty,3
115,$4004_const,1
115,$4004_vol,6
115,$4008_linear,51
116,$4000_duty,1
116,$4000_const,1
116,$4000_vol,6
116,$4004_duty,3
116,$4004_const,1
116,$4004_vol,6
116,$4008_linear,51
118,$4000_duty,1
118,$4000_const,1
118,$4000_vol,6
118,$4004_duty,3
118,$4004_const,1
118,$4004_vol,6
118,$4008_linear,51
119,$4000_duty,1
119,$4000_const,1
119,$4000_vol,6
119,$4004_duty,3
119,$4004_const,1
119,$4004_vol,6
119,$4008_linear,51
120,$4000_duty,1
120,$4000_const,1
120,$4000_vol,6
120,$4004_duty,3
120,$4004_const,1
120,$4004_vol,6
120,$4008_linear,51
122,$4000_duty,1
122,$4000_const,1
122,$4000_vol,6
122,$4004_duty,3
122,$4004_const,1
122,$4004_vol,6
122,$4008_linear,51
123,$4000_duty,1
123,$4000_const,1
123,$4000_vol,6
123,$4004_duty,3
123,$4004_const,1
123,$4004_vol,6
123,$4008_linear,51
124,$4001_sweep,67
124,$4000_duty,1
124,$4000_const,1
124,$4000_vol,6
124,$4002_period,2283
124,$400B_length,4
124,$4005_sweep,67
124,$4004_duty,3
124,$4004_const,1
124,$4004_vol,6
124,$4006_period,2283
125,$4000_duty,1
125,$4000_const,1
125,$4000_vol,6
125,$4004_duty,3
125,$4004_const,1
125,$4004_vol,6
125,$4008_linear,51
126,$4000_duty,1
126,$4000_const,1
126,$4000_vol,7
126,$4004_duty,3
126,$4004_const,1
126,$4004_vol,7
126,$4008_linear,51
128,$4000_duty,1
128,$4000_const,1
128,$4000_vol,7
128,$4004_duty,3
128,$4004_const,1
128,$4004_vol,7
128,$4008_linear,51
129,$4000_duty,1
129,$4000_const,1
129,$4000_vol,7
129,$4004_duty,3
129,$4004_const,1
129,$4004_vol,7
129,$4008_linear,51
131,$4000_duty,1
131,$4000_const,1
131,$4000_vol,7
131,$4004_duty,3
131,$4004_const,1
131,$4004_vol,7
131,$4008_linear,51
132,$4000_duty,1
132,$4000_const,1
132,$4000_vol,7
132,$4004_duty,3
132,$4004_const,1
132,$4004_vol,7
132,$4008_linear,51
134,$4000_duty,1
134,$4000_const,1
134,$4000_vol,7
134,$4004_duty,3
134,$4004_const,1
134,$4004_vol,7
134,$4008_linear,51
135,$4000_duty,1
135,$4000_const,1
135,$4000_vol,7
135,$4004_duty,3
