frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,2
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,2
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,2
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,2
0,$4008_linear,48
0,$400C_const,1
0,$400C_vol,2
0,$400C_const,1
0,$400C_vol,2
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,2
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,15
1,$4001_sweep,0
1,$4002_period,213
1,$400B_length,8
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,2
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,13
1,$4005_sweep,0
1,$4006_period,255
1,$4008_linear,48
1,$400A_period,427
1,$400B_length,8
1,$400C_const,1
1,$400C_vol,2
1,$400C_const,1
1,$400C_vol,15
1,$400E_period,8
1,$400E_mode,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,15
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,2
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,13
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,2
2,$4008_linear,48
2,$400C_const,1
2,$400C_vol,15
2,$400C_const,1
2,$400C_vol,15
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,2
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,2
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,2
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,2
3,$4008_linear,48
3,$400C_const,1
3,$400C_vol,15
3,$400C_const,1
3,$400C_vol,6
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,2
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,2
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,2
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,2
4,$4008_linear,48
4,$400C_const,1
4,$400C_vol,6
4,$400C_const,1
4,$400C_vol,2
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,2
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,2
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,2
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,2
5,$4008_linear,48
5,$400C_const,1
5,$400C_vol,2
5,$400C_const,1
5,$400C_vol,2
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,2
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,2
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,2
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,2
6,$4008_linear,48
6,$400C_const,1
6,$400C_vol,2
6,$400C_const,1
6,$400C_vol,2
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,2
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,15
7,$4001_sweep,0
7,$4002_period,191
7,$400B_length,8
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,2
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,13
7,$4005_sweep,0
7,$4006_period,227
7,$4008_linear,48
7,$400A_period,381
7,$400B_length,8
7,$400C_const,1
7,$400C_vol,2
7,$400C_const,1
7,$400C_vol,15
7,$400E_period,8
7,$400E_mode,0
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,15
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,2
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,13
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,2
8,$4008_linear,48
8,$400C_const,1
8,$400C_vol,15
8,$400C_const,1
8,$400C_vol,15
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,2
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,2
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,2
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,2
9,$4008_linear,48
9,$400C_const,1
9,$400C_vol,15
9,$400C_const,1
9,$400C_vol,6
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,2
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,2
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,2
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,2
10,$4008_linear,48
10,$400C_const,1
10,$400C_vol,6
10,$400C_const,1
10,$400C_vol,2
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,2
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,2
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,2
11,$4004_duty,0
