frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,7
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,6
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,7
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,6
0,$4008_linear,16
0,$400C_const,1
0,$400C_vol,2
0,$400C_const,1
0,$400C_vol,2
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,6
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,15
1,$4001_sweep,0
1,$4002_period,161
1,$400B_length,8
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,6
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,15
1,$4005_sweep,0
1,$4006_period,427
1,$4008_linear,16
1,$400C_const,1
1,$400C_vol,2
1,$400C_const,1
1,$400C_vol,2
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,15
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,10
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,15
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,10
2,$4008_linear,16
2,$400C_const,1
2,$400C_vol,2
2,$400C_const,1
2,$400C_vol,2
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,10
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,15
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,10
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,15
3,$4008_linear,16
3,$400C_const,1
3,$400C_vol,2
3,$400C_const,1
3,$400C_vol,2
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,15
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,10
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,15
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,10
4,$4008_linear,16
4,$400C_const,1
4,$400C_vol,2
4,$400C_const,1
4,$400C_vol,2
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,10
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,7
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,10
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,7
5,$4008_linear,16
5,$400C_const,1
5,$400C_vol,2
5,$400C_const,1
5,$400C_vol,2
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,7
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,6
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,7
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,6
6,$4008_linear,16
6,$400C_const,1
6,$400C_vol,2
6,$400C_const,1
6,$400C_vol,2
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,6
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,15
7,$4001_sweep,0
7,$4002_period,169
7,$400B_length,8
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,6
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,15
7,$4005_sweep,0
7,$4006_period,453
7,$4008_linear,16
7,$400A_period,539
7,$400B_length,9
7,$400C_const,1
7,$400C_vol,2
7,$400C_const,1
7,$400C_vol,15
7,$400E_period,7
7,$400E_mode,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,15
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,10
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,15
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,10
8,$4008_linear,16
8,$400C_const,1
8,$400C_vol,15
8,$400C_const,1
8,$400C_vol,2
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,10
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,15
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,10
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,15
9,$4008_linear,16
9,$400C_const,1
9,$400C_vol,2
9,$400C_const,1
9,$400C_vol,2
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,15
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,10
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,15
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,10
10,$4008_linear,16
10,$400C_const,1
10,$400C_vol,2
10,$400C_const,1
10,$400C_vol,2
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,10
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,7
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,10
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,7
11,$4008_linear,16
11,$400C_const,1
11,$400C_vol,2
11,$400C_const,1
11,$400C_vol,2
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,7
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,6
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,7
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,6
12,$4008_linear,16
12,$400C_const,1
12,$400C_vol,2
12,$400C_const,1
12,$400C_vol,2
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,6
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,15
13,$4001_sweep,0
13,$4002_period,161
13,$400B_length,8
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,6
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,15
13,$4005_sweep,0
13,$4006_period,427
13,$4008_linear,16
13,$400C_const,1
13,$400C_vol,2
13,$400C_const,1
13,$400C_vol,2
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,15
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,10
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,15
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,10
14,$4008_linear,16
14,$400C_const,1
14,$400C_vol,2
14,$400C_const,1
14,$400C_vol,2
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,10
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,15
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,10
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,15
15,$4008_linear,16
15,$400C_const,1
15,$400C_vol,2
15,$400C_const,1
15,$400C_vol,2
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,15
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,10
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,15
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,10
16,$4008_linear,16
16,$400C_const,1
16,$400C_vol,2
16,$400C_const,1
16,$400C_vol,2
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,10
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,7
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,10
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,7
17,$4008_linear,16
17,$400C_const,1
17,$400C_vol,2
17,$400C_const,1
17,$400C_vol,2
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,7
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,6
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,7
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,6
18,$4008_linear,16
18,$400C_const,1
18,$400C_vol,2
18,$400C_const,1
18,$400C_vol,2
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,6
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,15
19,$4001_sweep,0
19,$4002_period,169
19,$400B_length,8
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,6
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,15
19,$4005_sweep,0
19,$4006_period,453
19,$4008_linear,16
19,$400A_period,269
19,$400B_length,8
19,$400C_const,1
19,$400C_vol,2
19,$400C_const,1
19,$400C_vol,15
19,$400E_period,14
19,$400E_mode,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,15
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,10
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,15
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,10
20,$4008_linear,16
20,$400C_const,1
20,$400C_vol,15
20,$400C_const,1
20,$400C_vol,2
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,10
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,15
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,10
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,15
21,$4008_linear,16
21,$400C_const,1
21,$400C_vol,2
21,$400C_const,1
21,$400C_vol,2
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,15
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,10
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,15
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,10
22,$4008_linear,16
22,$400C_const,1
22,$400C_vol,2
22,$400C_const,1
22,$400C_vol,2
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,10
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,7
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,10
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,7
23,$4008_linear,16
23,$400C_const,1
23,$400C_vol,2
23,$400C_const,1
23,$400C_vol,2
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,7
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,6
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,7
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,6
24,$4008_linear,16
24,$400C_const,1
24,$400C_vol,2
24,$400C_const,1
24,$400C_vol,2
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,6
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,15
25,$4001_sweep,0
25,$4002_period,161
25,$400B_length,8
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,6
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,15
25,$4005_sweep,0
25,$4006_period,427
25,$4008_linear,16
25,$400C_const,1
25,$400C_vol,2
25,$400C_const,1
25,$400C_vol,2
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,15
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,10
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,15
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,10
26,$4008_linear,16
26,$400C_const,1
26,$400C_vol,2
26,$400C_const,1
26,$400C_vol,2
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,10
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,15
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,10
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,15
27,$4008_linear,16
27,$400C_const,1
27,$400C_vol,2
27,$400C_const,1
27,$400C_vol,2
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,15
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,10
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,15
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,10
28,$4008_linear,16
28,$400C_const,1
28,$400C_vol,2
28,$400C_const,1
28,$400C_vol,2
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,10
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,7
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,10
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,7
29,$4008_linear,16
29,$400C_const,1
29,$400C_vol,2
29,$400C_const,1
29,$400C_vol,2
