frame,parameter,value
0,$4008_linear,112
0,$400A_period,127
0,$400B_length,0
0,$400E_period,12
0,$400E_mode,0
1,$400E_period,12
1,$400E_mode,1
2,$400E_period,12
2,$400E_mode,0
3,$4008_linear,0
3,$400E_period,12
3,$400E_mode,1
4,$4008_linear,0
4,$400E_period,12
4,$400E_mode,0
5,$4008_linear,0
5,$400E_period,12
5,$400E_mode,1
6,$4008_linear,112
6,$400A_period,113
6,$400B_length,0
6,$400E_period,12
6,$400E_mode,0
7,$400E_period,12
7,$400E_mode,1
8,$400E_period,12
8,$400E_mode,0
9,$400C_const,1
9,$400C_vol,0
9,$4008_linear,0
9,$400E_period,12
9,$400E_mode,1
10,$400C_const,1
10,$400C_vol,0
10,$4008_linear,0
10,$400E_period,12
10,$400E_mode,0
11,$400C_const,1
11,$400C_vol,0
11,$4008_linear,0
11,$400E_period,12
11,$400E_mode,1
12,$400C_const,0
12,$400C_vol,6
12,$400E_period,7
12,$400E_mode,0
12,$4008_linear,112
12,$400A_period,169
12,$400B_length,0
12,$400E_period,7
12,$400E_mode,0
13,$400E_period,12
13,$400E_mode,1
14,$400E_period,7
14,$400E_mode,0
15,$4008_linear,0
15,$400E_period,12
15,$400E_mode,1
16,$4008_linear,0
16,$400E_period,7
16,$400E_mode,0
17,$4008_linear,0
17,$400E_period,12
17,$400E_mode,1
18,$4008_linear,112
18,$400A_period,143
18,$400B_length,0
18,$400E_period,7
18,$400E_mode,0
19,$400E_period,12
19,$400E_mode,1
20,$400E_period,7
20,$400E_mode,0
21,$4008_linear,0
21,$400E_period,12
21,$400E_mode,1
22,$4008_linear,0
22,$400E_period,7
22,$400E_mode,0
23,$4008_linear,0
23,$400E_period,12
23,$400E_mode,1
24,$4008_linear,112
24,$400A_period,127
24,$400B_length,0
24,$400E_period,7
24,$400E_mode,0
25,$400E_period,12
25,$400E_mode,1
26,$400E_period,7
26,$400E_mode,0
27,$4008_linear,0
27,$400E_period,12
27,$400E_mode,1
28,$4008_linear,0
28,$400E_period,7
28,$400E_mode,0
29,$4008_linear,0
29,$400E_period,12
29,$400E_mode,1
30,$4008_linear,112
30,$400A_period,169
30,$400B_length,0
30,$400E_period,7
30,$400E_mode,0
31,$400E_period,12
31,$400E_mode,1
32,$400E_period,7
32,$400E_mode,0
33,$400C_const,1
33,$400C_vol,0
33,$4008_linear,0
33,$400E_period,12
33,$400E_mode,1
34,$400C_const,1
34,$400C_vol,0
34,$4008_linear,0
34,$400E_period,7
34,$400E_mode,0
35,$400C_const,1
35,$400C_vol,0
35,$4008_linear,0
35,$400E_period,12
35,$400E_mode,1
36,$400C_const,0
36,$400C_vol,3
36,$400E_period,12
36,$400E_mode,0
36,$4008_linear,112
36,$400A_period,169
36,$400B_length,0
36,$400E_period,12
36,$400E_mode,0
36,$4011_dac,20
36,$4011_dac,44
36,$4011_dac,24
36,$4011_dac,20
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,44
36,$4011_dac,28
36,$4011_dac,40
36,$4011_dac,44
36,$4011_dac,36
36,$4011_dac,36
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,40
36,$4011_dac,40
36,$4011_dac,36
36,$4011_dac,40
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,40
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,20
36,$4011_dac,32
36,$4011_dac,24
36,$4011_dac,20
36,$4011_dac,16
36,$4011_dac,20
36,$4011_dac,16
36,$4011_dac,20
36,$4011_dac,16
36,$4011_dac,28
36,$4011_dac,24
36,$4011_dac,20
36,$4011_dac,32
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,24
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,20
36,$4011_dac,20
36,$4011_dac,28
36,$4011_dac,24
36,$4011_dac,24
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,44
36,$4011_dac,44
36,$4011_dac,44
36,$4011_dac,44
36,$4011_dac,52
36,$4011_dac,52
36,$4011_dac,48
36,$4011_dac,48
36,$4011_dac,56
36,$4011_dac,52
36,$4011_dac,52
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,12
36,$4011_dac,20
36,$4011_dac,20
36,$4011_dac,24
36,$4011_dac,24
36,$4011_dac,24
36,$4011_dac,40
36,$4011_dac,40
36,$4011_dac,36
36,$4011_dac,44
36,$4011_dac,44
36,$4011_dac,40
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,28
36,$4011_dac,24
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,36
36,$4011_dac,40
36,$4011_dac,44
36,$4011_dac,44
36,$4011_dac,44
36,$4011_dac,56
36,$4011_dac,52
36,$4011_dac,52
36,$4011_dac,56
36,$4011_dac,60
36,$4011_dac,60
36,$4011_dac,52
36,$4011_dac,32
36,$4011_dac,20
36,$4011_dac,28
36,$4011_dac,8
36,$4011_dac,0
36,$4011_dac,8
36,$4011_dac,20
36,$4011_dac,24
36,$4011_dac,28
36,$4011_dac,32
36,$4011_dac,48
36,$4011_dac,36
36,$4011_dac,32
36,$4011_dac,32
36,$4011_dac,28
36,$4011_dac,16
36,$4011_dac,4
36,$4011_dac,12
36,$4011_dac,20
36,$4011_dac,20
36,$4011_dac,24
36,$4011_dac,32
36,$4011_dac,40
36,$4011_dac,36
36,$4011_dac,28
36,$4011_dac,24
36,$4011_dac,20
36,$4011_dac,20
36,$4011_dac,20
36,$4011_dac,28
36,$4011_dac,36
36,$4011_dac,44
36,$4011_dac,48
36,$4011_dac,56
36,$4011_dac,60
36,$4011_dac,60
36,$4011_dac,56
36,$4011_dac,60
36,$4011_dac,32
36,$4011_dac,0
36,$4011_dac,8
36,$4011_dac,16
36,$4011_dac,0
36,$4011_dac,0
36,$4011_dac,20
36,$4011_dac,48
36,$4011_dac,36
36,$4011_dac,40
36,$4011_dac,44
36,$4011_dac,44
36,$4011_dac,28
36,$4011_dac,8
