frame,parameter,value
191,$4008_linear,0
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,0
191,$400C_const,1
191,$400C_vol,0
191,$4001_sweep,127
191,$4005_sweep,127
191,$4008_linear,0
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,0
191,$400C_const,1
191,$400C_vol,0
191,$4001_sweep,127
191,$4005_sweep,127
191,$4008_linear,0
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,0
191,$400C_const,1
191,$400C_vol,0
191,$4001_sweep,127
191,$4005_sweep,127
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4001_sweep,127
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,0
191,$4005_sweep,127
191,$4008_linear,0
191,$400C_const,1
191,$400C_vol,0
192,$4000_duty,0
192,$4000_const,1
192,$4000_vol,0
192,$4004_duty,0
192,$4004_const,1
192,$4004_vol,0
192,$4008_linear,0
202,$4010_rate,12
202,$4011_dac,0
202,$4012_addr,121
202,$4013_len,4
207,$4010_rate,12
207,$4011_dac,0
207,$4012_addr,121
207,$4013_len,4
212,$4004_duty,2
212,$4004_const,1
212,$4004_vol,4
212,$4006_period,1537
212,$4008_linear,16
212,$400A_period,513
212,$400B_length,9
212,$400C_const,1
212,$400C_vol,0
212,$4010_rate,12
212,$4011_dac,0
212,$4012_addr,117
212,$4013_len,12
212,$400C_const,1
212,$400C_vol,10
212,$400E_period,14
212,$400E_mode,0
213,$400C_const,1
213,$400C_vol,4
213,$400E_period,6
213,$400E_mode,0
214,$4004_duty,2
214,$4004_const,1
214,$4004_vol,4
214,$4008_linear,16
214,$400A_period,907
214,$400B_length,9
214,$400C_const,1
214,$400C_vol,2
214,$400E_period,4
214,$400E_mode,0
215,$400C_const,1
215,$400C_vol,3
215,$400E_period,3
215,$400E_mode,0
216,$4004_duty,2
216,$4004_const,1
216,$4004_vol,4
216,$4008_linear,16
216,$400A_period,961
216,$400B_length,9
216,$400C_const,1
216,$400C_vol,2
216,$400E_period,4
216,$400E_mode,0
217,$400C_const,1
217,$400C_vol,1
217,$400E_period,3
217,$400E_mode,0
218,$4004_duty,2
218,$4004_const,1
218,$4004_vol,4
218,$4006_period,2541
218,$4008_linear,16
218,$400A_period,1529
218,$400B_length,10
218,$400C_const,1
218,$400C_vol,1
218,$400E_period,2
218,$400E_mode,0
219,$400C_const,1
219,$400C_vol,1
219,$400E_period,2
219,$400E_mode,0
220,$4004_duty,2
220,$4004_const,1
220,$4004_vol,4
220,$4008_linear,16
220,$400A_period,1079
220,$400B_length,10
220,$400C_const,1
220,$400C_vol,0
222,$4004_duty,2
222,$4004_const,1
222,$4004_vol,4
222,$4008_linear,16
222,$400A_period,1143
222,$400B_length,10
224,$4004_duty,2
224,$4004_const,1
224,$4004_vol,4
224,$4008_linear,16
224,$400A_period,1209
224,$400B_length,10
226,$4004_duty,2
226,$4004_const,1
226,$4004_vol,4
226,$4006_period,3069
226,$4008_linear,16
226,$400A_period,1281
226,$400B_length,10
228,$4004_duty,2
228,$4004_const,1
228,$4004_vol,4
228,$4008_linear,16
228,$400A_period,1359
228,$400B_length,10
230,$4004_duty,2
230,$4004_const,1
230,$4004_vol,4
230,$4008_linear,16
230,$400A_period,1439
230,$400B_length,10
232,$4000_duty,0
232,$4000_const,1
232,$4000_vol,0
232,$4004_duty,2
232,$4004_const,1
232,$4004_vol,4
232,$4006_period,3555
232,$4008_linear,16
232,$400A_period,2037
232,$400B_length,11
234,$4004_duty,2
234,$4004_const,1
234,$4004_vol,4
234,$4008_linear,16
234,$400A_period,1615
234,$400B_length,11
236,$4000_duty,1
236,$4000_const,1
236,$4000_vol,6
236,$4002_period,1537
236,$400B_length,11
236,$4004_duty,2
236,$4004_const,1
236,$4004_vol,7
236,$4006_period,1879
236,$4008_linear,17
236,$400A_period,1199
236,$400B_length,10
236,$4010_rate,12
236,$4011_dac,0
236,$4012_addr,121
236,$4013_len,4
237,$4000_duty,0
237,$4000_const,1
237,$4000_vol,5
237,$4004_duty,2
237,$4004_const,1
237,$4004_vol,7
237,$4006_period,1103
238,$4000_duty,1
238,$4000_const,1
238,$4000_vol,6
238,$4002_period,2127
238,$400B_length,12
238,$4004_duty,1
238,$4004_const,1
238,$4004_vol,6
239,$4000_duty,0
239,$4000_const,1
239,$4000_vol,5
239,$4004_duty,1
239,$4004_const,1
239,$4004_vol,5
240,$4000_duty,0
240,$4000_const,1
240,$4000_vol,4
240,$4004_duty,1
240,$4004_const,1
240,$4004_vol,4
241,$4000_duty,0
241,$4000_const,1
241,$4000_vol,3
241,$4004_duty,1
241,$4004_const,1
241,$4004_vol,3
242,$4000_duty,0
242,$4000_const,1
242,$4000_vol,2
242,$4004_duty,1
242,$4004_const,1
242,$4004_vol,2
243,$4000_duty,0
243,$4000_const,1
243,$4000_vol,1
243,$4004_duty,1
243,$4004_const,1
243,$4004_vol,1
244,$4004_duty,1
244,$4004_const,1
244,$4004_vol,1
246,$4000_duty,1
246,$4000_const,1
246,$4000_vol,6
246,$4002_period,1907
246,$400B_length,11
246,$4004_duty,2
246,$4004_const,1
246,$4004_vol,7
246,$4006_period,1721
246,$4008_linear,17
246,$400A_period,1209
246,$400B_length,10
247,$4000_duty,0
247,$4000_const,1
247,$4000_vol,5
247,$4004_duty,2
247,$4004_const,1
247,$4004_vol,7
247,$4006_period,1103
248,$4000_duty,1
248,$4000_const,1
248,$4000_vol,6
248,$4002_period,2127
248,$400B_length,12
248,$4004_duty,1
248,$4004_const,1
248,$4004_vol,6
249,$4000_duty,0
249,$4000_const,1
249,$4000_vol,5
249,$4004_duty,1
249,$4004_const,1
249,$4004_vol,5
250,$4000_duty,0
250,$4000_const,1
250,$4000_vol,4
250,$4004_duty,1
250,$4004_const,1
250,$4004_vol,4
251,$4000_duty,0
251,$4000_const,1
251,$4000_vol,3
251,$4004_duty,1
251,$4004_const,1
251,$4004_vol,3
252,$4000_duty,0
252,$4000_const,1
252,$4000_vol,2
252,$4004_duty,1
252,$4004_const,1
252,$4004_vol,2
253,$4000_duty,0
253,$4000_const,1
253,$4000_vol,1
253,$4004_duty,1
253,$4004_const,1
253,$4004_vol,1
254,$4004_duty,1
254,$4004_const,1
254,$4004_vol,1
256,$4000_duty,1
256,$4000_const,1
256,$4000_vol,6
256,$4002_period,1907
256,$400B_length,11
256,$4004_duty,2
256,$4004_const,1
256,$4004_vol,7
256,$4006_period,1721
256,$4008_linear,17
256,$400A_period,1209
256,$400B_length,10
256,$400C_const,1
256,$400C_vol,0
256,$4010_rate,12
256,$4011_dac,0
256,$4012_addr,117
256,$4013_len,12
256,$400C_const,1
256,$400C_vol,10
256,$400E_period,14
256,$400E_mode,0
257,$4000_duty,0
257,$4000_const,1
257,$4000_vol,5
257,$4004_duty,2
257,$4004_const,1
257,$4004_vol,7
257,$4006_period,1103
257,$400C_const,1
257,$400C_vol,4
257,$400E_period,6
257,$400E_mode,0
258,$4000_duty,1
258,$4000_const,1
258,$4000_vol,6
258,$4002_period,2127
258,$400B_length,12
258,$4004_duty,1
258,$4004_const,1
258,$4004_vol,6
258,$400C_const,1
258,$400C_vol,2
258,$400E_period,4
258,$400E_mode,0
259,$4000_duty,0
259,$4000_const,1
259,$4000_vol,5
259,$4004_duty,1
259,$4004_const,1
259,$4004_vol,5
259,$400C_const,1
259,$400C_vol,3
259,$400E_period,3
259,$400E_mode,0
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,4
260,$4004_duty,1
260,$4004_const,1
260,$4004_vol,4
260,$400C_const,1
260,$400C_vol,2
260,$400E_period,4
260,$400E_mode,0
261,$4000_duty,0
261,$4000_const,1
261,$4000_vol,3
261,$4004_duty,1
261,$4004_const,1
261,$4004_vol,3
261,$400C_const,1
261,$400C_vol,1
261,$400E_period,3
261,$400E_mode,0
262,$4000_duty,0
262,$4000_const,1
262,$4000_vol,2
262,$4004_duty,1
262,$4004_const,1
262,$4004_vol,2
262,$400C_const,1
262,$400C_vol,1
262,$400E_period,2
262,$400E_mode,0
263,$4000_duty,0
