frame,parameter,value
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,69
326,$4011_dac,68
326,$4011_dac,69
326,$4011_dac,68
326,$4011_dac,69
326,$4011_dac,68
326,$4011_dac,67
326,$4011_dac,69
326,$4011_dac,68
326,$4011_dac,67
326,$4011_dac,68
326,$4011_dac,68
326,$4011_dac,68
326,$4011_dac,68
326,$4011_dac,68
326,$4011_dac,68
326,$4011_dac,69
326,$4011_dac,68
326,$4011_dac,68
326,$4011_dac,69
326,$4011_dac,67
326,$4011_dac,68
326,$4011_dac,67
326,$4011_dac,68
326,$4011_dac,68
326,$4011_dac,69
326,$4011_dac,72
326,$4011_dac,67
326,$4011_dac,69
326,$4011_dac,66
326,$4011_dac,69
326,$4011_dac,64
326,$4011_dac,67
326,$4011_dac,56
326,$4011_dac,62
326,$4011_dac,62
326,$4011_dac,76
326,$4011_dac,68
326,$4011_dac,26
326,$4011_dac,76
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,69
326,$4011_dac,62
326,$4011_dac,76
326,$4011_dac,72
326,$4011_dac,87
326,$4011_dac,91
326,$4011_dac,87
326,$4011_dac,87
326,$4011_dac,91
326,$4011_dac,103
326,$4011_dac,87
326,$4011_dac,87
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,87
326,$4011_dac,76
326,$4011_dac,69
326,$4011_dac,62
326,$4011_dac,56
326,$4011_dac,68
326,$4011_dac,72
326,$4011_dac,72
326,$4011_dac,64
326,$4011_dac,56
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,49
326,$4011_dac,103
326,$4011_dac,87
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,91
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,68
326,$4011_dac,87
326,$4011_dac,76
326,$4011_dac,72
326,$4011_dac,65
326,$4011_dac,87
326,$4011_dac,72
326,$4011_dac,62
326,$4011_dac,49
326,$4011_dac,87
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,87
326,$4011_dac,87
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,87
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,76
326,$4011_dac,72
326,$4011_dac,63
326,$4011_dac,56
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,26
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,56
326,$4011_dac,62
326,$4011_dac,64
326,$4011_dac,72
326,$4011_dac,76
326,$4011_dac,76
326,$4011_dac,87
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,91
326,$4011_dac,103
326,$4011_dac,103
326,$4011_dac,91
326,$4011_dac,87
326,$4011_dac,87
326,$4011_dac,87
326,$4011_dac,65
326,$4011_dac,56
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,49
326,$4011_dac,56
326,$4011_dac,65
326,$4011_dac,69
327,$4011_dac,72
327,$4011_dac,76
327,$4011_dac,72
327,$4011_dac,72
327,$4011_dac,72
327,$4011_dac,76
327,$4011_dac,76
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,76
327,$4011_dac,72
327,$4011_dac,69
327,$4011_dac,76
327,$4011_dac,64
327,$4011_dac,56
327,$4011_dac,56
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,26
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,56
327,$4011_dac,76
327,$4011_dac,66
327,$4011_dac,87
327,$4011_dac,76
327,$4011_dac,87
327,$4011_dac,91
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,91
327,$4011_dac,91
327,$4011_dac,103
327,$4011_dac,72
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,76
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,91
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,68
327,$4011_dac,67
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,56
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,49
327,$4011_dac,63
327,$4011_dac,68
327,$4011_dac,68
327,$4011_dac,68
327,$4011_dac,69
327,$4011_dac,68
327,$4011_dac,69
327,$4011_dac,66
327,$4011_dac,69
327,$4011_dac,63
327,$4011_dac,49
327,$4011_dac,56
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,63
327,$4011_dac,62
327,$4011_dac,64
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,91
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,76
327,$4011_dac,56
327,$4011_dac,56
327,$4011_dac,56
327,$4011_dac,65
327,$4011_dac,63
327,$4011_dac,69
327,$4011_dac,66
327,$4011_dac,72
327,$4011_dac,67
327,$4011_dac,69
327,$4011_dac,69
327,$4011_dac,72
327,$4011_dac,76
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,103
327,$4011_dac,103
327,$4011_dac,87
327,$4011_dac,69
327,$4011_dac,66
327,$4011_dac,64
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,63
327,$4011_dac,87
327,$4011_dac,87
327,$4011_dac,72
327,$4011_dac,64
327,$4011_dac,62
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,26
327,$4011_dac,49
327,$4011_dac,63
327,$4011_dac,64
327,$4011_dac,49
327,$4011_dac,62
327,$4011_dac,56
327,$4011_dac,26
327,$4011_dac,56
327,$4011_dac,62
327,$4011_dac,49
327,$4011_dac,49
327,$4011_dac,72
327,$4011_dac,72
327,$4011_dac,64
327,$4011_dac,63
327,$4011_dac,62
327,$4011_dac,67
327,$4011_dac,69
327,$4011_dac,72
327,$4011_dac,87
327,$4011_dac,87
328,$4011_dac,87
328,$4011_dac,65
328,$4011_dac,56
328,$4011_dac,62
328,$4011_dac,26
328,$4011_dac,68
328,$4011_dac,49
328,$4011_dac,56
328,$4011_dac,91
328,$4011_dac,76
328,$4011_dac,72
328,$4011_dac,26
328,$4011_dac,56
328,$4011_dac,67
328,$4011_dac,76
328,$4011_dac,91
328,$4011_dac,91
