frame,parameter,value
219,$400C_const,0
219,$400C_vol,10
219,$400E_period,13
219,$400E_mode,0
220,$400C_const,0
220,$400C_vol,10
220,$400E_period,13
220,$400E_mode,0
337,$400C_const,0
337,$400C_vol,10
337,$400E_period,13
337,$400E_mode,0
338,$400C_const,0
338,$400C_vol,10
338,$400E_period,13
338,$400E_mode,0
439,$400C_const,0
439,$400C_vol,10
439,$400E_period,13
439,$400E_mode,0
440,$400C_const,0
440,$400C_vol,10
440,$400E_period,13
440,$400E_mode,0
536,$4000_duty,1
536,$4000_const,1
536,$4000_vol,12
536,$4001_sweep,128
536,$4002_period,253
536,$400B_length,0
536,$4004_duty,1
536,$4004_const,1
536,$4004_vol,12
536,$4005_sweep,128
536,$4006_period,319
536,$4008_linear,127
537,$4000_duty,1
537,$4000_const,1
537,$4000_vol,13
537,$4004_duty,1
537,$4004_const,1
537,$4004_vol,13
537,$4008_linear,127
538,$4000_duty,1
538,$4000_const,1
538,$4000_vol,13
538,$4004_duty,1
538,$4004_const,1
538,$4004_vol,13
538,$4008_linear,127
539,$4000_duty,1
539,$4000_const,1
539,$4000_vol,13
539,$4004_duty,1
539,$4004_const,1
539,$4004_vol,13
539,$4008_linear,127
540,$4000_duty,1
540,$4000_const,1
540,$4000_vol,13
540,$4004_duty,1
540,$4004_const,1
540,$4004_vol,13
540,$4008_linear,127
541,$4000_duty,1
541,$4000_const,1
541,$4000_vol,14
541,$4004_duty,1
541,$4004_const,1
541,$4004_vol,14
541,$4008_linear,127
542,$4000_duty,1
542,$4000_const,1
542,$4000_vol,14
542,$4004_duty,1
542,$4004_const,1
542,$4004_vol,14
542,$4008_linear,127
543,$4000_duty,1
543,$4000_const,1
543,$4000_vol,14
543,$4004_duty,1
543,$4004_const,1
543,$4004_vol,14
543,$4008_linear,127
544,$4000_duty,1
544,$4000_const,1
544,$4000_vol,14
544,$4004_duty,1
544,$4004_const,1
544,$4004_vol,14
544,$4008_linear,127
545,$4000_duty,1
545,$4000_const,1
545,$4000_vol,14
545,$4004_duty,1
545,$4004_const,1
545,$4004_vol,14
545,$4008_linear,127
546,$4000_duty,1
546,$4000_const,1
546,$4000_vol,14
546,$4004_duty,1
546,$4004_const,1
546,$4004_vol,14
546,$4008_linear,127
547,$4000_duty,1
547,$4000_const,1
547,$4000_vol,14
547,$4004_duty,1
547,$4004_const,1
547,$4004_vol,14
547,$4008_linear,127
548,$4000_duty,1
548,$4000_const,1
548,$4000_vol,14
548,$4004_duty,1
548,$4004_const,1
548,$4004_vol,14
548,$4008_linear,127
549,$4000_duty,1
549,$4000_const,1
549,$4000_vol,14
549,$4004_duty,1
549,$4004_const,1
549,$4004_vol,14
549,$4008_linear,127
550,$4000_duty,1
550,$4000_const,1
550,$4000_vol,14
550,$4004_duty,1
550,$4004_const,1
550,$4004_vol,14
550,$4008_linear,127
551,$4000_duty,1
551,$4000_const,1
551,$4000_vol,14
551,$4004_duty,1
551,$4004_const,1
551,$4004_vol,14
551,$4008_linear,127
552,$4000_duty,1
552,$4000_const,1
552,$4000_vol,14
552,$4004_duty,1
552,$4004_const,1
552,$4004_vol,14
552,$4008_linear,127
553,$4000_duty,1
553,$4000_const,1
553,$4000_vol,15
553,$4004_duty,1
553,$4004_const,1
553,$4004_vol,15
553,$4008_linear,127
554,$4000_duty,1
554,$4000_const,1
554,$4000_vol,15
554,$4004_duty,1
554,$4004_const,1
554,$4004_vol,15
554,$4008_linear,127
555,$4000_duty,1
555,$4000_const,1
555,$4000_vol,15
555,$4004_duty,1
555,$4004_const,1
555,$4004_vol,15
555,$4008_linear,127
556,$4000_duty,1
556,$4000_const,1
556,$4000_vol,15
556,$4004_duty,1
556,$4004_const,1
556,$4004_vol,15
556,$4008_linear,127
557,$4000_duty,1
557,$4000_const,1
557,$4000_vol,15
557,$4004_duty,1
557,$4004_const,1
557,$4004_vol,15
557,$4008_linear,127
558,$4000_duty,1
558,$4000_const,1
558,$4000_vol,15
558,$4004_duty,1
558,$4004_const,1
558,$4004_vol,15
558,$4008_linear,127
559,$4000_duty,1
559,$4000_const,1
559,$4000_vol,15
559,$4004_duty,1
559,$4004_const,1
559,$4004_vol,15
559,$4008_linear,127
560,$4000_duty,1
560,$4000_const,1
560,$4000_vol,15
560,$4004_duty,1
560,$4004_const,1
560,$4004_vol,15
560,$4008_linear,127
561,$4000_duty,1
561,$4000_const,1
561,$4000_vol,15
561,$4004_duty,1
561,$4004_const,1
561,$4004_vol,15
561,$4008_linear,127
562,$4000_duty,1
562,$4000_const,1
562,$4000_vol,15
562,$4004_duty,1
562,$4004_const,1
562,$4004_vol,15
562,$4008_linear,127
563,$4000_duty,1
563,$4000_const,1
563,$4000_vol,15
563,$4004_duty,1
563,$4004_const,1
563,$4004_vol,15
563,$4008_linear,127
564,$4000_duty,1
564,$4000_const,1
564,$4000_vol,15
564,$4004_duty,1
564,$4004_const,1
564,$4004_vol,15
564,$4008_linear,127
565,$4000_duty,1
565,$4000_const,1
565,$4000_vol,15
565,$4004_duty,1
565,$4004_const,1
565,$4004_vol,15
565,$4008_linear,127
566,$4000_duty,1
566,$4000_const,1
566,$4000_vol,15
566,$4004_duty,1
566,$4004_const,1
566,$4004_vol,15
566,$4008_linear,127
567,$4000_duty,1
567,$4000_const,1
567,$4000_vol,15
567,$4004_duty,1
567,$4004_const,1
567,$4004_vol,15
567,$4008_linear,127
568,$4000_duty,1
568,$4000_const,1
568,$4000_vol,12
568,$4001_sweep,128
568,$4002_period,319
568,$400B_length,0
568,$4004_duty,1
568,$4004_const,1
568,$4004_vol,12
568,$4005_sweep,128
568,$4006_period,379
568,$4008_linear,127
569,$4000_duty,1
569,$4000_const,1
569,$4000_vol,13
569,$4004_duty,1
569,$4004_const,1
569,$4004_vol,13
569,$4008_linear,127
570,$4000_duty,1
570,$4000_const,1
570,$4000_vol,13
570,$4004_duty,1
570,$4004_const,1
570,$4004_vol,13
570,$4008_linear,127
571,$4000_duty,1
571,$4000_const,1
571,$4000_vol,13
571,$4004_duty,1
571,$4004_const,1
571,$4004_vol,13
571,$4008_linear,127
572,$4000_duty,1
572,$4000_const,1
572,$4000_vol,13
572,$4004_duty,1
572,$4004_const,1
572,$4004_vol,13
572,$4008_linear,127
573,$4000_duty,1
573,$4000_const,1
573,$4000_vol,14
573,$4004_duty,1
573,$4004_const,1
573,$4004_vol,14
573,$4008_linear,127
574,$4000_duty,1
574,$4000_const,1
574,$4000_vol,14
574,$4004_duty,1
574,$4004_const,1
574,$4004_vol,14
574,$4008_linear,127
575,$4000_duty,1
575,$4000_const,1
575,$4000_vol,14
575,$4004_duty,1
575,$4004_const,1
575,$4004_vol,14
575,$4008_linear,127
576,$4000_duty,1
576,$4000_const,1
576,$4000_vol,14
576,$4004_duty,1
576,$4004_const,1
576,$4004_vol,14
576,$4008_linear,127
577,$4000_duty,1
577,$4000_const,1
577,$4000_vol,14
577,$4004_duty,1
577,$4004_const,1
577,$4004_vol,14
577,$4008_linear,127
578,$4000_duty,1
578,$4000_const,1
578,$4000_vol,14
578,$4004_duty,1
578,$4004_const,1
578,$4004_vol,14
578,$4008_linear,127
579,$4000_duty,1
579,$4000_const,1
579,$4000_vol,14
579,$4004_duty,1
579,$4004_const,1
579,$4004_vol,14
579,$4008_linear,127
580,$4000_duty,1
580,$4000_const,1
580,$4000_vol,14
580,$4004_duty,1
580,$4004_const,1
580,$4004_vol,14
580,$4008_linear,127
581,$4000_duty,1
581,$4000_const,1
581,$4000_vol,14
581,$4004_duty,1
581,$4004_const,1
581,$4004_vol,14
581,$4008_linear,127
582,$4000_duty,1
582,$4000_const,1
582,$4000_vol,14
582,$4004_duty,1
582,$4004_const,1
582,$4004_vol,14
582,$4008_linear,127
583,$4000_duty,1
583,$4000_const,1
583,$4000_vol,14
583,$4004_duty,1
583,$4004_const,1
583,$4004_vol,14
583,$4008_linear,127
584,$4000_duty,1
584,$4000_const,1
584,$4000_vol,14
584,$4004_duty,1
584,$4004_const,1
584,$4004_vol,14
584,$4008_linear,127
585,$4000_duty,1
585,$4000_const,1
585,$4000_vol,15
585,$4004_duty,1
585,$4004_const,1
585,$4004_vol,15
585,$4008_linear,127
586,$4000_duty,1
586,$4000_const,1
586,$4000_vol,15
586,$4004_duty,1
586,$4004_const,1
586,$4004_vol,15
586,$4008_linear,127
587,$4000_duty,1
587,$4000_const,1
587,$4000_vol,15
587,$4004_duty,1
587,$4004_const,1
587,$4004_vol,15
587,$4008_linear,127
588,$4000_duty,1
588,$4000_const,1
588,$4000_vol,15
588,$4004_duty,1
588,$4004_const,1
588,$4004_vol,15
588,$4008_linear,127
589,$4000_duty,1
589,$4000_const,1
589,$4000_vol,12
589,$4001_sweep,128
589,$4002_period,283
589,$400B_length,0
589,$4004_duty,1
589,$4004_const,1
589,$4004_vol,12
589,$4005_sweep,128
589,$4006_period,337
589,$4008_linear,127
589,$400A_period,425
589,$400B_length,0
590,$4000_duty,1
590,$4000_const,1
590,$4000_vol,13
590,$4004_duty,1
590,$4004_const,1
590,$4004_vol,13
590,$4008_linear,127
591,$4000_duty,1
591,$4000_const,1
591,$4000_vol,13
591,$4004_duty,1
591,$4004_const,1
591,$4004_vol,13
591,$4008_linear,127
592,$4000_duty,1
592,$4000_const,1
592,$4000_vol,13
592,$4004_duty,1
592,$4004_const,1
592,$4004_vol,13
592,$4008_linear,127
593,$4000_duty,1
593,$4000_const,1
593,$4000_vol,13
593,$4004_duty,1
593,$4004_const,1
593,$4004_vol,13
593,$4008_linear,127
594,$4000_duty,1
594,$4000_const,1
594,$4000_vol,14
594,$4004_duty,1
594,$4004_const,1
594,$4004_vol,14
594,$4008_linear,127
595,$4000_duty,1
595,$4000_const,1
595,$4000_vol,14
595,$4004_duty,1
595,$4004_const,1
595,$4004_vol,14
595,$4008_linear,127
596,$4000_duty,1
596,$4000_const,1
596,$4000_vol,14
596,$4004_duty,1
596,$4004_const,1
596,$4004_vol,14
596,$4008_linear,127
597,$4000_duty,1
597,$4000_const,1
597,$4000_vol,14
597,$4004_duty,1
597,$4004_const,1
597,$4004_vol,14
597,$4008_linear,127
598,$4000_duty,1
598,$4000_const,1
598,$4000_vol,14
598,$4004_duty,1
598,$4004_const,1
598,$4004_vol,14
598,$4008_linear,127
599,$4000_duty,1
599,$4000_const,1
599,$4000_vol,14
599,$4004_duty,1
599,$4004_const,1
599,$4004_vol,14
599,$4008_linear,127
