frame,parameter,value
447,$4000_duty,0
447,$4000_const,0
447,$4000_vol,0
447,$4004_duty,0
447,$4004_const,0
447,$4004_vol,0
447,$4008_linear,0
447,$400C_const,0
447,$400C_vol,0
447,$400E_period,0
447,$400E_mode,0
448,$4001_sweep,67
448,$4000_duty,1
448,$4000_const,1
448,$4000_vol,7
448,$4002_period,719
448,$400B_length,153
448,$4005_sweep,67
448,$4004_duty,1
448,$4004_const,1
448,$4004_vol,7
448,$4006_period,2155
448,$4008_linear,31
448,$400A_period,1077
448,$400B_length,154
448,$400C_const,1
448,$400C_vol,7
448,$400E_period,13
448,$400E_mode,0
449,$4000_duty,1
449,$4000_const,1
449,$4000_vol,7
449,$4004_duty,1
449,$4004_const,1
449,$4004_vol,7
449,$4008_linear,31
449,$400C_const,1
449,$400C_vol,7
449,$400E_period,13
449,$400E_mode,0
452,$4000_duty,1
452,$4000_const,1
452,$4000_vol,7
452,$4004_duty,1
452,$4004_const,1
452,$4004_vol,7
452,$4008_linear,31
452,$400C_const,1
452,$400C_vol,7
452,$400E_period,13
452,$400E_mode,0
454,$4001_sweep,67
454,$4000_duty,1
454,$4000_const,1
454,$4000_vol,7
454,$4002_period,3421
454,$400B_length,158
454,$400C_const,1
454,$400C_vol,7
454,$400E_period,2
454,$400E_mode,0
456,$4000_duty,1
456,$4000_const,1
456,$4000_vol,7
456,$4004_duty,1
456,$4004_const,1
456,$4004_vol,7
456,$4008_linear,31
456,$400C_const,1
456,$400C_vol,7
456,$400E_period,2
456,$400E_mode,0
458,$4005_sweep,67
458,$4004_duty,1
458,$4004_const,1
458,$4004_vol,3
458,$4006_period,3227
459,$4000_duty,0
459,$4000_const,1
459,$4000_vol,0
459,$400C_const,1
459,$400C_vol,0
462,$4004_duty,0
462,$4004_const,1
462,$4004_vol,0
463,$4008_linear,31
466,$4008_linear,31
469,$4008_linear,31
469,$400A_period,1077
469,$400B_length,154
470,$4008_linear,31
474,$4008_linear,31
481,$4008_linear,31
485,$4008_linear,31
489,$4008_linear,31
489,$400A_period,1077
489,$400B_length,154
490,$4008_linear,31
496,$4008_linear,31
501,$4008_linear,31
505,$4008_linear,31
509,$4008_linear,31
509,$400A_period,1077
509,$400B_length,154
512,$4008_linear,31
516,$4008_linear,31
521,$4008_linear,31
525,$4008_linear,31
529,$4008_linear,31
529,$400A_period,1141
529,$400B_length,154
532,$4008_linear,31
534,$4008_linear,31
541,$4008_linear,31
545,$4008_linear,31
549,$4008_linear,31
549,$400A_period,1141
549,$400B_length,154
550,$4008_linear,31
554,$4008_linear,31
561,$4008_linear,31
565,$4008_linear,31
569,$4008_linear,31
569,$400A_period,1141
569,$400B_length,154
570,$4008_linear,31
574,$4008_linear,31
581,$4008_linear,31
585,$4008_linear,31
589,$4008_linear,31
589,$400A_period,807
589,$400B_length,153
590,$4008_linear,31
594,$4008_linear,31
599,$4008_linear,31
