frame,parameter,value
435,$4004_duty,1
435,$4004_const,1
435,$4004_vol,3
435,$4005_sweep,0
435,$4006_period,343
435,$4000_duty,1
435,$4000_const,1
435,$4000_vol,8
435,$4001_sweep,0
435,$4002_period,255
435,$400B_length,0
453,$4004_duty,1
453,$4004_const,1
453,$4004_vol,3
453,$4005_sweep,0
453,$4006_period,343
453,$4000_duty,1
453,$4000_const,1
453,$4000_vol,8
453,$4001_sweep,0
453,$4002_period,269
453,$400B_length,0
471,$4004_duty,1
471,$4004_const,1
471,$4004_vol,3
471,$4005_sweep,0
471,$4006_period,343
471,$4000_duty,1
471,$4000_const,1
471,$4000_vol,8
471,$4001_sweep,0
471,$4002_period,255
471,$400B_length,0
489,$4004_duty,1
489,$4004_const,1
489,$4004_vol,3
489,$4005_sweep,0
489,$4006_period,343
489,$4000_duty,1
489,$4000_const,1
489,$4000_vol,8
489,$4001_sweep,0
489,$4002_period,269
489,$400B_length,0
507,$400C_const,0
507,$400C_vol,0
507,$400E_period,11
507,$400E_mode,1
507,$4008_linear,1
507,$400A_period,679
507,$400B_length,1
507,$4004_duty,1
507,$4004_const,1
507,$4004_vol,3
507,$4005_sweep,0
507,$4006_period,363
507,$4000_duty,1
507,$4000_const,1
507,$4000_vol,8
507,$4001_sweep,0
507,$4002_period,303
507,$400B_length,0
519,$400C_const,0
519,$400C_vol,0
519,$400E_period,11
519,$400E_mode,1
519,$4008_linear,1
519,$400A_period,679
519,$400B_length,1
519,$4004_duty,1
519,$4004_const,1
519,$4004_vol,3
519,$4005_sweep,0
519,$4006_period,343
519,$4000_duty,1
519,$4000_const,1
519,$4000_vol,8
519,$4001_sweep,0
519,$4002_period,269
519,$400B_length,0
531,$4008_linear,1
531,$400A_period,679
531,$400B_length,1
531,$4004_duty,1
531,$4004_const,1
531,$4004_vol,3
531,$4005_sweep,0
531,$4006_period,343
531,$4000_duty,1
531,$4000_const,1
531,$4000_vol,8
531,$4001_sweep,0
531,$4002_period,255
531,$400B_length,0
537,$400C_const,0
537,$400C_vol,0
537,$400E_period,4
537,$400E_mode,0
543,$400C_const,0
543,$400C_vol,0
543,$400E_period,1
543,$400E_mode,0
549,$4008_linear,1
549,$400A_period,679
549,$400B_length,1
549,$4004_duty,1
549,$4004_const,1
549,$4004_vol,3
549,$4005_sweep,0
549,$4006_period,343
549,$4000_duty,1
549,$4000_const,1
549,$4000_vol,8
549,$4001_sweep,0
549,$4002_period,269
549,$400B_length,0
555,$400C_const,0
555,$400C_vol,0
555,$400E_period,1
555,$400E_mode,0
561,$400C_const,0
561,$400C_vol,0
561,$400E_period,4
561,$400E_mode,0
567,$400C_const,0
567,$400C_vol,0
567,$400E_period,1
567,$400E_mode,0
567,$4008_linear,1
567,$400A_period,679
567,$400B_length,1
567,$4004_duty,1
567,$4004_const,1
567,$4004_vol,3
567,$4005_sweep,0
567,$4006_period,343
567,$4000_duty,1
567,$4000_const,1
567,$4000_vol,8
567,$4001_sweep,0
567,$4002_period,255
567,$400B_length,0
573,$400C_const,0
573,$400C_vol,0
573,$400E_period,1
573,$400E_mode,0
585,$400C_const,0
585,$400C_vol,0
585,$400E_period,4
585,$400E_mode,0
585,$4008_linear,1
585,$400A_period,679
585,$400B_length,1
585,$4004_duty,1
585,$4004_const,1
585,$4004_vol,3
585,$4005_sweep,0
585,$4006_period,343
585,$4000_duty,1
585,$4000_const,1
585,$4000_vol,8
585,$4001_sweep,0
585,$4002_period,269
585,$400B_length,0
591,$400C_const,0
591,$400C_vol,0
591,$400E_period,1
591,$400E_mode,0
597,$4008_linear,1
597,$400A_period,719
597,$400B_length,1
597,$4000_duty,1
597,$4000_const,1
597,$4000_vol,8
597,$4001_sweep,0
597,$4002_period,719
597,$400B_length,1
