frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,2
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,2
0,$400C_const,1
0,$400C_vol,0
0,$4008_linear,32
1,$4001_sweep,0
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,8
1,$4002_period,321
1,$400B_length,8
1,$4005_sweep,0
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,8
1,$4006_period,383
1,$400C_const,1
1,$400C_vol,7
1,$400E_period,8
1,$400E_mode,0
1,$4008_linear,32
1,$400A_period,963
1,$400B_length,9
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,10
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,10
2,$400C_const,1
2,$400C_vol,4
2,$4008_linear,32
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,9
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,9
3,$400C_const,1
3,$400C_vol,2
3,$4008_linear,32
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,8
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,8
4,$400C_const,1
4,$400C_vol,0
4,$4008_linear,32
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,6
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,6
5,$400C_const,1
5,$400C_vol,0
5,$4008_linear,32
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,4
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,4
6,$400C_const,1
6,$400C_vol,0
6,$4008_linear,32
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,3
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,3
7,$400C_const,1
7,$400C_vol,0
7,$4008_linear,32
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,2
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,2
8,$400C_const,1
8,$400C_vol,0
8,$4008_linear,32
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,2
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,2
9,$400C_const,1
9,$400C_vol,0
9,$4008_linear,32
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,2
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,2
10,$400C_const,1
10,$400C_vol,0
10,$4008_linear,32
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,2
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,2
11,$400C_const,1
11,$400C_vol,0
11,$4008_linear,32
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,2
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,2
12,$400C_const,1
12,$400C_vol,0
12,$4008_linear,32
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,2
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,2
13,$400C_const,1
13,$400C_vol,0
13,$4008_linear,32
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,2
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,2
14,$400C_const,1
14,$400C_vol,0
14,$4008_linear,32
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,2
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,2
15,$400C_const,1
15,$400C_vol,0
15,$4008_linear,32
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,2
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,2
16,$400C_const,1
16,$400C_vol,0
16,$4008_linear,32
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,2
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,2
17,$400C_const,1
17,$400C_vol,0
17,$4008_linear,32
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,2
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,2
18,$400C_const,1
18,$400C_vol,0
18,$4008_linear,32
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,2
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,2
19,$400C_const,1
19,$400C_vol,0
19,$4008_linear,32
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,2
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,2
20,$400C_const,1
20,$400C_vol,0
20,$4008_linear,32
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,2
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,2
21,$400C_const,1
21,$400C_vol,0
21,$4008_linear,32
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,2
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,2
22,$400C_const,1
22,$400C_vol,0
22,$4008_linear,32
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,2
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,2
23,$400C_const,1
23,$400C_vol,0
23,$4008_linear,32
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,2
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,2
24,$400C_const,1
24,$400C_vol,0
24,$4008_linear,32
25,$4001_sweep,0
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,8
25,$4002_period,381
25,$400B_length,8
25,$4005_sweep,0
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,8
25,$4006_period,483
25,$400C_const,1
25,$400C_vol,7
25,$400E_period,8
25,$400E_mode,0
25,$4008_linear,32
25,$400A_period,643
25,$400B_length,9
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,10
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,10
26,$400C_const,1
26,$400C_vol,4
26,$4008_linear,32
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,9
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,9
27,$400C_const,1
27,$400C_vol,2
27,$4008_linear,32
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,8
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,8
28,$400C_const,1
28,$400C_vol,0
28,$4008_linear,32
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,6
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,6
29,$400C_const,1
29,$400C_vol,0
29,$4008_linear,32
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,4
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,4
30,$400C_const,1
30,$400C_vol,0
30,$4008_linear,32
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,3
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,3
31,$400C_const,1
31,$400C_vol,0
31,$4008_linear,32
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,2
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,2
32,$400C_const,1
32,$400C_vol,0
32,$4008_linear,32
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,2
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,2
33,$400C_const,1
33,$400C_vol,7
33,$400E_period,4
33,$400E_mode,0
33,$4008_linear,32
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,2
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,2
34,$400C_const,1
34,$400C_vol,4
34,$4008_linear,32
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,2
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,2
35,$400C_const,1
35,$400C_vol,2
35,$4008_linear,32
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,2
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,2
36,$400C_const,1
36,$400C_vol,0
36,$4008_linear,32
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,2
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,2
37,$400C_const,1
37,$400C_vol,0
37,$4008_linear,32
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,2
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,2
38,$400C_const,1
38,$400C_vol,0
38,$4008_linear,32
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,2
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,2
39,$400C_const,1
39,$400C_vol,0
39,$4008_linear,32
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,2
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,2
40,$400C_const,1
40,$400C_vol,0
40,$4008_linear,32
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,2
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,2
41,$400C_const,1
41,$400C_vol,0
41,$4008_linear,32
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,2
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,2
42,$400C_const,1
42,$400C_vol,0
42,$4008_linear,32
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,2
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,2
43,$400C_const,1
43,$400C_vol,0
43,$4008_linear,32
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,2
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,2
44,$400C_const,1
44,$400C_vol,0
44,$4008_linear,32
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,2
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,2
45,$400C_const,1
45,$400C_vol,0
45,$4008_linear,32
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,2
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,2
46,$400C_const,1
46,$400C_vol,0
46,$4008_linear,32
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,2
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,2
47,$400C_const,1
47,$400C_vol,0
47,$4008_linear,32
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,2
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,2
48,$400C_const,1
48,$400C_vol,0
48,$4008_linear,32
49,$4001_sweep,0
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,8
49,$4002_period,481
49,$400B_length,8
49,$4005_sweep,0
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,8
49,$4006_period,643
49,$400C_const,1
49,$400C_vol,7
49,$400E_period,8
49,$400E_mode,0
49,$4008_linear,32
49,$400A_period,483
49,$400B_length,8
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,10
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,10
50,$400C_const,1
50,$400C_vol,4
50,$4008_linear,32
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,9
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,9
51,$400C_const,1
51,$400C_vol,2
51,$4008_linear,32
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,8
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,8
52,$400C_const,1
52,$400C_vol,0
52,$4008_linear,32
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,6
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,6
53,$400C_const,1
53,$400C_vol,0
53,$4008_linear,32
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,4
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,4
54,$400C_const,1
54,$400C_vol,0
54,$4008_linear,32
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,3
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,3
55,$400C_const,1
55,$400C_vol,0
55,$4008_linear,32
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,2
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,2
56,$400C_const,1
56,$400C_vol,0
56,$4008_linear,32
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,2
57,$4004_duty,2
57,$4004_const,1
57,$4004_vol,2
57,$400C_const,1
57,$400C_vol,0
57,$4008_linear,32
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,2
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,2
58,$400C_const,1
58,$400C_vol,0
58,$4008_linear,32
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,2
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,2
59,$400C_const,1
59,$400C_vol,0
59,$4008_linear,32
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,2
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,2
60,$400C_const,1
60,$400C_vol,0
60,$4008_linear,32
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,2
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,2
61,$400C_const,1
61,$400C_vol,0
61,$4008_linear,32
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,2
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,2
62,$400C_const,1
62,$400C_vol,0
62,$4008_linear,32
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,2
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,2
63,$400C_const,1
63,$400C_vol,0
63,$4008_linear,32
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,2
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,2
64,$400C_const,1
64,$400C_vol,0
64,$4008_linear,32
65,$4001_sweep,0
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,8
65,$4002_period,359
65,$400B_length,8
65,$4005_sweep,0
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,8
65,$4006_period,429
65,$400C_const,1
65,$400C_vol,7
65,$400E_period,8
65,$400E_mode,0
65,$4008_linear,32
65,$400A_period,1079
65,$400B_length,10
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,10
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,10
66,$400C_const,1
66,$400C_vol,4
66,$4008_linear,32
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,9
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,9
67,$400C_const,1
67,$400C_vol,2
67,$4008_linear,32
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,8
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,8
68,$400C_const,1
68,$400C_vol,0
68,$4008_linear,32
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,6
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,6
69,$400C_const,1
