frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,15
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,15
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,0
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,7
0,$4008_linear,16
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,15
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,15
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,7
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,13
1,$4008_linear,16
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,15
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,15
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,13
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,13
2,$4008_linear,16
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,15
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,15
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,13
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,13
3,$4008_linear,16
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,15
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,15
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,13
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,13
4,$4008_linear,16
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,15
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,15
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,13
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,13
5,$4008_linear,16
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,15
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,15
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,13
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,13
6,$4008_linear,16
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,15
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,15
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,13
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,0
7,$4005_sweep,0
7,$4006_period,481
7,$4008_linear,16
7,$400A_period,571
7,$400B_length,9
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,15
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,15
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,0
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,7
8,$4008_linear,16
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,15
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,15
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,7
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,13
9,$4008_linear,16
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,15
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,15
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,13
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,13
10,$4008_linear,16
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,15
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,15
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,13
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,13
11,$4008_linear,16
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,15
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,15
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,13
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,13
12,$4008_linear,16
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,15
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,15
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,13
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,13
13,$4008_linear,16
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,15
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,15
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,13
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,13
14,$4008_linear,16
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,15
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,0
15,$4001_sweep,0
15,$4002_period,359
15,$400B_length,8
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,13
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,8
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,13
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,13
16,$4008_linear,16
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,8
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,15
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,13
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,13
17,$4008_linear,16
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,15
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,15
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,13
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,13
18,$4008_linear,16
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,15
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,15
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,13
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,13
19,$4008_linear,16
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,15
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,15
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,13
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,13
20,$4008_linear,16
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,15
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,15
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,13
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,13
21,$4008_linear,16
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,15
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,15
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,13
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,13
22,$4008_linear,16
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,15
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,0
23,$4001_sweep,0
23,$4002_period,191
23,$400B_length,8
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,13
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,13
23,$4008_linear,16
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,0
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,8
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,13
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,13
24,$4008_linear,16
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,8
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,15
25,$4004_duty,3
25,$4004_const,1
25,$4004_vol,13
25,$4004_duty,3
25,$4004_const,1
25,$4004_vol,13
25,$4008_linear,16
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,15
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,15
26,$4004_duty,3
26,$4004_const,1
26,$4004_vol,13
26,$4004_duty,3
26,$4004_const,1
26,$4004_vol,13
26,$4008_linear,16
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,15
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,15
27,$4004_duty,3
27,$4004_const,1
27,$4004_vol,13
27,$4004_duty,3
27,$4004_const,1
27,$4004_vol,13
27,$4008_linear,16
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,15
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,15
28,$4004_duty,3
28,$4004_const,1
28,$4004_vol,13
28,$4004_duty,3
28,$4004_const,1
28,$4004_vol,13
28,$4008_linear,16
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,15
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,15
29,$4004_duty,3
29,$4004_const,1
29,$4004_vol,13
29,$4004_duty,3
29,$4004_const,1
29,$4004_vol,13
29,$4008_linear,16
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,15
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,15
30,$4004_duty,3
30,$4004_const,1
30,$4004_vol,13
30,$4004_duty,3
30,$4004_const,1
30,$4004_vol,13
30,$4008_linear,16
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,15
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,0
31,$4001_sweep,0
31,$4002_period,213
31,$400B_length,8
31,$4004_duty,3
31,$4004_const,1
31,$4004_vol,13
31,$4004_duty,3
31,$4004_const,1
31,$4004_vol,0
31,$4005_sweep,0
31,$4006_period,427
31,$4008_linear,16
31,$400A_period,509
31,$400B_length,8
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,0
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,8
32,$4004_duty,3
32,$4004_const,1
32,$4004_vol,0
32,$4004_duty,3
32,$4004_const,1
32,$4004_vol,7
32,$4008_linear,16
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,8
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,15
33,$4004_duty,3
33,$4004_const,1
33,$4004_vol,7
33,$4004_duty,3
33,$4004_const,1
33,$4004_vol,13
33,$4008_linear,16
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,15
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,15
34,$4004_duty,3
34,$4004_const,1
34,$4004_vol,13
34,$4004_duty,3
34,$4004_const,1
34,$4004_vol,13
34,$4008_linear,16
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,15
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,15
35,$4004_duty,3
35,$4004_const,1
35,$4004_vol,13
35,$4004_duty,3
35,$4004_const,1
35,$4004_vol,13
35,$4008_linear,16
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,15
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,15
36,$4004_duty,3
36,$4004_const,1
36,$4004_vol,13
36,$4004_duty,3
36,$4004_const,1
36,$4004_vol,13
36,$4008_linear,16
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,15
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,15
37,$4004_duty,3
37,$4004_const,1
37,$4004_vol,13
37,$4004_duty,3
37,$4004_const,1
37,$4004_vol,13
37,$4008_linear,16
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,15
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,15
38,$4004_duty,3
38,$4004_const,1
38,$4004_vol,13
38,$4004_duty,3
38,$4004_const,1
38,$4004_vol,13
38,$4008_linear,16
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,15
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,15
39,$4004_duty,3
39,$4004_const,1
39,$4004_vol,13
39,$4004_duty,3
39,$4004_const,1
39,$4004_vol,0
39,$4005_sweep,0
39,$4006_period,427
39,$4008_linear,16
39,$400A_period,509
39,$400B_length,8
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,15
40,$4000_duty,1
