frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,7
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,7
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,7
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,7
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,7
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,7
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,7
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,7
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,7
4,$4005_sweep,0
4,$4006_period,855
4,$4008_linear,23
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,13
4,$400A_period,255
4,$400B_length,8
4,$4008_linear,23
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,7
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,11
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,7
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,9
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,7
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,7
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,7
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,7
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,7
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,7
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,7
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,7
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,7
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,7
12,$4001_sweep,0
12,$4002_period,339
12,$400B_length,232
12,$4008_linear,23
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,13
12,$4005_sweep,0
12,$4006_period,427
12,$4008_linear,23
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,13
12,$400A_period,641
12,$400B_length,9
12,$4008_linear,55
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,11
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,11
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,9
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,9
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,7
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,7
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,7
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,7
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,7
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,7
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,7
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,7
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,7
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,7
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,7
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,7
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,7
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,7
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,7
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,7
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,7
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,7
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,7
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,7
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,7
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,7
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,7
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,7
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,7
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,7
28,$4001_sweep,0
28,$4002_period,381
28,$400B_length,176
28,$4008_linear,55
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,13
28,$4005_sweep,0
28,$4006_period,539
28,$4008_linear,55
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,13
28,$400A_period,321
28,$400B_length,8
28,$4008_linear,23
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,11
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,11
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,9
30,$4004_duty,1
30,$4004_const,1
30,$4004_vol,9
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,7
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,7
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,7
32,$4004_duty,1
32,$4004_const,1
32,$4004_vol,7
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,7
33,$4004_duty,1
33,$4004_const,1
33,$4004_vol,7
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,7
34,$4004_duty,1
34,$4004_const,1
34,$4004_vol,7
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,7
35,$4004_duty,1
35,$4004_const,1
35,$4004_vol,7
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,7
36,$4005_sweep,0
36,$4006_period,855
36,$4008_linear,23
36,$4004_duty,1
36,$4004_const,1
36,$4004_vol,13
36,$400A_period,269
36,$400B_length,8
36,$4008_linear,23
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,7
37,$4004_duty,1
37,$4004_const,1
37,$4004_vol,11
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,7
38,$4004_duty,1
38,$4004_const,1
38,$4004_vol,9
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,7
39,$4004_duty,1
39,$4004_const,1
39,$4004_vol,7
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,7
40,$4004_duty,1
40,$4004_const,1
40,$4004_vol,7
41,$4000_duty,1
41,$4000_const,1
41,$4000_vol,7
41,$4004_duty,1
41,$4004_const,1
41,$4004_vol,7
42,$4000_duty,1
42,$4000_const,1
42,$4000_vol,7
42,$4004_duty,1
42,$4004_const,1
42,$4004_vol,7
43,$4000_duty,1
43,$4000_const,1
43,$4000_vol,7
43,$4004_duty,1
43,$4004_const,1
43,$4004_vol,7
44,$4000_duty,1
44,$4000_const,1
44,$4000_vol,7
44,$4004_duty,1
44,$4004_const,1
44,$4004_vol,7
44,$400A_period,321
44,$400B_length,8
44,$4008_linear,23
45,$4000_duty,1
45,$4000_const,1
45,$4000_vol,7
45,$4004_duty,1
45,$4004_const,1
45,$4004_vol,7
46,$4000_duty,1
46,$4000_const,1
46,$4000_vol,7
46,$4004_duty,1
46,$4004_const,1
46,$4004_vol,7
47,$4000_duty,1
47,$4000_const,1
47,$4000_vol,7
47,$4004_duty,1
47,$4004_const,1
47,$4004_vol,7
48,$4000_duty,1
48,$4000_const,1
48,$4000_vol,7
48,$4004_duty,1
48,$4004_const,1
48,$4004_vol,7
49,$4000_duty,1
49,$4000_const,1
49,$4000_vol,7
49,$4004_duty,1
49,$4004_const,1
49,$4004_vol,7
50,$4000_duty,1
50,$4000_const,1
50,$4000_vol,7
50,$4004_duty,1
50,$4004_const,1
50,$4004_vol,7
51,$4000_duty,1
51,$4000_const,1
51,$4000_vol,7
51,$4004_duty,1
51,$4004_const,1
51,$4004_vol,7
52,$4000_duty,1
52,$4000_const,1
52,$4000_vol,7
52,$4005_sweep,0
52,$4006_period,855
52,$4008_linear,23
52,$4004_duty,1
52,$4004_const,1
52,$4004_vol,13
52,$400A_period,269
52,$400B_length,8
52,$4008_linear,23
53,$4000_duty,1
53,$4000_const,1
53,$4000_vol,7
53,$4004_duty,1
53,$4004_const,1
53,$4004_vol,11
54,$4000_duty,1
54,$4000_const,1
54,$4000_vol,7
54,$4004_duty,1
54,$4004_const,1
54,$4004_vol,9
55,$4000_duty,1
55,$4000_const,1
55,$4000_vol,7
55,$4004_duty,1
55,$4004_const,1
55,$4004_vol,7
56,$4000_duty,1
56,$4000_const,1
56,$4000_vol,7
56,$4004_duty,1
56,$4004_const,1
56,$4004_vol,7
57,$4000_duty,1
57,$4000_const,1
57,$4000_vol,7
57,$4004_duty,1
57,$4004_const,1
57,$4004_vol,7
58,$4000_duty,1
58,$4000_const,1
58,$4000_vol,7
58,$4004_duty,1
58,$4004_const,1
58,$4004_vol,7
59,$4000_duty,1
59,$4000_const,1
59,$4000_vol,7
59,$4004_duty,1
59,$4004_const,1
59,$4004_vol,7
60,$4000_duty,1
60,$4000_const,1
60,$4000_vol,7
60,$4005_sweep,0
60,$4006_period,855
60,$4008_linear,23
60,$4004_duty,1
60,$4004_const,1
60,$4004_vol,13
60,$400A_period,269
60,$400B_length,8
60,$4008_linear,23
61,$4000_duty,1
61,$4000_const,1
61,$4000_vol,7
61,$4004_duty,1
61,$4004_const,1
61,$4004_vol,11
62,$4000_duty,1
62,$4000_const,1
62,$4000_vol,7
62,$4004_duty,1
62,$4004_const,1
62,$4004_vol,9
63,$4000_duty,1
63,$4000_const,1
63,$4000_vol,7
63,$4004_duty,1
63,$4004_const,1
63,$4004_vol,7
64,$4000_duty,1
64,$4000_const,1
64,$4000_vol,7
64,$4004_duty,1
64,$4004_const,1
64,$4004_vol,7
65,$4000_duty,1
65,$4000_const,1
65,$4000_vol,7
65,$4004_duty,1
65,$4004_const,1
65,$4004_vol,7
66,$4000_duty,1
66,$4000_const,1
66,$4000_vol,7
66,$4004_duty,1
66,$4004_const,1
66,$4004_vol,7
67,$4000_duty,1
67,$4000_const,1
67,$4000_vol,7
67,$4004_duty,1
67,$4004_const,1
67,$4004_vol,7
68,$4000_duty,1
68,$4000_const,1
68,$4000_vol,7
68,$4004_duty,1
68,$4004_const,1
68,$4004_vol,7
68,$400A_period,321
68,$400B_length,8
68,$4008_linear,23
69,$4000_duty,1
69,$4000_const,1
69,$4000_vol,7
69,$4004_duty,1
69,$4004_const,1
69,$4004_vol,7
70,$4000_duty,1
70,$4000_const,1
70,$4000_vol,7
70,$4004_duty,1
70,$4004_const,1
70,$4004_vol,7
71,$4000_duty,1
71,$4000_const,1
71,$4000_vol,7
71,$4004_duty,1
71,$4004_const,1
71,$4004_vol,7
72,$4000_duty,1
72,$4000_const,1
72,$4000_vol,7
72,$4004_duty,1
72,$4004_const,1
72,$4004_vol,7
73,$4000_duty,1
73,$4000_const,1
73,$4000_vol,7
73,$4004_duty,1
73,$4004_const,1
73,$4004_vol,7
74,$4000_duty,1
74,$4000_const,1
74,$4000_vol,7
74,$4004_duty,1
74,$4004_const,1
74,$4004_vol,7
75,$4000_duty,1
75,$4000_const,1
75,$4000_vol,7
75,$4004_duty,1
75,$4004_const,1
75,$4004_vol,7
76,$4000_duty,1
76,$4000_const,1
76,$4000_vol,7
76,$4005_sweep,0
76,$4006_period,855
76,$4008_linear,23
76,$4004_duty,1
76,$4004_const,1
76,$4004_vol,13
76,$400A_period,269
76,$400B_length,8
76,$4008_linear,23
77,$4000_duty,1
77,$4000_const,1
77,$4000_vol,7
77,$4004_duty,1
77,$4004_const,1
77,$4004_vol,11
78,$4000_duty,1
78,$4000_const,1
78,$4000_vol,7
78,$4004_duty,1
78,$4004_const,1
78,$4004_vol,9
79,$4000_duty,1
79,$4000_const,1
79,$4000_vol,7
79,$4004_duty,1
79,$4004_const,1
79,$4004_vol,7
80,$4000_duty,1
80,$4000_const,1
80,$4000_vol,7
80,$4004_duty,1
80,$4004_const,1
80,$4004_vol,7
