frame,parameter,value
0,$4002_period,101
0,$400B_length,8
1,$4002_period,109
1,$400B_length,8
2,$4002_period,111
2,$400B_length,8
4,$4002_period,109
4,$400B_length,8
6,$4002_period,111
6,$400B_length,8
8,$4002_period,109
8,$400B_length,8
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
10,$4005_sweep,0
10,$4006_period,1017
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,11
10,$4002_period,111
10,$400B_length,8
11,$4006_period,1049
12,$4006_period,1081
12,$4006_period,679
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,11
12,$4002_period,109
12,$400B_length,8
13,$4006_period,647
14,$4006_period,615
14,$4006_period,605
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,11
14,$4002_period,111
14,$400B_length,8
15,$4006_period,573
16,$4006_period,541
16,$4006_period,1017
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,11
16,$4002_period,109
16,$400B_length,8
17,$4006_period,985
18,$4006_period,953
18,$4006_period,1077
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,11
18,$4002_period,101
18,$400B_length,8
19,$4006_period,1045
19,$4002_period,109
19,$400B_length,8
20,$4006_period,1013
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
20,$4002_period,101
20,$400B_length,8
21,$4002_period,109
21,$400B_length,8
22,$4002_period,101
22,$400B_length,8
23,$4002_period,109
23,$400B_length,8
24,$4002_period,101
24,$400B_length,8
25,$4002_period,109
25,$400B_length,8
26,$4002_period,111
26,$400B_length,8
28,$4002_period,109
28,$400B_length,8
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,0
30,$4005_sweep,0
30,$4006_period,1017
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,11
30,$4002_period,111
30,$400B_length,8
31,$4006_period,1049
32,$4006_period,1081
32,$4006_period,679
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,11
32,$4002_period,109
32,$400B_length,8
33,$4006_period,647
34,$4006_period,615
34,$4006_period,605
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,11
34,$4002_period,111
34,$400B_length,8
34,$4000_duty,0
34,$4000_const,1
34,$4000_vol,0
35,$4006_period,573
36,$4006_period,541
36,$4006_period,1017
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,11
37,$4006_period,985
38,$4006_period,953
38,$4006_period,1077
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,11
39,$4006_period,1045
40,$4006_period,1013
40,$4004_duty,0
40,$4004_const,1
40,$4004_vol,0
50,$4004_duty,0
50,$4004_const,1
50,$4004_vol,0
50,$4005_sweep,0
50,$4006_period,1017
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,11
51,$4006_period,1049
52,$4006_period,1081
52,$4006_period,679
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,11
53,$4006_period,647
54,$4006_period,615
54,$4006_period,605
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,11
55,$4006_period,573
56,$4006_period,541
56,$4006_period,1017
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,11
57,$4006_period,985
58,$4006_period,953
58,$4006_period,1077
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,11
59,$4006_period,1045
60,$4006_period,1013
60,$4004_duty,0
60,$4004_const,1
60,$4004_vol,0
70,$4004_duty,0
70,$4004_const,1
70,$4004_vol,0
70,$4005_sweep,0
70,$4006_period,1017
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,11
71,$4006_period,1049
72,$4006_period,1081
72,$4006_period,679
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,11
73,$4006_period,647
74,$4006_period,615
74,$4006_period,605
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,11
75,$4006_period,573
76,$4006_period,541
76,$4006_period,1017
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,11
77,$4006_period,985
78,$4006_period,953
78,$4006_period,1077
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,11
79,$4006_period,1045
80,$4006_period,1013
80,$4004_duty,0
80,$4004_const,1
80,$4004_vol,0
90,$4004_duty,0
90,$4004_const,1
90,$4004_vol,0
90,$4005_sweep,0
90,$4006_period,1017
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,11
91,$4006_period,1049
92,$4006_period,1081
92,$4006_period,679
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,11
93,$4006_period,647
94,$4006_period,615
94,$4006_period,605
94,$4004_duty,2
94,$4004_const,1
94,$4004_vol,11
95,$4006_period,573
96,$4006_period,541
96,$4006_period,1017
96,$4004_duty,2
96,$4004_const,1
96,$4004_vol,11
97,$4006_period,985
98,$4006_period,953
98,$4006_period,1077
98,$4004_duty,2
98,$4004_const,1
98,$4004_vol,11
99,$4006_period,1045
100,$4006_period,1013
100,$4004_duty,0
100,$4004_const,1
100,$4004_vol,0
110,$4004_duty,0
110,$4004_const,1
110,$4004_vol,0
110,$4005_sweep,0
110,$4006_period,1017
110,$4004_duty,2
110,$4004_const,1
110,$4004_vol,11
111,$4006_period,1049
112,$4006_period,1081
112,$4006_period,679
112,$4004_duty,2
112,$4004_const,1
112,$4004_vol,11
113,$4006_period,647
114,$4006_period,615
114,$4006_period,605
114,$4004_duty,2
114,$4004_const,1
114,$4004_vol,11
115,$4006_period,573
116,$4006_period,541
116,$4006_period,1017
116,$4004_duty,2
116,$4004_const,1
116,$4004_vol,11
117,$4006_period,985
118,$4006_period,953
118,$4006_period,1077
118,$4004_duty,2
118,$4004_const,1
118,$4004_vol,11
119,$4006_period,1045
120,$4006_period,1013
120,$4004_duty,0
120,$4004_const,1
120,$4004_vol,0
130,$4004_duty,0
130,$4004_const,1
130,$4004_vol,0
130,$4005_sweep,0
130,$4006_period,1017
130,$4004_duty,2
130,$4004_const,1
130,$4004_vol,11
131,$4006_period,1049
132,$4006_period,1081
132,$4006_period,679
132,$4004_duty,2
132,$4004_const,1
132,$4004_vol,11
133,$4006_period,647
134,$4006_period,615
134,$4006_period,605
134,$4004_duty,2
134,$4004_const,1
134,$4004_vol,11
135,$4006_period,573
136,$4006_period,541
136,$4006_period,1017
136,$4004_duty,2
136,$4004_const,1
136,$4004_vol,11
137,$4006_period,985
138,$4006_period,953
138,$4006_period,1077
138,$4004_duty,2
138,$4004_const,1
138,$4004_vol,11
139,$4006_period,1045
140,$4006_period,1013
140,$4004_duty,0
140,$4004_const,1
140,$4004_vol,0
150,$4004_duty,0
150,$4004_const,1
150,$4004_vol,0
150,$4005_sweep,0
150,$4006_period,1017
150,$4004_duty,2
150,$4004_const,1
150,$4004_vol,11
151,$4006_period,1049
152,$4006_period,1081
152,$4006_period,679
152,$4004_duty,2
152,$4004_const,1
152,$4004_vol,11
153,$4006_period,647
154,$4006_period,615
154,$4006_period,605
154,$4004_duty,2
154,$4004_const,1
154,$4004_vol,11
155,$4006_period,573
156,$4006_period,541
156,$4006_period,1017
156,$4004_duty,2
156,$4004_const,1
156,$4004_vol,11
157,$4006_period,985
158,$4006_period,953
