frame,parameter,value
131,$4000_duty,0
131,$4000_const,0
131,$4000_vol,15
131,$4001_sweep,8
131,$4002_period,1
131,$400B_length,240
131,$4004_duty,0
131,$4004_const,0
131,$4004_vol,15
131,$4005_sweep,8
131,$4006_period,1
131,$4008_linear,127
131,$400A_period,1
131,$400B_length,240
131,$400C_const,0
131,$400C_vol,15
131,$400E_period,0
131,$400E_mode,0
131,$4000_duty,0
131,$4000_const,0
131,$4000_vol,15
131,$4001_sweep,8
131,$4002_period,1
131,$400B_length,240
131,$4004_duty,0
131,$4004_const,0
131,$4004_vol,15
131,$4005_sweep,8
131,$4006_period,1
131,$4008_linear,127
131,$400A_period,1
131,$400B_length,240
131,$400C_const,0
131,$400C_vol,15
131,$400E_period,0
131,$400E_mode,0
