frame,parameter,value
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,3
0,$4005_sweep,127
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,3
0,$4001_sweep,127
0,$400C_const,1
0,$400C_vol,14
0,$400E_period,3
0,$400E_mode,0
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,2
1,$4005_sweep,127
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,2
1,$4001_sweep,127
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,1
2,$4005_sweep,127
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,1
2,$4001_sweep,127
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,1
3,$4005_sweep,127
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,1
3,$4001_sweep,127
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,1
4,$4005_sweep,127
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,1
4,$4001_sweep,127
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,1
5,$4005_sweep,127
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,1
5,$4001_sweep,127
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,1
6,$4005_sweep,127
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,1
6,$4001_sweep,127
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,1
7,$4005_sweep,127
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,1
7,$4001_sweep,127
8,$4006_period,375
8,$4004_duty,2
8,$4004_const,0
8,$4004_vol,2
8,$4005_sweep,127
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,11
8,$4005_sweep,127
8,$4002_period,761
8,$400B_length,9
8,$4001_sweep,127
8,$4000_duty,2
8,$4000_const,0
8,$4000_vol,2
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,11
8,$4001_sweep,127
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,10
9,$4005_sweep,127
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,10
9,$4001_sweep,127
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,9
10,$4005_sweep,127
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,9
10,$4001_sweep,127
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,8
11,$4005_sweep,127
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,8
11,$4001_sweep,127
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,7
12,$4005_sweep,127
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,7
12,$4001_sweep,127
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,6
13,$4005_sweep,127
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,6
13,$4001_sweep,127
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,5
14,$4005_sweep,127
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,5
14,$4001_sweep,127
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,4
15,$4005_sweep,127
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,4
15,$4001_sweep,127
16,$4006_period,447
16,$4004_duty,2
16,$4004_const,0
16,$4004_vol,2
16,$4005_sweep,127
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,11
16,$4005_sweep,127
16,$4002_period,905
16,$400B_length,9
16,$4001_sweep,127
16,$4000_duty,2
16,$4000_const,0
16,$4000_vol,2
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,11
16,$4001_sweep,127
16,$400C_const,1
16,$400C_vol,6
16,$400E_period,2
16,$400E_mode,0
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,10
17,$4005_sweep,127
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,10
17,$4001_sweep,127
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,9
18,$4005_sweep,127
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,9
18,$4001_sweep,127
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,8
19,$4005_sweep,127
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,8
19,$4001_sweep,127
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,7
20,$4005_sweep,127
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,7
20,$4001_sweep,127
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,6
21,$4005_sweep,127
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,6
21,$4001_sweep,127
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,5
22,$4005_sweep,127
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,5
22,$4001_sweep,127
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,4
23,$4005_sweep,127
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,4
23,$4001_sweep,127
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,3
24,$4005_sweep,127
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,3
24,$4001_sweep,127
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,2
25,$4005_sweep,127
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,2
25,$4001_sweep,127
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,1
26,$4005_sweep,127
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,1
26,$4001_sweep,127
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,1
27,$4005_sweep,127
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,1
27,$4001_sweep,127
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,1
28,$4005_sweep,127
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,1
28,$4001_sweep,127
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,1
29,$4005_sweep,127
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,1
29,$4001_sweep,127
30,$4004_duty,1
30,$4004_const,1
30,$4004_vol,1
30,$4005_sweep,127
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,1
30,$4001_sweep,127
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,1
31,$4005_sweep,127
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,1
31,$4001_sweep,127
32,$4006_period,565
32,$4004_duty,2
32,$4004_const,0
32,$4004_vol,2
32,$4005_sweep,127
32,$4004_duty,1
32,$4004_const,1
32,$4004_vol,11
32,$4005_sweep,127
32,$4002_period,1141
32,$400B_length,10
32,$4001_sweep,127
32,$4000_duty,2
32,$4000_const,0
32,$4000_vol,2
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,11
32,$4001_sweep,127
32,$4008_linear,31
32,$400A_period,569
32,$400B_length,9
32,$4008_linear,24
32,$400C_const,0
32,$400C_vol,0
32,$400E_period,9
32,$400E_mode,0
33,$4004_duty,1
33,$4004_const,1
33,$4004_vol,10
33,$4005_sweep,127
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,10
33,$4001_sweep,127
34,$4004_duty,1
34,$4004_const,1
34,$4004_vol,9
34,$4005_sweep,127
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,9
34,$4001_sweep,127
35,$4004_duty,1
35,$4004_const,1
35,$4004_vol,8
35,$4005_sweep,127
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,8
35,$4001_sweep,127
36,$4004_duty,1
36,$4004_const,1
36,$4004_vol,7
36,$4005_sweep,127
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,7
36,$4001_sweep,127
37,$4004_duty,1
37,$4004_const,1
37,$4004_vol,6
37,$4005_sweep,127
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,6
