frame,parameter,value
0,$4008_linear,0
1,$4008_linear,0
2,$4008_linear,0
3,$4008_linear,0
4,$4008_linear,0
5,$4008_linear,0
6,$4008_linear,0
7,$4008_linear,0
8,$4008_linear,0
9,$4008_linear,0
10,$4008_linear,0
11,$4008_linear,0
12,$4008_linear,0
13,$4008_linear,0
14,$4008_linear,0
15,$4008_linear,0
16,$4008_linear,0
17,$4008_linear,0
18,$4008_linear,0
19,$4008_linear,0
20,$4008_linear,0
21,$4008_linear,0
22,$4008_linear,0
23,$4008_linear,0
24,$4008_linear,0
25,$4008_linear,0
26,$4008_linear,0
27,$4008_linear,0
28,$4008_linear,0
29,$4008_linear,0
30,$4008_linear,0
31,$4008_linear,0
32,$4008_linear,0
33,$4008_linear,0
34,$4008_linear,0
35,$4008_linear,0
36,$4008_linear,0
37,$4008_linear,0
38,$4008_linear,0
39,$4008_linear,0
40,$4008_linear,0
41,$4008_linear,0
42,$4008_linear,0
43,$4008_linear,0
44,$4008_linear,0
45,$4008_linear,0
46,$4008_linear,0
47,$4008_linear,0
48,$4008_linear,0
49,$4008_linear,0
50,$4008_linear,0
51,$4008_linear,0
52,$4008_linear,0
53,$4008_linear,0
54,$4008_linear,0
55,$4008_linear,0
56,$4008_linear,0
57,$4008_linear,0
58,$4008_linear,0
59,$4008_linear,0
60,$4008_linear,0
61,$4008_linear,0
62,$4008_linear,0
63,$4008_linear,0
64,$4008_linear,0
65,$4008_linear,0
66,$4008_linear,0
67,$4008_linear,0
68,$4008_linear,0
69,$4008_linear,0
70,$4008_linear,0
71,$4008_linear,0
72,$4008_linear,0
73,$4008_linear,0
74,$4008_linear,0
75,$4008_linear,0
76,$4008_linear,0
77,$4008_linear,0
78,$4008_linear,0
79,$4008_linear,0
80,$4008_linear,0
81,$4008_linear,0
82,$4008_linear,0
83,$4008_linear,0
84,$4008_linear,0
85,$4008_linear,0
86,$4008_linear,0
87,$4008_linear,0
88,$4008_linear,0
89,$4008_linear,0
90,$4008_linear,0
91,$4008_linear,0
92,$4008_linear,0
93,$4008_linear,0
