frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,2
0,$4001_sweep,8
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,5
0,$4005_sweep,8
0,$4008_linear,0
0,$400C_const,1
0,$400C_vol,0
0,$400E_period,2
0,$400E_mode,0
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,2
1,$4001_sweep,8
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,4
1,$4005_sweep,8
1,$4008_linear,0
1,$400C_const,1
1,$400C_vol,0
1,$400E_period,2
1,$400E_mode,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,2
2,$4001_sweep,8
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,4
2,$4005_sweep,8
2,$4008_linear,0
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,2
2,$400E_mode,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,2
3,$4001_sweep,8
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,3
3,$4005_sweep,8
3,$4008_linear,0
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,2
3,$400E_mode,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,1
4,$4001_sweep,8
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,3
4,$4005_sweep,8
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,2
4,$400E_mode,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,1
5,$4001_sweep,8
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,2
5,$4005_sweep,8
5,$4008_linear,0
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,2
5,$400E_mode,0
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,1
6,$4001_sweep,8
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,2
6,$4005_sweep,8
6,$4008_linear,0
6,$400C_const,1
6,$400C_vol,0
6,$400E_period,2
6,$400E_mode,0
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,1
7,$4001_sweep,8
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,7
7,$4005_sweep,8
7,$4006_period,427
7,$4008_linear,14
7,$400A_period,605
7,$400B_length,25
7,$400C_const,1
7,$400C_vol,8
7,$400E_period,2
7,$400E_mode,0
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,1
8,$4001_sweep,8
8,$4004_duty,0
