frame,parameter,value
192,$4000_duty,0
192,$4000_const,1
192,$4000_vol,0
192,$4004_duty,0
192,$4004_const,1
192,$4004_vol,0
192,$400C_const,1
192,$400C_vol,0
192,$4001_sweep,127
192,$4005_sweep,127
263,$4001_sweep,127
263,$4005_sweep,127
264,$4000_duty,1
264,$4000_const,1
264,$4000_vol,7
264,$4002_period,1025
264,$400B_length,10
264,$4004_duty,1
264,$4004_const,1
264,$4004_vol,7
264,$4006_period,513
264,$4008_linear,16
264,$400A_period,513
264,$400B_length,9
264,$4010_rate,12
264,$4011_dac,0
264,$4012_addr,139
264,$4013_len,4
265,$4000_duty,0
265,$4000_const,1
265,$4000_vol,6
265,$4004_duty,0
265,$4004_const,1
265,$4004_vol,6
266,$4000_duty,0
266,$4000_const,1
266,$4000_vol,5
266,$4004_duty,0
266,$4004_const,1
266,$4004_vol,5
267,$4000_duty,0
267,$4000_const,1
267,$4000_vol,4
267,$4004_duty,0
267,$4004_const,1
267,$4004_vol,4
268,$4000_duty,0
268,$4000_const,1
268,$4000_vol,3
268,$4004_duty,0
268,$4004_const,1
268,$4004_vol,3
268,$4010_rate,12
268,$4011_dac,0
268,$4012_addr,139
268,$4013_len,4
269,$400C_const,1
269,$400C_vol,6
269,$400E_period,2
269,$400E_mode,0
270,$400C_const,1
270,$400C_vol,4
270,$400E_period,1
270,$400E_mode,0
272,$4010_rate,12
272,$4011_dac,0
272,$4012_addr,139
272,$4013_len,4
273,$400C_const,1
273,$400C_vol,6
273,$400E_period,2
273,$400E_mode,0
274,$400C_const,1
274,$400C_vol,4
274,$400E_period,1
274,$400E_mode,0
276,$4010_rate,13
276,$4011_dac,0
276,$4012_addr,133
276,$4013_len,24
277,$400C_const,1
277,$400C_vol,6
277,$400E_period,2
277,$400E_mode,0
278,$400C_const,1
278,$400C_vol,4
278,$400E_period,1
278,$400E_mode,0
280,$4010_rate,13
280,$4011_dac,0
280,$4012_addr,133
280,$4013_len,24
281,$400C_const,1
281,$400C_vol,6
281,$400E_period,2
281,$400E_mode,0
282,$400C_const,1
282,$400C_vol,4
282,$400E_period,1
282,$400E_mode,0
284,$4010_rate,13
284,$4011_dac,0
284,$4012_addr,133
284,$4013_len,24
285,$400C_const,1
285,$400C_vol,6
285,$400E_period,2
285,$400E_mode,0
286,$400C_const,1
286,$400C_vol,4
286,$400E_period,1
286,$400E_mode,0
288,$4010_rate,12
288,$4011_dac,0
288,$4012_addr,139
288,$4013_len,4
291,$400C_const,1
291,$400C_vol,3
291,$400E_period,1
291,$400E_mode,0
292,$4010_rate,12
292,$4011_dac,0
292,$4012_addr,139
292,$4013_len,4
293,$400C_const,1
293,$400C_vol,6
293,$400E_period,2
293,$400E_mode,0
294,$400C_const,1
294,$400C_vol,4
294,$400E_period,1
294,$400E_mode,0
296,$4010_rate,12
296,$4011_dac,0
296,$4012_addr,139
296,$4013_len,4
297,$400C_const,1
297,$400C_vol,6
297,$400E_period,2
297,$400E_mode,0
298,$400C_const,1
298,$400C_vol,4
298,$400E_period,1
298,$400E_mode,0
300,$4010_rate,13
300,$4011_dac,0
300,$4012_addr,133
300,$4013_len,24
301,$400C_const,1
301,$400C_vol,6
301,$400E_period,2
301,$400E_mode,0
302,$400C_const,1
302,$400C_vol,4
302,$400E_period,1
302,$400E_mode,0
304,$4010_rate,13
304,$4011_dac,0
304,$4012_addr,133
304,$4013_len,24
305,$400C_const,1
305,$400C_vol,6
305,$400E_period,2
305,$400E_mode,0
306,$400C_const,1
306,$400C_vol,4
306,$400E_period,1
306,$400E_mode,0
308,$4010_rate,13
308,$4011_dac,0
308,$4012_addr,133
308,$4013_len,24
309,$400C_const,1
309,$400C_vol,6
309,$400E_period,2
309,$400E_mode,0
310,$4006_period,1525
310,$400A_period,1525
310,$400B_length,10
310,$400C_const,1
310,$400C_vol,4
310,$400E_period,1
310,$400E_mode,0
312,$4010_rate,12
312,$4011_dac,0
312,$4012_addr,139
312,$4013_len,4
315,$400C_const,1
315,$400C_vol,3
315,$400E_period,1
315,$400E_mode,0
316,$4002_period,2045
316,$400B_length,11
316,$4010_rate,12
316,$4011_dac,0
316,$4012_addr,139
316,$4013_len,4
317,$400C_const,1
317,$400C_vol,6
