frame,parameter,value
192,$4008_linear,0
192,$4000_duty,0
192,$4000_const,1
192,$4000_vol,0
192,$4004_duty,0
192,$4004_const,1
192,$4004_vol,0
192,$400C_const,1
192,$400C_vol,0
192,$4001_sweep,127
192,$4005_sweep,127
695,$400C_const,1
695,$400C_vol,2
695,$400E_period,9
695,$400E_mode,0
696,$4001_sweep,130
696,$4000_duty,2
696,$4000_const,1
696,$4000_vol,14
696,$4002_period,513
696,$400B_length,9
696,$400C_const,1
696,$400C_vol,11
696,$400E_period,11
696,$400E_mode,0
697,$400C_const,1
697,$400C_vol,10
697,$400E_period,12
697,$400E_mode,0
698,$400C_const,1
698,$400C_vol,9
698,$400E_period,13
698,$400E_mode,0
699,$400C_const,1
699,$400C_vol,7
699,$400E_period,14
699,$400E_mode,0
700,$400C_const,1
700,$400C_vol,5
700,$400E_period,15
700,$400E_mode,0
701,$4000_duty,2
701,$4000_const,1
701,$4000_vol,12
701,$4002_period,67
701,$400B_length,8
701,$400C_const,1
701,$400C_vol,4
701,$400E_period,12
701,$400E_mode,0
702,$400C_const,1
702,$400C_vol,4
702,$400E_period,11
702,$400E_mode,0
703,$400C_const,1
703,$400C_vol,3
703,$400E_period,10
703,$400E_mode,0
704,$4001_sweep,129
704,$4000_duty,2
704,$4000_const,1
704,$4000_vol,10
704,$4002_period,301
704,$400B_length,8
704,$400C_const,1
704,$400C_vol,2
704,$400E_period,10
704,$400E_mode,0
705,$400C_const,1
705,$400C_vol,1
705,$400E_period,9
705,$400E_mode,0
706,$400C_const,1
706,$400C_vol,1
706,$400E_period,9
706,$400E_mode,0
707,$400C_const,1
707,$400C_vol,4
707,$400E_period,11
707,$400E_mode,0
708,$4000_duty,2
708,$4000_const,1
708,$4000_vol,7
708,$4002_period,209
708,$400B_length,8
708,$400C_const,1
708,$400C_vol,3
708,$400E_period,10
708,$400E_mode,0
709,$400C_const,1
709,$400C_vol,2
709,$400E_period,10
709,$400E_mode,0
710,$400C_const,1
710,$400C_vol,1
710,$400E_period,9
710,$400E_mode,0
711,$400C_const,1
711,$400C_vol,1
711,$400E_period,9
711,$400E_mode,0
712,$4000_duty,2
712,$4000_const,1
712,$4000_vol,5
712,$4002_period,209
712,$400B_length,8
712,$400C_const,1
712,$400C_vol,2
712,$400E_period,11
712,$400E_mode,0
713,$400C_const,1
713,$400C_vol,2
713,$400E_period,10
713,$400E_mode,0
714,$400C_const,1
714,$400C_vol,1
714,$400E_period,10
714,$400E_mode,0
715,$400C_const,1
715,$400C_vol,1
715,$400E_period,9
715,$400E_mode,0
716,$4000_duty,2
716,$4000_const,1
716,$4000_vol,3
716,$4002_period,209
716,$400B_length,8
716,$400C_const,1
716,$400C_vol,1
716,$400E_period,9
716,$400E_mode,0
717,$400C_const,1
717,$400C_vol,0
717,$400E_period,0
717,$400E_mode,0
720,$4000_duty,2
720,$4000_const,1
720,$4000_vol,1
720,$4002_period,209
720,$400B_length,8
724,$4000_duty,0
724,$4000_const,1
724,$4000_vol,0
724,$4001_sweep,127
724,$400C_const,1
724,$400C_vol,0
754,$4001_sweep,130
754,$4000_duty,0
754,$4000_const,1
754,$4000_vol,8
754,$4002_period,1233
754,$400B_length,10
754,$400C_const,1
754,$400C_vol,15
754,$400E_period,11
754,$400E_mode,0
755,$400C_const,1
755,$400C_vol,14
755,$400E_period,14
755,$400E_mode,0
756,$400C_const,1
756,$400C_vol,13
756,$400E_period,14
756,$400E_mode,0
757,$4000_duty,0
757,$4000_const,1
757,$4000_vol,6
757,$4002_period,1555
757,$400B_length,11
757,$400C_const,1
757,$400C_vol,11
757,$400E_period,13
757,$400E_mode,0
