frame,parameter,value
563,$4000_duty,0
563,$4000_const,1
563,$4000_vol,0
563,$4004_duty,0
563,$4004_const,1
563,$4004_vol,0
563,$400C_const,1
563,$400C_vol,0
563,$4001_sweep,127
563,$4005_sweep,127
563,$4001_sweep,127
563,$4005_sweep,127
564,$4000_duty,0
564,$4000_const,1
564,$4000_vol,6
564,$4002_period,1025
564,$400B_length,10
564,$4005_sweep,127
564,$4004_duty,0
564,$4004_const,1
564,$4004_vol,0
564,$4008_linear,16
564,$400A_period,1025
564,$400B_length,10
564,$4010_rate,15
564,$4011_dac,0
564,$4012_addr,11
564,$4013_len,8
565,$4000_duty,0
565,$4000_const,1
565,$4000_vol,5
566,$4000_duty,0
566,$4000_const,1
566,$4000_vol,4
567,$4000_duty,0
567,$4000_const,1
567,$4000_vol,3
570,$4000_duty,0
570,$4000_const,1
570,$4000_vol,2
570,$4008_linear,0
572,$4000_duty,0
572,$4000_const,1
572,$4000_vol,6
572,$4008_linear,16
572,$400A_period,1359
572,$400B_length,10
573,$4000_duty,0
573,$4000_const,1
573,$4000_vol,5
574,$4000_duty,0
574,$4000_const,1
574,$4000_vol,4
575,$4000_duty,0
575,$4000_const,1
575,$4000_vol,3
578,$4000_duty,0
578,$4000_const,1
578,$4000_vol,2
578,$4008_linear,0
580,$4000_duty,0
580,$4000_const,1
580,$4000_vol,6
580,$4002_period,847
580,$400B_length,9
580,$4004_duty,0
580,$4004_const,1
580,$4004_vol,3
580,$4006_period,1025
580,$4008_linear,16
580,$400A_period,847
580,$400B_length,9
580,$400C_const,1
580,$400C_vol,8
580,$400E_period,2
580,$400E_mode,0
581,$4000_duty,0
581,$4000_const,1
581,$4000_vol,5
581,$4004_duty,0
581,$4004_const,1
581,$4004_vol,2
581,$400C_const,1
581,$400C_vol,1
581,$400E_period,1
581,$400E_mode,0
582,$4000_duty,0
582,$4000_const,1
582,$4000_vol,4
582,$400C_const,1
582,$400C_vol,0
583,$4000_duty,0
583,$4000_const,1
583,$4000_vol,3
586,$4000_duty,0
586,$4000_const,1
586,$4000_vol,2
586,$4008_linear,0
588,$4000_duty,0
588,$4000_const,1
588,$4000_vol,6
588,$4002_period,1191
588,$400B_length,10
588,$4004_duty,0
588,$4004_const,1
588,$4004_vol,3
588,$4008_linear,16
588,$400A_period,1191
588,$400B_length,10
589,$4000_duty,0
589,$4000_const,1
589,$4000_vol,5
589,$4004_duty,0
589,$4004_const,1
589,$4004_vol,2
590,$4000_duty,0
590,$4000_const,1
590,$4000_vol,4
591,$4000_duty,0
591,$4000_const,1
591,$4000_vol,3
594,$4000_duty,0
594,$4000_const,1
594,$4000_vol,2
594,$4008_linear,0
596,$4000_duty,0
596,$4000_const,1
596,$4000_vol,6
596,$4004_duty,0
596,$4004_const,1
596,$4004_vol,3
596,$4006_period,847
596,$4008_linear,16
596,$400A_period,1359
596,$400B_length,10
596,$4010_rate,15
596,$4011_dac,0
596,$4012_addr,11
596,$4013_len,8
597,$4000_duty,0
597,$4000_const,1
597,$4000_vol,5
597,$4004_duty,0
597,$4004_const,1
597,$4004_vol,2
598,$4000_duty,0
598,$4000_const,1
598,$4000_vol,4
599,$4000_duty,0
599,$4000_const,1
599,$4000_vol,3
