frame,parameter,value
176,$4000_duty,0
176,$4000_const,0
176,$4000_vol,0
176,$4004_duty,0
176,$4004_const,0
176,$4004_vol,0
176,$4008_linear,0
176,$400C_const,0
176,$400C_vol,0
236,$400E_period,11
236,$400E_mode,0
236,$400C_const,1
236,$400C_vol,15
238,$400E_period,0
238,$400E_mode,0
238,$400C_const,1
238,$400C_vol,0
241,$400E_period,10
241,$400E_mode,0
241,$400C_const,1
241,$400C_vol,15
243,$400E_period,11
243,$400E_mode,0
244,$400E_period,0
244,$400E_mode,0
244,$400C_const,1
244,$400C_vol,0
249,$400E_period,11
249,$400E_mode,0
249,$400C_const,1
249,$400C_vol,15
251,$400E_period,0
251,$400E_mode,0
251,$400C_const,1
251,$400C_vol,0
254,$400E_period,10
254,$400E_mode,0
254,$400C_const,1
254,$400C_vol,15
256,$400E_period,11
256,$400E_mode,0
257,$400E_period,0
257,$400E_mode,0
257,$400C_const,1
257,$400C_vol,0
262,$400E_period,11
262,$400E_mode,0
262,$400C_const,1
262,$400C_vol,15
264,$400E_period,0
264,$400E_mode,0
264,$400C_const,1
264,$400C_vol,0
267,$400E_period,10
267,$400E_mode,0
267,$400C_const,1
267,$400C_vol,15
269,$400E_period,11
269,$400E_mode,0
270,$400E_period,0
270,$400E_mode,0
270,$400C_const,1
270,$400C_vol,0
275,$400E_period,11
275,$400E_mode,0
275,$400C_const,1
275,$400C_vol,15
277,$400E_period,0
277,$400E_mode,0
277,$400C_const,1
277,$400C_vol,0
280,$400E_period,10
280,$400E_mode,0
280,$400C_const,1
280,$400C_vol,15
282,$400E_period,11
282,$400E_mode,0
283,$400E_period,0
283,$400E_mode,0
283,$400C_const,1
283,$400C_vol,0
288,$400E_period,11
288,$400E_mode,0
288,$400C_const,1
288,$400C_vol,15
290,$400E_period,0
290,$400E_mode,0
290,$400C_const,1
290,$400C_vol,0
293,$400E_period,10
293,$400E_mode,0
293,$400C_const,1
293,$400C_vol,15
295,$400E_period,11
295,$400E_mode,0
296,$400E_period,0
296,$400E_mode,0
296,$400C_const,1
296,$400C_vol,0
301,$400E_period,11
301,$400E_mode,0
301,$400C_const,1
301,$400C_vol,15
303,$400E_period,0
303,$400E_mode,0
303,$400C_const,1
303,$400C_vol,0
306,$400E_period,10
306,$400E_mode,0
306,$400C_const,1
306,$400C_vol,15
308,$400E_period,11
308,$400E_mode,0
309,$400E_period,0
309,$400E_mode,0
309,$400C_const,1
309,$400C_vol,0
344,$4000_duty,0
344,$4000_const,0
344,$4000_vol,0
344,$4004_duty,0
344,$4004_const,0
344,$4004_vol,0
344,$4008_linear,0
344,$400C_const,0
344,$400C_vol,0
344,$4000_duty,0
344,$4000_const,0
344,$4000_vol,0
344,$4006_period,1439
344,$4005_sweep,0
344,$4005_sweep,0
344,$4004_duty,0
344,$4004_const,1
344,$4004_vol,12
344,$400A_period,1439
344,$400B_length,2
344,$4008_linear,15
345,$4000_duty,0
345,$4000_const,0
345,$4000_vol,0
345,$4008_linear,15
346,$4000_duty,0
346,$4000_const,0
346,$4000_vol,0
346,$4004_duty,0
346,$4004_const,1
346,$4004_vol,11
346,$4008_linear,15
347,$4000_duty,0
347,$4000_const,0
347,$4000_vol,0
347,$4008_linear,15
348,$4000_duty,0
348,$4000_const,0
348,$4000_vol,0
348,$4004_duty,0
348,$4004_const,1
348,$4004_vol,10
348,$4008_linear,15
349,$4000_duty,0
349,$4000_const,0
349,$4000_vol,0
349,$4008_linear,15
350,$4000_duty,0
350,$4000_const,0
350,$4000_vol,0
350,$4004_duty,0
350,$4004_const,1
350,$4004_vol,9
350,$4008_linear,15
351,$4000_duty,0
351,$4000_const,0
351,$4000_vol,0
351,$4008_linear,15
352,$4000_duty,0
352,$4000_const,0
352,$4000_vol,0
352,$4004_duty,0
352,$4004_const,1
352,$4004_vol,8
352,$4008_linear,15
353,$4000_duty,0
353,$4000_const,0
353,$4000_vol,0
353,$4008_linear,15
354,$4000_duty,0
354,$4000_const,0
354,$4000_vol,0
354,$4004_duty,0
354,$4004_const,1
354,$4004_vol,7
354,$4008_linear,15
355,$4000_duty,0
355,$4000_const,0
355,$4000_vol,0
355,$4008_linear,15
356,$4000_duty,0
356,$4000_const,0
356,$4000_vol,0
356,$4004_duty,0
356,$4004_const,1
356,$4004_vol,8
356,$4008_linear,15
357,$4000_duty,0
357,$4000_const,0
357,$4000_vol,0
357,$4008_linear,15
358,$4000_duty,0
358,$4000_const,0
358,$4000_vol,0
358,$4004_duty,0
358,$4004_const,1
358,$4004_vol,7
358,$4008_linear,15
359,$4000_duty,0
359,$4000_const,0
359,$4000_vol,0
359,$4008_linear,15
360,$4002_period,959
360,$400B_length,1
360,$4001_sweep,0
360,$4001_sweep,0
360,$4000_duty,0
360,$4000_const,1
360,$4000_vol,12
360,$4004_duty,0
360,$4004_const,1
360,$4004_vol,6
360,$4008_linear,15
361,$4000_duty,0
361,$4000_const,1
361,$4000_vol,12
361,$4008_linear,15
362,$4000_duty,0
362,$4000_const,1
362,$4000_vol,11
362,$4004_duty,0
362,$4004_const,1
362,$4004_vol,5
362,$4008_linear,15
363,$4000_duty,0
363,$4000_const,1
363,$4000_vol,11
363,$4008_linear,15
364,$4000_duty,0
364,$4000_const,1
364,$4000_vol,10
364,$4004_duty,0
364,$4004_const,1
364,$4004_vol,4
364,$4008_linear,15
365,$4000_duty,0
365,$4000_const,1
365,$4000_vol,10
365,$4008_linear,15
366,$4000_duty,0
366,$4000_const,1
366,$4000_vol,9
366,$4008_linear,15
367,$4000_duty,0
367,$4000_const,1
367,$4000_vol,9
367,$4004_duty,0
367,$4004_const,1
367,$4004_vol,5
367,$4008_linear,15
368,$4000_duty,0
368,$4000_const,1
368,$4000_vol,8
368,$4008_linear,15
369,$4000_duty,0
369,$4000_const,1
369,$4000_vol,8
369,$4004_duty,0
369,$4004_const,1
369,$4004_vol,4
369,$4008_linear,15
370,$4000_duty,0
370,$4000_const,1
370,$4000_vol,7
370,$4008_linear,15
371,$4000_duty,0
371,$4000_const,1
371,$4000_vol,7
371,$4004_duty,0
371,$4004_const,1
371,$4004_vol,3
371,$4008_linear,15
372,$4000_duty,0
372,$4000_const,1
372,$4000_vol,8
372,$4008_linear,15
373,$4000_duty,0
373,$4000_const,1
373,$4000_vol,8
373,$4004_duty,0
373,$4004_const,1
373,$4004_vol,2
373,$4008_linear,15
374,$4000_duty,0
374,$4000_const,1
374,$4000_vol,7
374,$4008_linear,15
375,$4000_duty,0
375,$4000_const,1
375,$4000_vol,7
375,$4004_duty,0
375,$4004_const,1
375,$4004_vol,1
375,$4008_linear,15
376,$4000_duty,0
376,$4000_const,1
376,$4000_vol,6
376,$4006_period,719
376,$4005_sweep,0
376,$4005_sweep,0
376,$4004_duty,0
376,$4004_const,1
376,$4004_vol,12
376,$4008_linear,15
377,$4000_duty,0
377,$4000_const,1
377,$4000_vol,6
377,$4008_linear,15
378,$4000_duty,0
378,$4000_const,1
378,$4000_vol,5
378,$4004_duty,0
378,$4004_const,1
378,$4004_vol,11
378,$4008_linear,15
379,$4000_duty,0
379,$4000_const,1
379,$4000_vol,5
379,$4008_linear,15
380,$4000_duty,0
380,$4000_const,1
380,$4000_vol,4
380,$4004_duty,0
380,$4004_const,1
380,$4004_vol,10
380,$4008_linear,15
381,$4000_duty,0
381,$4000_const,1
381,$4000_vol,4
381,$4008_linear,15
382,$4000_duty,0
382,$4000_const,1
382,$4000_vol,4
382,$4004_duty,0
382,$4004_const,1
382,$4004_vol,9
382,$4008_linear,15
383,$4000_duty,0
383,$4000_const,1
383,$4000_vol,5
383,$4008_linear,15
384,$4000_duty,0
