frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,0
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,0
0,$4008_linear,0
0,$400C_const,1
0,$400C_vol,8
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,0
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,0
1,$4008_linear,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,0
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,0
2,$4008_linear,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,0
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,0
3,$4008_linear,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,0
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,0
4,$4008_linear,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,0
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,0
5,$4008_linear,0
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,0
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,0
6,$4008_linear,0
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,0
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,0
7,$4008_linear,0
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,0
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,0
8,$4008_linear,0
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,0
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,0
9,$4008_linear,0
9,$400C_const,1
9,$400C_vol,9
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,0
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,0
10,$4008_linear,0
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,0
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,0
11,$4008_linear,0
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,0
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,0
12,$4008_linear,0
13,$4000_duty,3
13,$4000_const,1
13,$4000_vol,0
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,0
13,$4008_linear,0
14,$4000_duty,3
14,$4000_const,1
14,$4000_vol,0
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,0
14,$4008_linear,0
15,$4000_duty,3
15,$4000_const,1
15,$4000_vol,0
15,$4004_duty,3
15,$4004_const,1
