frame,parameter,value
3,$400C_const,1
3,$400C_vol,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
3,$4001_sweep,48
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
3,$4005_sweep,48
3,$4008_linear,0
4,$4000_duty,3
4,$4000_const,0
4,$4000_vol,12
4,$4000_duty,3
4,$4000_const,0
4,$4000_vol,12
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$4004_duty,3
4,$4004_const,0
4,$4004_vol,12
4,$4004_duty,3
4,$4004_const,0
4,$4004_vol,12
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
4,$4008_linear,13
4,$4008_linear,13
4,$400A_period,513
4,$400B_length,9
4,$400C_const,1
4,$400C_vol,0
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,5
4,$400E_mode,0
18,$4008_linear,13
18,$400A_period,539
18,$400B_length,9
18,$400C_const,1
18,$400C_vol,0
18,$400E_period,5
18,$400E_mode,0
32,$4000_duty,3
32,$4000_const,0
32,$4000_vol,12
32,$4002_period,513
32,$400B_length,9
32,$4004_duty,3
32,$4004_const,0
32,$4004_vol,12
32,$4006_period,513
32,$4008_linear,13
32,$400A_period,539
32,$400B_length,9
32,$400C_const,1
32,$400C_vol,0
32,$400E_period,5
32,$400E_mode,0
46,$4008_linear,13
46,$400A_period,539
46,$400B_length,9
46,$400C_const,1
46,$400C_vol,15
46,$400C_const,1
46,$400C_vol,12
46,$400E_period,5
46,$400E_mode,0
47,$400C_const,1
47,$400C_vol,11
47,$400E_period,5
47,$400E_mode,0
48,$400C_const,1
48,$400C_vol,10
48,$400E_period,5
48,$400E_mode,0
49,$400C_const,1
49,$400C_vol,9
49,$400E_period,5
49,$400E_mode,0
50,$400C_const,1
50,$400C_vol,8
50,$400E_period,5
50,$400E_mode,0
51,$400C_const,1
51,$400C_vol,7
51,$400E_period,5
51,$400E_mode,0
52,$400C_const,1
52,$400C_vol,6
52,$400E_period,5
52,$400E_mode,0
53,$400C_const,1
53,$400C_vol,5
53,$400E_period,5
53,$400E_mode,0
54,$400C_const,1
54,$400C_vol,5
54,$400E_period,5
54,$400E_mode,0
55,$400C_const,1
55,$400C_vol,4
55,$400E_period,5
55,$400E_mode,0
56,$400C_const,1
56,$400C_vol,3
56,$400E_period,5
56,$400E_mode,0
57,$400C_const,1
57,$400C_vol,0
57,$400E_period,5
57,$400E_mode,0
58,$400C_const,1
58,$400C_vol,0
58,$400E_period,5
58,$400E_mode,0
59,$400C_const,1
59,$400C_vol,0
59,$400E_period,5
59,$400E_mode,0
60,$4000_duty,3
60,$4000_const,0
60,$4000_vol,12
60,$4002_period,27
60,$400B_length,8
60,$4004_duty,3
60,$4004_const,0
60,$4004_vol,12
60,$4006_period,855
60,$4008_linear,13
60,$400A_period,539
60,$400B_length,9
60,$400C_const,1
60,$400C_vol,15
60,$400E_period,5
60,$400E_mode,0
61,$400C_const,1
61,$400C_vol,14
61,$400E_period,5
61,$400E_mode,0
62,$400C_const,1
62,$400C_vol,13
62,$400E_period,5
62,$400E_mode,0
63,$400C_const,1
63,$400C_vol,12
63,$400E_period,5
63,$400E_mode,0
64,$400C_const,1
64,$400C_vol,11
64,$400E_period,5
64,$400E_mode,0
65,$400C_const,1
65,$400C_vol,10
65,$400E_period,5
65,$400E_mode,0
66,$400C_const,1
66,$400C_vol,9
66,$400E_period,5
66,$400E_mode,0
67,$400C_const,1
67,$400C_vol,8
67,$400E_period,5
67,$400E_mode,0
68,$400C_const,1
68,$400C_vol,7
68,$400E_period,5
68,$400E_mode,0
69,$400C_const,1
69,$400C_vol,6
69,$400E_period,5
69,$400E_mode,0
70,$400C_const,1
70,$400C_vol,5
70,$400E_period,5
70,$400E_mode,0
71,$400C_const,1
71,$400C_vol,4
71,$400E_period,5
71,$400E_mode,0
72,$400C_const,1
72,$400C_vol,3
72,$400E_period,5
72,$400E_mode,0
73,$400C_const,1
73,$400C_vol,0
73,$400E_period,5
73,$400E_mode,0
74,$4008_linear,13
74,$400A_period,539
74,$400B_length,9
74,$400C_const,1
74,$400C_vol,12
74,$400E_period,5
74,$400E_mode,0
75,$400C_const,1
75,$400C_vol,11
75,$400E_period,5
75,$400E_mode,0
76,$400C_const,1
76,$400C_vol,10
76,$400E_period,5
76,$400E_mode,0
77,$400C_const,1
77,$400C_vol,9
77,$400E_period,5
77,$400E_mode,0
78,$400C_const,1
78,$400C_vol,8
78,$400E_period,5
78,$400E_mode,0
79,$400C_const,1
79,$400C_vol,7
79,$400E_period,5
79,$400E_mode,0
80,$400C_const,1
80,$400C_vol,6
80,$400E_period,5
80,$400E_mode,0
81,$4000_duty,3
81,$4000_const,0
81,$4000_vol,12
81,$4002_period,403
81,$400B_length,8
81,$4004_duty,3
81,$4004_const,0
81,$4004_vol,12
81,$4006_period,641
81,$400C_const,1
81,$400C_vol,5
81,$400E_period,5
81,$400E_mode,0
82,$400C_const,1
82,$400C_vol,4
82,$400E_period,5
82,$400E_mode,0
83,$400C_const,1
83,$400C_vol,3
83,$400E_period,5
83,$400E_mode,0
84,$400C_const,1
84,$400C_vol,0
84,$400E_period,5
84,$400E_mode,0
85,$400C_const,1
85,$400C_vol,0
85,$400E_period,5
85,$400E_mode,0
86,$400C_const,1
86,$400C_vol,0
