frame,parameter,value
0,$400C_const,1
0,$400C_vol,0
1,$400C_const,1
1,$400C_vol,0
2,$400C_const,1
2,$400C_vol,0
3,$400C_const,1
3,$400C_vol,0
4,$400C_const,1
4,$400C_vol,0
5,$400C_const,1
5,$400C_vol,0
6,$4000_duty,2
6,$4000_const,0
6,$4000_vol,7
6,$4001_sweep,8
6,$4002_period,285
6,$400B_length,8
6,$4008_linear,127
6,$400A_period,213
6,$400B_length,248
6,$400C_const,1
6,$400C_vol,0
7,$400C_const,1
7,$400C_vol,0
8,$400C_const,1
8,$400C_vol,0
9,$400C_const,1
9,$400C_vol,0
10,$400C_const,1
10,$400C_vol,0
11,$400C_const,1
11,$400C_vol,0
12,$400C_const,1
12,$400C_vol,0
13,$400C_const,1
13,$400C_vol,0
14,$4000_duty,2
14,$4000_const,0
14,$4000_vol,7
14,$4001_sweep,8
14,$4002_period,285
14,$400B_length,8
14,$4004_duty,2
14,$4004_const,0
14,$4004_vol,7
14,$4005_sweep,8
14,$4006_period,161
14,$4008_linear,127
14,$400A_period,427
14,$400B_length,248
14,$400C_const,1
14,$400C_vol,0
15,$400C_const,1
15,$400C_vol,0
16,$400C_const,1
16,$400C_vol,0
17,$400C_const,1
17,$400C_vol,0
18,$400C_const,1
18,$400C_vol,0
19,$400C_const,1
19,$400C_vol,0
20,$400C_const,1
20,$400C_vol,0
21,$400C_const,1
21,$400C_vol,0
22,$400C_const,1
22,$400C_vol,0
23,$400C_const,1
23,$400C_vol,0
24,$400C_const,1
24,$400C_vol,0
25,$400C_const,1
25,$400C_vol,0
26,$400C_const,1
26,$400C_vol,0
27,$400C_const,1
27,$400C_vol,0
28,$400C_const,1
28,$400C_vol,0
29,$400C_const,1
29,$400C_vol,0
30,$4000_duty,2
30,$4000_const,0
30,$4000_vol,7
30,$4001_sweep,8
30,$4002_period,285
30,$400B_length,8
30,$4008_linear,127
30,$400A_period,213
30,$400B_length,248
30,$400C_const,1
30,$400C_vol,0
31,$400C_const,1
31,$400C_vol,0
32,$400C_const,1
32,$400C_vol,0
33,$400C_const,1
33,$400C_vol,0
34,$400C_const,1
34,$400C_vol,0
35,$400C_const,1
35,$400C_vol,0
36,$400C_const,1
36,$400C_vol,0
37,$400C_const,1
37,$400C_vol,0
38,$400C_const,1
38,$400C_vol,0
39,$4000_duty,2
39,$4000_const,0
39,$4000_vol,7
39,$4001_sweep,8
39,$4002_period,321
39,$400B_length,8
39,$4004_duty,2
39,$4004_const,0
39,$4004_vol,7
39,$4005_sweep,8
39,$4006_period,169
39,$4008_linear,127
39,$400A_period,381
39,$400B_length,248
39,$400C_const,1
39,$400C_vol,0
40,$400C_const,1
40,$400C_vol,0
41,$400C_const,1
41,$400C_vol,0
42,$400C_const,1
42,$400C_vol,0
43,$400C_const,1
43,$400C_vol,0
44,$400C_const,1
44,$400C_vol,0
45,$400C_const,1
45,$400C_vol,0
46,$400C_const,1
46,$400C_vol,0
47,$400C_const,1
47,$400C_vol,0
48,$400C_const,1
48,$400C_vol,0
49,$400C_const,1
49,$400C_vol,0
50,$400C_const,1
50,$400C_vol,0
51,$400C_const,1
51,$400C_vol,0
52,$400C_const,1
52,$400C_vol,0
53,$400C_const,1
53,$400C_vol,0
54,$400C_const,1
54,$400C_vol,0
55,$4000_duty,2
55,$4000_const,0
55,$4000_vol,7
55,$4001_sweep,8
55,$4002_period,285
55,$400B_length,8
55,$4008_linear,127
55,$400A_period,191
55,$400B_length,248
55,$400C_const,1
55,$400C_vol,0
56,$400C_const,1
56,$400C_vol,0
57,$400C_const,1
57,$400C_vol,0
58,$400C_const,1
58,$400C_vol,0
59,$400C_const,1
59,$400C_vol,0
60,$400C_const,1
