frame,parameter,value
0,$400C_const,0
0,$400C_vol,1
0,$4008_linear,0
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,3
0,$4005_sweep,8
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,3
0,$4001_sweep,8
0,$4010_rate,10
0,$4011_dac,52
0,$4012_addr,16
0,$4013_len,63
1,$400C_const,0
1,$400C_vol,1
1,$4008_linear,0
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,4
1,$4005_sweep,8
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,4
1,$4001_sweep,8
2,$400C_const,0
2,$400C_vol,1
2,$4008_linear,0
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,4
2,$4005_sweep,8
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,4
2,$4001_sweep,8
3,$400C_const,0
3,$400C_vol,1
3,$4008_linear,0
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,4
3,$4005_sweep,8
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,4
3,$4001_sweep,8
4,$400C_const,0
4,$400C_vol,1
4,$4008_linear,0
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,4
4,$4005_sweep,8
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,4
4,$4001_sweep,8
5,$400C_const,0
5,$400C_vol,1
5,$4008_linear,0
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,4
5,$4005_sweep,8
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,4
5,$4001_sweep,8
6,$400C_const,0
6,$400C_vol,1
6,$4008_linear,0
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,1
6,$4005_sweep,8
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,1
6,$4001_sweep,8
7,$400C_const,0
7,$400C_vol,1
7,$4008_linear,0
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,2
7,$4005_sweep,8
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,2
7,$4001_sweep,8
8,$400C_const,0
8,$400C_vol,1
8,$4008_linear,0
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,2
8,$4005_sweep,8
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,2
8,$4001_sweep,8
9,$400C_const,0
9,$400C_vol,1
9,$4008_linear,0
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,2
9,$4005_sweep,8
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,2
9,$4001_sweep,8
10,$400C_const,0
10,$400C_vol,1
10,$4008_linear,0
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,2
10,$4005_sweep,8
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,2
10,$4001_sweep,8
11,$400C_const,0
11,$400C_vol,1
11,$4008_linear,0
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,2
11,$4005_sweep,8
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,2
11,$4001_sweep,8
12,$400C_const,0
12,$400C_vol,1
12,$400E_period,4
12,$400E_mode,0
12,$4008_linear,0
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,2
12,$4005_sweep,8
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,2
12,$4001_sweep,8
12,$4010_rate,14
12,$4011_dac,52
