frame,parameter,value
187,$4010_rate,12
187,$4012_addr,106
187,$4013_len,16
187,$4000_duty,0
187,$4000_const,1
187,$4000_vol,0
187,$4002_period,1
187,$400B_length,0
187,$4000_duty,2
187,$4000_const,1
187,$4000_vol,15
187,$4001_sweep,8
187,$4002_period,201
187,$400B_length,192
187,$400C_const,1
187,$400C_vol,0
187,$400C_const,1
187,$400C_vol,7
187,$400E_period,2
187,$400E_mode,0
187,$4004_duty,0
187,$4004_const,1
187,$4004_vol,0
187,$4006_period,1
187,$4004_duty,2
187,$4004_const,1
187,$4004_vol,5
187,$4005_sweep,8
187,$4006_period,1813
187,$4008_linear,0
187,$400A_period,1
187,$400B_length,0
187,$4008_linear,1
187,$400A_period,907
187,$400B_length,193
187,$4000_duty,2
187,$4000_const,1
187,$4000_vol,2
