frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,2
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,2
0,$4008_linear,127
0,$400A_period,1017
0,$400B_length,129
0,$400C_const,1
0,$400C_vol,0
2,$400C_const,1
2,$400C_vol,0
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,2
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,2
4,$400C_const,1
4,$400C_vol,0
5,$4008_linear,127
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,2
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,6
6,$4002_period,509
6,$400B_length,0
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,2
6,$400C_const,1
6,$400C_vol,0
6,$400C_const,1
6,$400C_vol,6
6,$400E_period,15
6,$400E_mode,0
8,$400C_const,1
8,$400C_vol,2
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,4
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,2
10,$4008_linear,0
10,$400C_const,1
10,$400C_vol,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,2
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,2
12,$4008_linear,127
12,$400A_period,1017
12,$400B_length,129
12,$400C_const,1
12,$400C_vol,0
14,$400C_const,1
14,$400C_vol,0
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,4
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,2
16,$400C_const,1
16,$400C_vol,0
17,$4008_linear,127
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,3
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,2
18,$4008_linear,127
18,$400A_period,1133
18,$400B_length,130
18,$400C_const,1
18,$400C_vol,0
18,$400C_const,1
18,$400C_vol,6
18,$400E_period,8
18,$400E_mode,0
20,$400C_const,1
20,$400C_vol,2
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,2
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,2
22,$400C_const,1
22,$400C_vol,0
23,$4008_linear,127
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,1
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,2
24,$400C_const,1
24,$400C_vol,0
26,$400C_const,1
26,$400C_vol,0
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,2
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,2
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,6
28,$4006_period,857
28,$4008_linear,0
28,$400C_const,1
28,$400C_vol,0
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,2
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,6
30,$4002_period,571
30,$400B_length,1
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,0
30,$4006_period,1
30,$4008_linear,127
30,$400A_period,1017
30,$400B_length,129
30,$400C_const,1
30,$400C_vol,0
30,$400C_const,1
30,$400C_vol,6
30,$400E_period,15
30,$400E_mode,0
32,$400C_const,1
32,$400C_vol,2
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,4
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,0
34,$400C_const,1
34,$400C_vol,0
35,$4008_linear,127
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,2
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,0
36,$400C_const,1
36,$400C_vol,0
38,$400C_const,1
38,$400C_vol,0
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,4
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,0
40,$4008_linear,0
40,$400C_const,1
40,$400C_vol,0
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,3
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,0
42,$400C_const,1
42,$400C_vol,0
44,$400C_const,1
44,$400C_vol,0
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,2
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,0
45,$4008_linear,0
46,$400C_const,1
46,$400C_vol,0
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,1
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,0
48,$4008_linear,127
48,$400A_period,1017
48,$400B_length,129
48,$400C_const,1
48,$400C_vol,0
48,$400C_const,1
48,$400C_vol,6
48,$400E_period,8
48,$400E_mode,0
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,6
49,$4006_period,907
50,$400C_const,1
50,$400C_vol,2
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,2
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,4
52,$400C_const,1
52,$400C_vol,0
53,$4008_linear,127
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,2
54,$400C_const,1
54,$400C_vol,0
54,$400C_const,1
54,$400C_vol,6
54,$400E_period,8
54,$400E_mode,0
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,2
56,$400C_const,1
56,$400C_vol,2
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,2
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,4
58,$4008_linear,0
58,$400C_const,1
58,$400C_vol,0
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,2
60,$4008_linear,127
60,$400A_period,1017
60,$400B_length,129
60,$400C_const,1
60,$400C_vol,0
60,$400C_const,1
60,$400C_vol,6
60,$400E_period,8
60,$400E_mode,0
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,3
62,$400C_const,1
62,$400C_vol,2
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,2
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,2
64,$400C_const,1
64,$400C_vol,0
65,$4008_linear,127
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,2
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,6
66,$4006_period,1017
66,$4008_linear,127
66,$400A_period,1133
66,$400B_length,130
66,$400C_const,1
66,$400C_vol,0
66,$400C_const,1
66,$400C_vol,6
66,$400E_period,8
66,$400E_mode,0
68,$400C_const,1
68,$400C_vol,2
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,2
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,4
70,$400C_const,1
70,$400C_vol,0
71,$4008_linear,127
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,2
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,2
72,$400C_const,1
72,$400C_vol,0
74,$400C_const,1
74,$400C_vol,0
75,$4000_duty,2
75,$4000_const,1
75,$4000_vol,2
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,4
76,$4008_linear,0
76,$400C_const,1
76,$400C_vol,0
78,$4000_duty,2
78,$4000_const,1
78,$4000_vol,2
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,3
78,$4008_linear,127
78,$400A_period,1017
78,$400B_length,129
78,$400C_const,1
78,$400C_vol,0
78,$400C_const,1
78,$400C_vol,6
78,$400E_period,15
78,$400E_mode,0
80,$400C_const,1
80,$400C_vol,2
81,$4000_duty,2
81,$4000_const,1
81,$4000_vol,2
81,$4004_duty,2
81,$4004_const,1
81,$4004_vol,2
82,$400C_const,1
82,$400C_vol,0
83,$4008_linear,127
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,2
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,1
84,$400C_const,1
84,$400C_vol,0
86,$400C_const,1
86,$400C_vol,0
87,$4000_duty,2
87,$4000_const,1
87,$4000_vol,2
87,$4004_duty,2
87,$4004_const,1
87,$4004_vol,2
88,$4008_linear,0
88,$400C_const,1
88,$400C_vol,0
90,$4000_duty,2
90,$4000_const,1
90,$4000_vol,2
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,2
90,$4008_linear,127
90,$400A_period,1133
90,$400B_length,130
90,$400C_const,1
90,$400C_vol,0
92,$400C_const,1
92,$400C_vol,0
93,$4000_duty,2
93,$4000_const,1
93,$4000_vol,2
93,$4004_duty,2
93,$4004_const,1
93,$4004_vol,2
94,$400C_const,1
94,$400C_vol,0
95,$4008_linear,127
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,2
96,$4004_duty,2
96,$4004_const,1
96,$4004_vol,2
96,$400C_const,1
96,$400C_vol,0
98,$400C_const,1
98,$400C_vol,0
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,2
99,$4004_duty,2
99,$4004_const,1
99,$4004_vol,2
100,$4008_linear,0
100,$400C_const,1
100,$400C_vol,0
102,$4000_duty,2
102,$4000_const,1
102,$4000_vol,2
102,$4004_duty,2
102,$4004_const,1
102,$4004_vol,2
102,$4008_linear,127
102,$400A_period,1359
102,$400B_length,130
102,$400C_const,1
102,$400C_vol,0
102,$400C_const,1
102,$400C_vol,6
102,$400E_period,15
102,$400E_mode,0
104,$400C_const,1
104,$400C_vol,2
105,$4000_duty,2
105,$4000_const,1
105,$4000_vol,2
105,$4004_duty,2
105,$4004_const,1
105,$4004_vol,2
106,$400C_const,1
106,$400C_vol,0
107,$4008_linear,127
108,$4000_duty,2
108,$4000_const,1
108,$4000_vol,2
108,$4004_duty,2
108,$4004_const,1
108,$4004_vol,2
108,$4008_linear,127
108,$400A_period,1283
108,$400B_length,130
108,$400C_const,1
108,$400C_vol,0
110,$400C_const,1
110,$400C_vol,0
111,$4000_duty,2
111,$4000_const,1
111,$4000_vol,2
111,$4004_duty,2
111,$4004_const,1
111,$4004_vol,2
112,$400C_const,1
112,$400C_vol,0
113,$4008_linear,127
114,$4000_duty,2
114,$4000_const,1
114,$4000_vol,2
114,$4000_duty,2
114,$4000_const,1
114,$4000_vol,6
114,$4002_period,679
114,$400B_length,1
114,$4004_duty,2
114,$4004_const,1
114,$4004_vol,2
114,$4008_linear,127
114,$400A_period,1133
114,$400B_length,130
114,$400C_const,1
114,$400C_vol,0
114,$400C_const,1
114,$400C_vol,6
114,$400E_period,8
114,$400E_mode,0
116,$400C_const,1
116,$400C_vol,2
117,$4000_duty,2
117,$4000_const,1
117,$4000_vol,4
117,$4004_duty,2
117,$4004_const,1
117,$4004_vol,2
118,$400C_const,1
118,$400C_vol,0
119,$4008_linear,127
120,$4000_duty,2
120,$4000_const,1
120,$4000_vol,2
120,$4000_duty,2
120,$4000_const,1
120,$4000_vol,6
120,$4002_period,453
120,$400B_length,0
120,$4004_duty,2
120,$4004_const,1
120,$4004_vol,2
120,$400C_const,1
120,$400C_vol,0
122,$400C_const,1
122,$400C_vol,0
123,$4000_duty,2
123,$4000_const,1
123,$4000_vol,4
123,$4004_duty,2
123,$4004_const,1
123,$4004_vol,2
124,$4008_linear,0
124,$400C_const,1
124,$400C_vol,0
126,$4000_duty,2
126,$4000_const,1
126,$4000_vol,2
126,$4000_duty,2
126,$4000_const,1
126,$4000_vol,6
126,$4002_period,509
126,$400B_length,0
126,$4004_duty,2
126,$4004_const,1
126,$4004_vol,2
126,$4004_duty,2
126,$4004_const,1
126,$4004_vol,6
126,$4006_period,857
126,$4008_linear,127
126,$400A_period,1017
126,$400B_length,129
126,$400C_const,1
126,$400C_vol,0
126,$400C_const,1
126,$400C_vol,6
126,$400E_period,15
126,$400E_mode,0
128,$400C_const,1
128,$400C_vol,2
129,$4000_duty,2
129,$4000_const,1
129,$4000_vol,4
129,$4004_duty,2
129,$4004_const,1
129,$4004_vol,4
130,$400C_const,1
130,$400C_vol,0
131,$4008_linear,127
132,$4000_duty,2
132,$4000_const,1
132,$4000_vol,2
132,$4004_duty,2
132,$4004_const,1
132,$4004_vol,2
132,$400C_const,1
132,$400C_vol,0
134,$400C_const,1
134,$400C_vol,0
135,$4000_duty,2
135,$4000_const,1
135,$4000_vol,4
135,$4004_duty,2
135,$4004_const,1
135,$4004_vol,4
136,$4008_linear,0
136,$400C_const,1
136,$400C_vol,0
138,$4000_duty,2
138,$4000_const,1
138,$4000_vol,3
138,$4004_duty,2
138,$4004_const,1
138,$4004_vol,3
138,$400C_const,1
138,$400C_vol,0
140,$400C_const,1
140,$400C_vol,0
141,$4000_duty,2
141,$4000_const,1
141,$4000_vol,2
141,$4004_duty,2
141,$4004_const,1
141,$4004_vol,2
141,$4008_linear,0
142,$400C_const,1
142,$400C_vol,0
144,$4000_duty,2
144,$4000_const,1
144,$4000_vol,1
144,$4004_duty,2
144,$4004_const,1
144,$4004_vol,1
144,$4008_linear,127
144,$400A_period,1017
144,$400B_length,129
144,$400C_const,1
144,$400C_vol,0
144,$400C_const,1
144,$400C_vol,6
144,$400E_period,8
144,$400E_mode,0
146,$400C_const,1
146,$400C_vol,2
147,$4000_duty,2
147,$4000_const,1
147,$4000_vol,2
147,$4004_duty,2
147,$4004_const,1
147,$4004_vol,2
148,$400C_const,1
148,$400C_vol,0
149,$4008_linear,127
150,$4000_duty,2
150,$4000_const,1
150,$4000_vol,2
150,$4004_duty,2
150,$4004_const,1
150,$4004_vol,2
150,$400C_const,1
150,$400C_vol,0
150,$400C_const,1
150,$400C_vol,6
150,$400E_period,8
150,$400E_mode,0
152,$400C_const,1
152,$400C_vol,2
153,$4000_duty,2
153,$4000_const,1
153,$4000_vol,2
153,$4004_duty,2
153,$4004_const,1
153,$4004_vol,2
154,$4008_linear,0
154,$400C_const,1
154,$400C_vol,0
156,$4000_duty,2
156,$4000_const,1
156,$4000_vol,2
156,$4004_duty,2
156,$4004_const,1
156,$4004_vol,2
156,$4008_linear,127
156,$400A_period,1017
156,$400B_length,129
156,$400C_const,1
156,$400C_vol,0
156,$400C_const,1
156,$400C_vol,6
156,$400E_period,8
156,$400E_mode,0
158,$400C_const,1
158,$400C_vol,2
159,$4000_duty,2
159,$4000_const,1
159,$4000_vol,2
159,$4004_duty,2
159,$4004_const,1
159,$4004_vol,2
160,$400C_const,1
160,$400C_vol,0
161,$4008_linear,127
162,$4000_duty,2
162,$4000_const,1
162,$4000_vol,2
162,$4000_duty,2
162,$4000_const,1
162,$4000_vol,6
162,$4002_period,679
162,$400B_length,1
162,$4004_duty,2
162,$4004_const,1
162,$4004_vol,2
162,$4008_linear,127
162,$400A_period,1133
162,$400B_length,130
162,$400C_const,1
162,$400C_vol,0
