frame,parameter,value
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,63
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,69
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,68
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,67
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,66
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,65
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,64
192,$4011_dac,63
