frame,parameter,value
155,$4000_duty,0
155,$4000_const,1
155,$4000_vol,0
155,$4004_duty,0
155,$4004_const,1
155,$4004_vol,0
155,$400C_const,1
155,$400C_vol,0
155,$4008_linear,0
156,$4000_duty,3
156,$4000_const,1
156,$4000_vol,5
156,$4001_sweep,8
156,$4002_period,143
156,$400B_length,0
156,$4004_duty,3
156,$4004_const,1
156,$4004_vol,7
156,$4005_sweep,8
156,$4006_period,857
156,$4008_linear,112
156,$400A_period,143
156,$400B_length,0
158,$4000_duty,3
158,$4000_const,1
158,$4000_vol,5
158,$4004_duty,3
158,$4004_const,1
158,$4004_vol,7
158,$4008_linear,112
160,$4000_duty,3
160,$4000_const,1
160,$4000_vol,5
160,$4004_duty,3
160,$4004_const,1
160,$4004_vol,7
161,$4008_linear,112
162,$4000_duty,3
162,$4000_const,1
162,$4000_vol,5
162,$4001_sweep,8
162,$4002_period,287
162,$400B_length,0
162,$4004_duty,3
162,$4004_const,1
162,$4004_vol,7
163,$4008_linear,112
164,$4000_duty,3
164,$4000_const,1
164,$4000_vol,5
164,$4004_duty,3
164,$4004_const,1
164,$4004_vol,7
165,$4008_linear,112
166,$4000_duty,3
166,$4000_const,1
166,$4000_vol,5
166,$4004_duty,3
166,$4004_const,1
166,$4004_vol,7
167,$4008_linear,112
168,$4000_duty,3
168,$4000_const,1
168,$4000_vol,0
168,$4001_sweep,8
168,$4002_period,287
168,$400B_length,0
168,$4004_duty,3
168,$4004_const,1
168,$4004_vol,7
168,$4005_sweep,8
168,$4006_period,429
169,$4008_linear,112
170,$4004_duty,3
170,$4004_const,1
170,$4004_vol,7
171,$4008_linear,112
173,$4004_duty,3
173,$4004_const,1
173,$4004_vol,7
173,$4008_linear,112
174,$4000_duty,3
174,$4000_const,1
174,$4000_vol,5
174,$4001_sweep,8
174,$4002_period,287
174,$400B_length,0
174,$4004_duty,3
174,$4004_const,1
174,$4004_vol,7
174,$4005_sweep,8
174,$4006_period,857
174,$4008_linear,112
174,$400A_period,107
174,$400B_length,0
176,$4000_duty,3
176,$4000_const,1
176,$4000_vol,5
176,$4004_duty,3
176,$4004_const,1
176,$4004_vol,7
176,$4008_linear,112
178,$4000_duty,3
178,$4000_const,1
178,$4000_vol,5
178,$4004_duty,3
178,$4004_const,1
178,$4004_vol,7
178,$4008_linear,112
180,$4000_duty,3
180,$4000_const,1
180,$4000_vol,5
180,$4001_sweep,8
180,$4002_period,143
180,$400B_length,0
180,$4004_duty,3
180,$4004_const,1
180,$4004_vol,7
180,$4005_sweep,8
180,$4006_period,961
180,$4008_linear,112
180,$400A_period,143
180,$400B_length,0
182,$4000_duty,3
182,$4000_const,1
182,$4000_vol,5
182,$4004_duty,3
182,$4004_const,1
182,$4004_vol,7
182,$4008_linear,112
184,$4000_duty,3
184,$4000_const,1
184,$4000_vol,5
184,$4004_duty,3
184,$4004_const,1
184,$4004_vol,7
186,$4000_duty,3
186,$4000_const,1
186,$4000_vol,5
186,$4001_sweep,8
186,$4002_period,287
186,$400B_length,0
186,$4004_duty,3
186,$4004_const,1
186,$4004_vol,7
188,$4000_duty,3
188,$4000_const,1
188,$4000_vol,5
188,$4004_duty,3
188,$4004_const,1
188,$4004_vol,7
191,$4000_duty,3
191,$4000_const,1
191,$4000_vol,5
191,$4004_duty,3
191,$4004_const,1
191,$4004_vol,7
192,$4000_duty,3
192,$4000_const,1
192,$4000_vol,0
192,$4001_sweep,8
192,$4002_period,287
192,$400B_length,0
192,$4004_duty,3
192,$4004_const,1
192,$4004_vol,7
192,$4005_sweep,8
192,$4006_period,481
194,$4004_duty,3
194,$4004_const,1
194,$4004_vol,7
196,$4004_duty,3
196,$4004_const,1
196,$4004_vol,7
198,$4000_duty,3
198,$4000_const,1
198,$4000_vol,5
198,$4001_sweep,8
198,$4002_period,287
198,$400B_length,0
198,$4004_duty,3
198,$4004_const,1
198,$4004_vol,7
198,$4005_sweep,8
198,$4006_period,961
200,$4000_duty,3
200,$4000_const,1
200,$4000_vol,5
200,$4004_duty,3
200,$4004_const,1
200,$4004_vol,7
202,$4000_duty,3
202,$4000_const,1
202,$4000_vol,5
202,$4004_duty,3
202,$4004_const,1
202,$4004_vol,7
204,$4000_duty,3
204,$4000_const,1
204,$4000_vol,5
204,$4001_sweep,8
204,$4002_period,143
204,$400B_length,0
204,$4004_duty,3
204,$4004_const,1
204,$4004_vol,7
204,$4005_sweep,8
204,$4006_period,1019
206,$4000_duty,3
206,$4000_const,1
206,$4000_vol,5
206,$4004_duty,3
206,$4004_const,1
206,$4004_vol,7
209,$4000_duty,3
209,$4000_const,1
209,$4000_vol,5
209,$4004_duty,3
209,$4004_const,1
209,$4004_vol,7
210,$4000_duty,3
210,$4000_const,1
210,$4000_vol,5
210,$4001_sweep,8
210,$4002_period,287
210,$400B_length,0
210,$4004_duty,3
210,$4004_const,1
210,$4004_vol,7
212,$4000_duty,3
212,$4000_const,1
212,$4000_vol,5
212,$4004_duty,3
212,$4004_const,1
212,$4004_vol,7
214,$4000_duty,3
214,$4000_const,1
214,$4000_vol,5
214,$4004_duty,3
214,$4004_const,1
214,$4004_vol,7
216,$4000_duty,3
216,$4000_const,1
216,$4000_vol,0
216,$4001_sweep,8
216,$4002_period,287
216,$400B_length,0
216,$4004_duty,3
216,$4004_const,1
216,$4004_vol,7
216,$4005_sweep,8
216,$4006_period,511
218,$4004_duty,3
218,$4004_const,1
218,$4004_vol,7
220,$4004_duty,3
220,$4004_const,1
220,$4004_vol,7
222,$4000_duty,3
222,$4000_const,1
222,$4000_vol,5
222,$4001_sweep,8
222,$4002_period,287
222,$400B_length,0
222,$4004_duty,3
222,$4004_const,1
222,$4004_vol,7
222,$4005_sweep,8
222,$4006_period,1019
224,$4000_duty,3
224,$4000_const,1
224,$4000_vol,5
224,$4004_duty,3
224,$4004_const,1
224,$4004_vol,7
227,$4000_duty,3
227,$4000_const,1
227,$4000_vol,5
227,$4004_duty,3
227,$4004_const,1
227,$4004_vol,7
228,$4000_duty,3
228,$4000_const,1
228,$4000_vol,5
228,$4001_sweep,8
228,$4002_period,143
228,$400B_length,0
228,$4004_duty,3
228,$4004_const,1
228,$4004_vol,7
228,$4005_sweep,8
228,$4006_period,1143
230,$4000_duty,3
230,$4000_const,1
230,$4000_vol,5
230,$4004_duty,3
230,$4004_const,1
230,$4004_vol,7
232,$4000_duty,3
232,$4000_const,1
232,$4000_vol,5
232,$4004_duty,3
232,$4004_const,1
232,$4004_vol,7
234,$4000_duty,3
234,$4000_const,1
234,$4000_vol,5
234,$4001_sweep,8
234,$4002_period,287
234,$400B_length,0
234,$4004_duty,3
234,$4004_const,1
234,$4004_vol,7
236,$4000_duty,3
236,$4000_const,1
236,$4000_vol,5
236,$4004_duty,3
236,$4004_const,1
236,$4004_vol,7
238,$4000_duty,3
238,$4000_const,1
238,$4000_vol,5
238,$4004_duty,3
238,$4004_const,1
238,$4004_vol,7
240,$4000_duty,3
240,$4000_const,1
240,$4000_vol,0
240,$4001_sweep,8
240,$4002_period,287
240,$400B_length,0
240,$4004_duty,3
240,$4004_const,1
240,$4004_vol,7
240,$4005_sweep,8
240,$4006_period,573
242,$4004_duty,3
242,$4004_const,1
242,$4004_vol,7
245,$4004_duty,3
245,$4004_const,1
245,$4004_vol,7
246,$4000_duty,3
246,$4000_const,1
246,$4000_vol,5
246,$4001_sweep,8
246,$4002_period,287
246,$400B_length,0
246,$4004_duty,3
246,$4004_const,1
246,$4004_vol,7
246,$4005_sweep,8
246,$4006_period,1143
248,$4000_duty,3
248,$4000_const,1
248,$4000_vol,5
248,$4004_duty,3
248,$4004_const,1
248,$4004_vol,7
250,$4000_duty,3
250,$4000_const,1
250,$4000_vol,5
250,$4004_duty,3
250,$4004_const,1
250,$4004_vol,7
252,$4000_duty,3
252,$4000_const,1
252,$4000_vol,5
252,$4001_sweep,8
252,$4002_period,143
252,$400B_length,0
252,$4004_duty,3
252,$4004_const,1
252,$4004_vol,7
252,$4005_sweep,8
252,$4006_period,857
254,$4000_duty,3
254,$4000_const,1
254,$4000_vol,5
254,$4004_duty,3
254,$4004_const,1
254,$4004_vol,7
256,$4000_duty,3
256,$4000_const,1
256,$4000_vol,5
256,$4004_duty,3
256,$4004_const,1
256,$4004_vol,7
258,$4000_duty,3
258,$4000_const,1
258,$4000_vol,5
258,$4001_sweep,8
258,$4002_period,287
258,$400B_length,0
258,$4004_duty,3
258,$4004_const,1
258,$4004_vol,7
260,$4000_duty,3
260,$4000_const,1
260,$4000_vol,5
260,$4004_duty,3
260,$4004_const,1
260,$4004_vol,7
263,$4000_duty,3
263,$4000_const,1
263,$4000_vol,5
263,$4004_duty,3
263,$4004_const,1
263,$4004_vol,7
264,$4000_duty,3
264,$4000_const,1
264,$4000_vol,0
264,$4001_sweep,8
264,$4002_period,287
264,$400B_length,0
264,$4004_duty,3
264,$4004_const,1
264,$4004_vol,7
264,$4005_sweep,8
264,$4006_period,429
266,$4004_duty,3
266,$4004_const,1
266,$4004_vol,7
268,$4004_duty,3
268,$4004_const,1
268,$4004_vol,7
270,$4000_duty,3
270,$4000_const,1
270,$4000_vol,5
270,$4001_sweep,8
270,$4002_period,287
270,$400B_length,0
270,$4004_duty,3
270,$4004_const,1
270,$4004_vol,7
270,$4005_sweep,8
270,$4006_period,857
272,$4000_duty,3
272,$4000_const,1
272,$4000_vol,5
272,$4004_duty,3
272,$4004_const,1
272,$4004_vol,7
274,$4000_duty,3
274,$4000_const,1
274,$4000_vol,5
274,$4004_duty,3
274,$4004_const,1
274,$4004_vol,7
276,$4000_duty,3
276,$4000_const,1
276,$4000_vol,5
276,$4001_sweep,8
276,$4002_period,143
276,$400B_length,0
276,$4004_duty,3
276,$4004_const,1
276,$4004_vol,7
276,$4005_sweep,8
276,$4006_period,961
278,$4000_duty,3
278,$4000_const,1
278,$4000_vol,5
278,$4004_duty,3
278,$4004_const,1
278,$4004_vol,7
281,$4000_duty,3
281,$4000_const,1
281,$4000_vol,5
281,$4004_duty,3
281,$4004_const,1
281,$4004_vol,7
282,$4000_duty,3
282,$4000_const,1
282,$4000_vol,5
282,$4001_sweep,8
282,$4002_period,287
282,$400B_length,0
282,$4004_duty,3
282,$4004_const,1
282,$4004_vol,7
284,$4000_duty,3
284,$4000_const,1
284,$4000_vol,5
284,$4004_duty,3
284,$4004_const,1
284,$4004_vol,7
286,$4000_duty,3
286,$4000_const,1
286,$4000_vol,5
286,$4004_duty,3
286,$4004_const,1
286,$4004_vol,7
288,$4000_duty,3
288,$4000_const,1
288,$4000_vol,0
288,$4001_sweep,8
288,$4002_period,287
288,$400B_length,0
288,$4004_duty,3
288,$4004_const,1
288,$4004_vol,7
288,$4005_sweep,8
288,$4006_period,481
290,$4004_duty,3
290,$4004_const,1
290,$4004_vol,7
292,$4004_duty,3
292,$4004_const,1
292,$4004_vol,7
