frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,0
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,0
0,$400C_const,1
0,$400C_vol,0
0,$4008_linear,0
256,$4000_duty,0
256,$4000_const,0
256,$4000_vol,0
256,$4001_sweep,0
256,$4002_period,1
256,$400B_length,0
256,$4004_duty,0
256,$4004_const,0
256,$4004_vol,0
256,$4005_sweep,0
256,$4006_period,1
256,$4008_linear,0
256,$400A_period,1
256,$400B_length,0
256,$400C_const,0
256,$400C_vol,0
256,$400E_period,0
256,$400E_mode,0
256,$4000_duty,0
256,$4000_const,1
256,$4000_vol,12
256,$4001_sweep,7
256,$4002_period,425
256,$400B_length,0
256,$4004_duty,3
256,$4004_const,1
256,$4004_vol,12
256,$4005_sweep,7
256,$4006_period,677
256,$4008_linear,127
256,$400A_period,603
256,$400B_length,1
256,$400C_const,1
256,$400C_vol,12
256,$400E_period,11
256,$400E_mode,0
257,$4000_duty,0
257,$4000_const,1
257,$4000_vol,9
257,$4004_duty,3
257,$4004_const,1
257,$4004_vol,7
257,$4008_linear,127
257,$400A_period,639
257,$400B_length,1
257,$400C_const,1
257,$400C_vol,6
258,$4000_duty,0
258,$4000_const,1
258,$4000_vol,9
258,$4004_duty,3
258,$4004_const,1
258,$4004_vol,7
258,$4008_linear,127
258,$400A_period,677
258,$400B_length,1
258,$400C_const,1
258,$400C_vol,6
259,$4000_duty,0
259,$4000_const,1
259,$4000_vol,9
259,$4004_duty,3
259,$4004_const,1
259,$4004_vol,7
259,$4008_linear,127
259,$400A_period,285
259,$400B_length,0
259,$400C_const,1
259,$400C_vol,4
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,9
260,$4004_duty,3
260,$4004_const,1
260,$4004_vol,7
260,$4008_linear,127
260,$400C_const,1
260,$400C_vol,4
261,$4000_duty,0
261,$4000_const,1
261,$4000_vol,9
261,$4004_duty,3
261,$4004_const,1
261,$4004_vol,7
261,$4008_linear,127
261,$400C_const,1
261,$400C_vol,2
262,$4000_duty,0
262,$4000_const,1
262,$4000_vol,9
262,$4004_duty,3
262,$4004_const,1
262,$4004_vol,7
262,$4008_linear,127
262,$400C_const,1
262,$400C_vol,2
263,$4000_duty,0
263,$4000_const,1
263,$4000_vol,9
263,$4004_duty,3
263,$4004_const,1
263,$4004_vol,7
263,$4008_linear,127
263,$400C_const,1
263,$400C_vol,0
264,$4000_duty,0
