frame,parameter,value
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
0,$4011_dac,16
0,$4011_dac,24
0,$4011_dac,24
