frame,parameter,value
191,$4000_duty,1
191,$4000_const,1
191,$4000_vol,14
191,$4002_period,427
191,$400B_length,0
191,$4001_sweep,8
191,$4004_duty,2
191,$4004_const,1
191,$4004_vol,7
191,$4006_period,1721
191,$4005_sweep,8
191,$4008_linear,1
191,$400A_period,427
191,$400B_length,0
191,$400C_const,1
191,$400C_vol,8
191,$400E_period,7
191,$400E_mode,0
192,$4000_duty,1
192,$4000_const,1
192,$4000_vol,14
192,$4002_period,427
192,$400B_length,0
192,$4001_sweep,8
192,$4004_duty,2
192,$4004_const,1
192,$4004_vol,14
192,$4006_period,1721
192,$4005_sweep,8
192,$4008_linear,1
192,$400A_period,427
192,$400B_length,0
192,$400C_const,1
192,$400C_vol,8
192,$400E_period,7
192,$400E_mode,0
193,$4000_duty,1
193,$4000_const,1
193,$4000_vol,14
193,$4004_duty,2
193,$4004_const,1
193,$4004_vol,14
193,$4008_linear,1
193,$400C_const,1
193,$400C_vol,7
194,$4000_duty,1
194,$4000_const,1
194,$4000_vol,12
194,$4004_duty,2
194,$4004_const,1
194,$4004_vol,14
194,$4008_linear,1
194,$400C_const,1
194,$400C_vol,7
195,$4000_duty,1
195,$4000_const,1
195,$4000_vol,12
195,$4004_duty,2
195,$4004_const,1
195,$4004_vol,14
195,$4008_linear,1
195,$400C_const,1
195,$400C_vol,6
196,$4000_duty,1
196,$4000_const,1
196,$4000_vol,12
196,$4004_duty,2
196,$4004_const,1
196,$4004_vol,14
196,$4008_linear,1
196,$400C_const,1
196,$400C_vol,6
197,$4000_duty,1
197,$4000_const,1
197,$4000_vol,10
197,$4004_duty,2
197,$4004_const,1
197,$4004_vol,14
197,$4008_linear,1
197,$400C_const,1
197,$400C_vol,5
198,$4000_duty,1
198,$4000_const,1
198,$4000_vol,10
198,$4004_duty,2
198,$4004_const,1
198,$4004_vol,14
198,$4008_linear,1
198,$400C_const,1
198,$400C_vol,5
199,$4000_duty,1
199,$4000_const,1
199,$4000_vol,14
199,$4002_period,339
199,$400B_length,0
199,$4001_sweep,8
199,$4004_duty,2
199,$4004_const,1
199,$4004_vol,14
199,$4008_linear,1
199,$400C_const,1
199,$400C_vol,4
200,$4000_duty,1
200,$4000_const,1
200,$4000_vol,14
200,$4004_duty,2
200,$4004_const,1
200,$4004_vol,14
200,$4008_linear,1
200,$400C_const,1
200,$400C_vol,4
201,$4000_duty,1
201,$4000_const,1
201,$4000_vol,14
201,$4004_duty,2
201,$4004_const,1
201,$4004_vol,14
201,$4008_linear,1
201,$400C_const,1
201,$400C_vol,3
202,$4000_duty,1
202,$4000_const,1
202,$4000_vol,12
202,$4004_duty,2
202,$4004_const,1
202,$4004_vol,14
202,$4008_linear,1
202,$400C_const,1
202,$400C_vol,3
203,$4000_duty,1
203,$4000_const,1
203,$4000_vol,12
203,$4004_duty,2
203,$4004_const,1
203,$4004_vol,14
203,$4008_linear,1
203,$400C_const,1
203,$400C_vol,2
204,$4000_duty,1
204,$4000_const,1
204,$4000_vol,12
204,$4004_duty,2
204,$4004_const,1
204,$4004_vol,14
204,$4008_linear,1
204,$400C_const,1
204,$400C_vol,2
205,$4000_duty,1
205,$4000_const,1
205,$4000_vol,10
205,$4004_duty,2
205,$4004_const,1
205,$4004_vol,14
205,$4008_linear,1
205,$400C_const,1
205,$400C_vol,1
206,$4000_duty,1
206,$4000_const,1
206,$4000_vol,10
206,$4004_duty,2
206,$4004_const,1
206,$4004_vol,14
206,$4008_linear,1
206,$400C_const,1
206,$400C_vol,1
207,$4000_duty,1
207,$4000_const,1
207,$4000_vol,14
207,$4002_period,285
