frame,parameter,value
0,$4001_sweep,8
0,$4005_sweep,8
0,$4002_period,1
0,$400B_length,0
0,$4006_period,1
0,$400A_period,1
0,$400B_length,0
1,$4001_sweep,8
1,$4005_sweep,8
1,$4002_period,1
1,$400B_length,0
1,$4006_period,1
1,$400A_period,1
1,$400B_length,0
2,$4001_sweep,8
2,$4005_sweep,8
2,$4002_period,1
2,$400B_length,0
2,$4006_period,1
2,$400A_period,1
2,$400B_length,0
3,$4001_sweep,8
3,$4005_sweep,8
3,$4002_period,1
3,$400B_length,0
3,$4006_period,1
3,$400A_period,1
3,$400B_length,0
4,$4001_sweep,8
4,$4005_sweep,8
4,$4002_period,1
4,$400B_length,0
4,$4006_period,1
4,$400A_period,1
4,$400B_length,0
5,$4001_sweep,8
5,$4005_sweep,8
5,$4002_period,1
5,$400B_length,0
5,$4006_period,1
5,$400A_period,1
5,$400B_length,0
6,$4001_sweep,8
6,$4005_sweep,8
6,$4002_period,1
6,$400B_length,0
6,$4006_period,1
6,$400A_period,1
6,$400B_length,0
7,$4001_sweep,8
7,$4005_sweep,8
7,$4002_period,1
7,$400B_length,0
7,$4006_period,1
7,$400A_period,1
7,$400B_length,0
8,$4001_sweep,8
8,$4005_sweep,8
8,$4002_period,1
8,$400B_length,0
8,$4006_period,1
8,$400A_period,1
8,$400B_length,0
9,$4001_sweep,8
9,$4005_sweep,8
9,$4002_period,1
9,$400B_length,0
9,$4006_period,1
9,$400A_period,1
9,$400B_length,0
10,$4001_sweep,8
10,$4005_sweep,8
10,$4002_period,1
10,$400B_length,0
10,$4006_period,1
10,$400A_period,1
10,$400B_length,0
11,$4001_sweep,8
11,$4005_sweep,8
11,$4002_period,1
11,$400B_length,0
11,$4006_period,1
11,$400A_period,1
11,$400B_length,0
12,$4001_sweep,8
12,$4005_sweep,8
12,$4002_period,1
12,$400B_length,0
12,$4006_period,1
12,$400A_period,1
12,$400B_length,0
13,$4001_sweep,8
13,$4005_sweep,8
13,$4002_period,1
13,$400B_length,0
13,$4006_period,1
13,$400A_period,1
13,$400B_length,0
14,$4001_sweep,8
14,$4005_sweep,8
14,$4002_period,1
14,$400B_length,0
14,$4006_period,1
14,$400A_period,1
14,$400B_length,0
15,$4001_sweep,8
15,$4005_sweep,8
15,$4002_period,1
15,$400B_length,0
15,$4006_period,1
