frame,parameter,value
275,$4001_sweep,0
275,$4005_sweep,0
275,$4008_linear,127
275,$4002_period,1077
275,$400B_length,2
275,$4000_duty,1
275,$4000_const,1
275,$4000_vol,1
275,$4006_period,1083
275,$4004_duty,2
275,$4004_const,1
275,$4004_vol,1
275,$400A_period,855
275,$400B_length,1
275,$400E_period,8
275,$400E_mode,0
275,$400C_const,1
275,$400C_vol,6
275,$400E_period,8
275,$400E_mode,0
276,$4000_duty,1
276,$4000_const,1
276,$4000_vol,1
276,$4004_duty,2
276,$4004_const,1
276,$4004_vol,1
276,$400A_period,1077
276,$400B_length,2
276,$400E_period,4
276,$400E_mode,0
276,$400C_const,1
276,$400C_vol,3
276,$400E_period,4
276,$400E_mode,0
277,$4000_duty,1
277,$4000_const,1
277,$4000_vol,1
277,$4004_duty,2
277,$4004_const,1
277,$4004_vol,1
277,$400C_const,1
277,$400C_vol,2
278,$4000_duty,1
278,$4000_const,1
278,$4000_vol,1
278,$4004_duty,2
278,$4004_const,1
278,$4004_vol,1
278,$400A_period,1711
278,$400B_length,3
278,$400C_const,1
278,$400C_vol,1
279,$4000_duty,1
279,$4000_const,1
279,$4000_vol,1
279,$4004_duty,2
279,$4004_const,1
279,$4004_vol,1
279,$400C_const,1
279,$400C_vol,0
280,$4000_duty,1
280,$4000_const,1
280,$4000_vol,1
280,$4004_duty,2
280,$4004_const,1
280,$4004_vol,1
280,$400A_period,1
280,$400B_length,0
280,$400C_const,1
280,$400C_vol,0
281,$4000_duty,1
281,$4000_const,1
281,$4000_vol,1
281,$4004_duty,2
281,$4004_const,1
281,$4004_vol,1
281,$400C_const,1
281,$400C_vol,0
282,$4000_duty,1
282,$4000_const,1
282,$4000_vol,1
282,$4004_duty,2
282,$4004_const,1
282,$4004_vol,1
282,$400C_const,1
282,$400C_vol,0
283,$4000_duty,1
283,$4000_const,1
283,$4000_vol,1
283,$4004_duty,2
283,$4004_const,1
283,$4004_vol,1
283,$400C_const,1
283,$400C_vol,0
284,$4000_duty,1
284,$4000_const,1
284,$4000_vol,1
284,$4004_duty,2
284,$4004_const,1
284,$4004_vol,1
284,$400C_const,1
284,$400C_vol,0
285,$4000_duty,1
285,$4000_const,1
285,$4000_vol,1
285,$4004_duty,2
285,$4004_const,1
285,$4004_vol,1
285,$400C_const,1
