frame,parameter,value
125,$4000_duty,0
125,$4000_const,1
125,$4000_vol,15
125,$4001_sweep,127
125,$4002_period,321
125,$400B_length,32
125,$4004_duty,0
125,$4004_const,1
125,$4004_vol,15
125,$4005_sweep,127
125,$4006_period,509
125,$4008_linear,16
125,$400A_period,641
125,$400B_length,65
133,$4008_linear,16
133,$400A_period,641
133,$400B_length,65
141,$4008_linear,16
141,$400A_period,641
141,$400B_length,65
149,$4008_linear,16
149,$400A_period,641
149,$400B_length,65
165,$4000_duty,0
165,$4000_const,1
165,$4000_vol,15
165,$4001_sweep,127
165,$4002_period,427
165,$400B_length,128
165,$4004_duty,0
165,$4004_const,1
165,$4004_vol,15
165,$4005_sweep,127
165,$4006_period,509
173,$4000_duty,0
173,$4000_const,1
173,$4000_vol,15
173,$4001_sweep,127
173,$4002_period,321
173,$400B_length,128
173,$4004_duty,0
173,$4004_const,1
173,$4004_vol,15
173,$4005_sweep,127
173,$4006_period,509
173,$4008_linear,16
173,$400A_period,641
173,$400B_length,65
181,$4000_duty,0
181,$4000_const,1
181,$4000_vol,15
181,$4001_sweep,127
181,$4002_period,255
181,$400B_length,128
181,$4004_duty,0
181,$4004_const,1
181,$4004_vol,15
181,$4005_sweep,127
181,$4006_period,427
181,$4008_linear,16
181,$400A_period,641
181,$400B_length,65
189,$4000_duty,0
189,$4000_const,1
189,$4000_vol,15
189,$4001_sweep,127
189,$4002_period,213
189,$400B_length,128
189,$4004_duty,0
189,$4004_const,1
189,$4004_vol,15
189,$4005_sweep,127
189,$4006_period,321
189,$4008_linear,16
189,$400A_period,641
189,$400B_length,65
197,$4000_duty,0
197,$4000_const,1
197,$4000_vol,15
197,$4001_sweep,127
197,$4002_period,255
197,$400B_length,128
197,$4004_duty,0
197,$4004_const,1
197,$4004_vol,15
197,$4005_sweep,127
197,$4006_period,427
197,$4008_linear,16
197,$400A_period,641
197,$400B_length,65
213,$4000_duty,0
213,$4000_const,1
213,$4000_vol,15
213,$4001_sweep,127
213,$4002_period,321
213,$400B_length,128
213,$4004_duty,0
213,$4004_const,1
213,$4004_vol,15
213,$4005_sweep,127
213,$4006_period,509
221,$4000_duty,0
221,$4000_const,1
221,$4000_vol,15
221,$4001_sweep,127
221,$4002_period,285
221,$400B_length,128
221,$4004_duty,0
221,$4004_const,1
221,$4004_vol,15
221,$4005_sweep,127
221,$4006_period,481
221,$4008_linear,16
221,$400A_period,641
221,$400B_length,65
229,$4008_linear,16
229,$400A_period,641
229,$400B_length,65
237,$4000_duty,0
237,$4000_const,1
237,$4000_vol,15
237,$4001_sweep,127
237,$4002_period,285
237,$400B_length,128
237,$4004_duty,0
237,$4004_const,1
237,$4004_vol,15
237,$4005_sweep,127
237,$4006_period,481
237,$4008_linear,16
237,$400A_period,641
237,$400B_length,65
245,$4000_duty,0
245,$4000_const,1
245,$4000_vol,15
245,$4001_sweep,127
245,$4002_period,285
245,$400B_length,128
245,$4004_duty,0
245,$4004_const,1
245,$4004_vol,15
245,$4005_sweep,127
245,$4006_period,481
245,$4008_linear,16
245,$400A_period,641
245,$400B_length,65
261,$4000_duty,0
261,$4000_const,1
261,$4000_vol,15
261,$4001_sweep,127
261,$4002_period,381
261,$400B_length,216
261,$4004_duty,0
261,$4004_const,1
261,$4004_vol,15
261,$4005_sweep,127
261,$4006_period,481
269,$4008_linear,16
269,$400A_period,641
269,$400B_length,65
277,$4008_linear,16
277,$400A_period,641
277,$400B_length,65
285,$4000_duty,0
285,$4000_const,1
285,$4000_vol,15
285,$4001_sweep,127
285,$4002_period,285
285,$400B_length,128
285,$4004_duty,0
285,$4004_const,1
285,$4004_vol,15
285,$4005_sweep,127
285,$4006_period,481
285,$4008_linear,16
285,$400A_period,641
285,$400B_length,65
293,$4000_duty,0
293,$4000_const,1
293,$4000_vol,15
293,$4001_sweep,127
293,$4002_period,321
293,$400B_length,128
293,$4004_duty,0
293,$4004_const,1
293,$4004_vol,15
293,$4005_sweep,127
293,$4006_period,481
293,$4008_linear,16
293,$400A_period,641
293,$400B_length,65
309,$4000_duty,0
309,$4000_const,1
309,$4000_vol,15
309,$4001_sweep,127
309,$4002_period,339
309,$400B_length,128
309,$4004_duty,0
309,$4004_const,1
309,$4004_vol,15
309,$4005_sweep,127
309,$4006_period,481
317,$4000_duty,0
317,$4000_const,1
317,$4000_vol,15
317,$4001_sweep,127
317,$4002_period,321
317,$400B_length,32
317,$4004_duty,0
317,$4004_const,1
317,$4004_vol,15
317,$4005_sweep,127
317,$4006_period,509
317,$4008_linear,16
317,$400A_period,641
317,$400B_length,65
325,$4008_linear,16
325,$400A_period,641
325,$400B_length,65
333,$4008_linear,16
333,$400A_period,641
333,$400B_length,65
341,$4008_linear,16
341,$400A_period,641
341,$400B_length,65
357,$4000_duty,0
357,$4000_const,1
357,$4000_vol,15
357,$4001_sweep,127
357,$4002_period,427
357,$400B_length,128
357,$4004_duty,0
357,$4004_const,1
357,$4004_vol,15
357,$4005_sweep,127
357,$4006_period,509
362,$4004_duty,2
362,$4004_const,1
362,$4004_vol,4
362,$4005_sweep,127
362,$4006_period,427
363,$4004_duty,2
363,$4004_const,1
363,$4004_vol,4
363,$4005_sweep,127
363,$4006_period,453
364,$4004_duty,2
364,$4004_const,1
364,$4004_vol,4
364,$4005_sweep,127
364,$4006_period,481
365,$4004_duty,2
365,$4004_const,1
365,$4004_vol,4
365,$4005_sweep,127
365,$4006_period,509
366,$4004_duty,2
366,$4004_const,1
366,$4004_vol,4
366,$4005_sweep,127
366,$4006_period,539
367,$4004_duty,2
367,$4004_const,1
367,$4004_vol,4
367,$4005_sweep,127
367,$4006_period,571
368,$4004_duty,2
368,$4004_const,1
368,$4004_vol,4
368,$4005_sweep,127
368,$4006_period,605
369,$4004_duty,2
369,$4004_const,1
369,$4004_vol,4
369,$4005_sweep,127
369,$4006_period,641
370,$4004_duty,2
370,$4004_const,1
370,$4004_vol,4
370,$4005_sweep,127
370,$4006_period,679
371,$4004_duty,2
371,$4004_const,1
371,$4004_vol,4
371,$4005_sweep,127
371,$4006_period,719
372,$4004_duty,2
372,$4004_const,1
372,$4004_vol,4
372,$4005_sweep,127
372,$4006_period,763
373,$4004_duty,2
373,$4004_const,1
373,$4004_vol,4
373,$4005_sweep,127
373,$4006_period,855
422,$4004_duty,2
422,$4004_const,1
422,$4004_vol,4
422,$4005_sweep,127
422,$4006_period,427
428,$4004_duty,2
428,$4004_const,1
428,$4004_vol,4
428,$4005_sweep,127
428,$4006_period,213
434,$4004_duty,2
434,$4004_const,1
434,$4004_vol,4
434,$4005_sweep,127
434,$4006_period,227
440,$4004_duty,2
440,$4004_const,1
440,$4004_vol,4
440,$4005_sweep,127
440,$4006_period,213
446,$4004_duty,2
446,$4004_const,1
446,$4004_vol,4
446,$4005_sweep,127
446,$4006_period,169
452,$4004_duty,2
452,$4004_const,1
452,$4004_vol,4
452,$4005_sweep,127
452,$4006_period,213
458,$4004_duty,2
458,$4004_const,1
458,$4004_vol,4
458,$4005_sweep,127
458,$4006_period,227
464,$4004_duty,2
464,$4004_const,1
464,$4004_vol,4
464,$4005_sweep,127
464,$4006_period,213
470,$4004_duty,2
470,$4004_const,1
470,$4004_vol,4
470,$4005_sweep,127
470,$4006_period,427
476,$4004_duty,2
476,$4004_const,1
476,$4004_vol,4
476,$4005_sweep,127
476,$4006_period,213
482,$4004_duty,2
482,$4004_const,1
482,$4004_vol,4
482,$4005_sweep,127
482,$4006_period,427
483,$4004_duty,2
483,$4004_const,1
483,$4004_vol,4
483,$4005_sweep,127
483,$4006_period,453
484,$4004_duty,2
484,$4004_const,1
484,$4004_vol,4
484,$4005_sweep,127
484,$4006_period,481
485,$4004_duty,2
485,$4004_const,1
485,$4004_vol,4
485,$4005_sweep,127
485,$4006_period,509
486,$4004_duty,2
486,$4004_const,1
486,$4004_vol,4
486,$4005_sweep,127
486,$4006_period,539
487,$4004_duty,2
487,$4004_const,1
487,$4004_vol,4
487,$4005_sweep,127
487,$4006_period,571
488,$4004_duty,2
488,$4004_const,1
488,$4004_vol,4
488,$4005_sweep,127
488,$4006_period,605
489,$4004_duty,2
489,$4004_const,1
489,$4004_vol,4
489,$4005_sweep,127
489,$4006_period,641
490,$4004_duty,2
490,$4004_const,1
490,$4004_vol,4
490,$4005_sweep,127
490,$4006_period,679
491,$4004_duty,2
491,$4004_const,1
491,$4004_vol,4
491,$4005_sweep,127
491,$4006_period,719
492,$4004_duty,2
492,$4004_const,1
492,$4004_vol,4
492,$4005_sweep,127
492,$4006_period,763
493,$4004_duty,2
493,$4004_const,1
493,$4004_vol,4
493,$4005_sweep,127
493,$4006_period,855
542,$4004_duty,2
542,$4004_const,1
542,$4004_vol,4
542,$4005_sweep,127
542,$4006_period,427
548,$4004_duty,2
548,$4004_const,1
548,$4004_vol,4
548,$4005_sweep,127
548,$4006_period,213
554,$4004_duty,2
554,$4004_const,1
554,$4004_vol,4
554,$4005_sweep,127
554,$4006_period,227
560,$4004_duty,2
560,$4004_const,1
560,$4004_vol,4
560,$4005_sweep,127
560,$4006_period,213
566,$4004_duty,2
566,$4004_const,1
566,$4004_vol,4
566,$4005_sweep,127
566,$4006_period,169
572,$4004_duty,2
572,$4004_const,1
572,$4004_vol,4
572,$4005_sweep,127
572,$4006_period,213
578,$4004_duty,2
578,$4004_const,1
578,$4004_vol,4
578,$4005_sweep,127
578,$4006_period,227
584,$4004_duty,2
584,$4004_const,1
584,$4004_vol,4
584,$4005_sweep,127
584,$4006_period,213
590,$4004_duty,2
590,$4004_const,1
590,$4004_vol,4
590,$4005_sweep,127
590,$4006_period,427
596,$4004_duty,2
596,$4004_const,1
596,$4004_vol,4
596,$4005_sweep,127
596,$4006_period,213
602,$4004_duty,2
602,$4004_const,1
602,$4004_vol,4
602,$4005_sweep,127
602,$4006_period,241
608,$4004_duty,2
608,$4004_const,1
608,$4004_vol,4
608,$4005_sweep,127
608,$4006_period,213
614,$4004_duty,2
614,$4004_const,1
614,$4004_vol,4
614,$4005_sweep,127
614,$4006_period,169
620,$4004_duty,2
620,$4004_const,1
620,$4004_vol,4
620,$4005_sweep,127
620,$4006_period,213
626,$4004_duty,2
626,$4004_const,1
626,$4004_vol,4
626,$4005_sweep,127
626,$4006_period,241
632,$4004_duty,2
632,$4004_const,1
632,$4004_vol,4
632,$4005_sweep,127
632,$4006_period,213
638,$4004_duty,2
638,$4004_const,1
638,$4004_vol,4
638,$4005_sweep,127
638,$4006_period,427
644,$4004_duty,2
644,$4004_const,1
644,$4004_vol,4
644,$4005_sweep,127
644,$4006_period,213
650,$4004_duty,2
650,$4004_const,1
650,$4004_vol,4
650,$4005_sweep,127
650,$4006_period,255
656,$4004_duty,2
656,$4004_const,1
656,$4004_vol,4
656,$4005_sweep,127
656,$4006_period,213
662,$4004_duty,2
662,$4004_const,1
662,$4004_vol,4
662,$4005_sweep,127
662,$4006_period,169
668,$4004_duty,2
668,$4004_const,1
668,$4004_vol,4
668,$4005_sweep,127
668,$4006_period,213
674,$4004_duty,2
674,$4004_const,1
674,$4004_vol,4
674,$4005_sweep,127
674,$4006_period,255
680,$4004_duty,2
680,$4004_const,1
680,$4004_vol,4
680,$4005_sweep,127
680,$4006_period,213
686,$4004_duty,2
686,$4004_const,1
686,$4004_vol,4
686,$4005_sweep,127
686,$4006_period,427
692,$4004_duty,2
692,$4004_const,1
692,$4004_vol,4
692,$4005_sweep,127
692,$4006_period,213
698,$4004_duty,2
698,$4004_const,1
698,$4004_vol,4
698,$4005_sweep,127
698,$4006_period,269
704,$4004_duty,2
704,$4004_const,1
704,$4004_vol,4
704,$4005_sweep,127
704,$4006_period,213
710,$4004_duty,2
710,$4004_const,1
710,$4004_vol,4
710,$4005_sweep,127
710,$4006_period,169
716,$4004_duty,2
716,$4004_const,1
716,$4004_vol,4
